,ACHV
1999-06-01,232650.0
1999-06-02,230175.0
1999-06-03,232650.0
1999-06-04,232650.0
1999-06-07,227700.0
1999-06-08,227700.0
1999-06-09,232650.0
1999-06-10,228937.5
1999-06-11,237600.0
1999-06-14,227700.0
1999-06-15,220275.0
1999-06-16,207900.0
1999-06-17,198000.0
1999-06-18,202950.0
1999-06-21,217800.0
1999-06-22,217800.0
1999-06-23,227700.0
1999-06-24,225225.0
1999-06-25,205425.0
1999-06-28,202950.0
1999-06-29,237600.0
1999-06-30,205425.0
1999-07-01,230175.0
1999-07-02,232650.0
1999-07-06,237600.0
1999-07-07,257400.0
1999-07-08,252450.0
1999-07-09,247500.0
1999-07-12,242550.0
1999-07-13,277200.0
1999-07-14,277200.0
1999-07-15,277200.0
1999-07-16,277200.0
1999-07-19,274725.0
1999-07-20,269775.0
1999-07-21,267300.0
1999-07-22,262350.0
1999-07-23,245025.0
1999-07-26,249975.0
1999-07-27,247500.0
1999-07-28,242550.0
1999-07-29,245025.0
1999-07-30,249975.0
1999-08-02,252450.0
1999-08-03,240075.0
1999-08-04,237600.0
1999-08-05,227700.0
1999-08-06,227700.0
1999-08-09,212850.0
1999-08-10,207900.0
1999-08-11,202950.0
1999-08-12,200475.0
1999-08-13,198000.0
1999-08-16,207900.0
1999-08-17,200475.0
1999-08-18,205425.0
1999-08-19,198000.0
1999-08-20,193050.0
1999-08-23,190575.0
1999-08-24,188100.0
1999-08-25,180675.0
1999-08-26,163350.0
1999-08-27,158400.0
1999-08-30,143550.0
1999-08-31,146025.0
1999-09-01,160875.0
1999-09-02,183150.0
1999-09-03,207900.0
1999-09-07,193050.0
1999-09-08,175725.0
1999-09-09,195525.0
1999-09-10,188100.0
1999-09-13,170775.0
1999-09-14,163350.0
1999-09-15,173250.0
1999-09-16,160875.0
1999-09-17,165825.0
1999-09-20,160875.0
1999-09-21,158400.0
1999-09-22,160875.0
1999-09-23,158400.0
1999-09-24,158400.0
1999-09-27,154687.5
1999-09-28,158400.0
1999-09-29,168300.0
1999-09-30,131175.0
1999-10-01,138600.0
1999-10-04,148500.0
1999-10-05,162112.5
1999-10-06,155925.0
1999-10-07,163350.0
1999-10-08,157162.5
1999-10-11,158400.0
1999-10-12,158400.0
1999-10-13,152212.5
1999-10-14,158400.0
1999-10-15,158400.0
1999-10-18,155925.0
1999-10-19,153450.0
1999-10-20,146025.0
1999-10-21,133650.0
1999-10-22,141075.0
1999-10-25,128700.0
1999-10-26,123750.0
1999-10-27,120037.5
1999-10-28,121275.0
1999-10-29,141075.0
1999-11-01,131175.0
1999-11-02,126225.0
1999-11-03,123750.0
1999-11-04,118800.0
1999-11-05,118800.0
1999-11-08,113850.0
1999-11-09,108900.0
1999-11-10,99000.0
1999-11-11,97762.5
1999-11-12,99000.0
1999-11-15,101475.0
1999-11-16,94050.0
1999-11-17,96525.0
1999-11-18,96525.0
1999-11-19,99000.0
1999-11-22,94050.0
1999-11-23,96525.0
1999-11-24,96525.0
1999-11-26,99000.0
1999-11-29,94050.0
1999-11-30,94050.0
1999-12-01,87862.5
1999-12-02,101475.0
1999-12-03,99000.0
1999-12-06,108900.0
1999-12-07,154687.5
1999-12-08,133650.0
1999-12-09,133650.0
1999-12-10,121275.0
1999-12-13,133650.0
1999-12-14,126225.0
1999-12-15,121275.0
1999-12-16,123750.0
1999-12-17,117562.5
1999-12-20,113850.0
1999-12-21,103950.0
1999-12-22,102712.5
1999-12-23,103950.0
1999-12-27,94050.0
1999-12-28,87862.5
1999-12-29,90337.5
1999-12-30,90337.5
1999-12-31,99000.0
2000-01-03,111375.0
2000-01-04,118800.0
2000-01-05,131175.0
