,FIVE
2018-05-24,73.19000244140625
2018-05-25,71.41000366210938
2018-05-29,70.69000244140625
2018-05-30,71.95999908447266
2018-05-31,70.70999908447266
2018-06-01,71.38999938964844
2018-06-04,77.23999786376953
2018-06-05,78.86000061035156
2018-06-06,81.27999877929688
2018-06-07,99.05000305175781
2018-06-08,101.19000244140625
2018-06-11,101.23999786376953
2018-06-12,101.88999938964844
2018-06-13,101.6500015258789
2018-06-14,102.08999633789062
2018-06-15,100.01000213623047
2018-06-18,99.0999984741211
2018-06-19,98.55000305175781
2018-06-20,97.4800033569336
2018-06-21,97.45999908447266
2018-06-22,98.5199966430664
2018-06-25,98.7699966430664
