,ACGLO
2020-11-25,26.610000610351562
2020-11-27,26.690000534057617
2020-11-30,26.520000457763672
2020-12-01,26.56999969482422
2020-12-02,26.760000228881836
2020-12-03,26.670000076293945
2020-12-04,26.639999389648438
2020-12-07,26.65999984741211
2020-12-08,26.75
2020-12-09,26.860000610351562
2020-12-10,26.860000610351562
2020-12-11,26.799999237060547
2020-12-14,26.59000015258789
2020-12-15,26.760000228881836
2020-12-16,26.670000076293945
2020-12-17,26.75
2020-12-18,26.75
2020-12-21,26.709999084472656
2020-12-22,26.649999618530273
2020-12-23,26.600000381469727
2020-12-24,26.579999923706055
2020-12-28,26.510000228881836
2020-12-29,26.56999969482422
2020-12-30,26.440000534057617
2020-12-31,26.5
2021-01-04,26.25
2021-01-05,26.3799991607666
2021-01-06,26.03700065612793
2021-01-07,26.079999923706055
2021-01-08,26.270000457763672
2021-01-11,26.149999618530273
2021-01-12,26.1299991607666
2021-01-13,26.06999969482422
2021-01-14,26.239999771118164
2021-01-15,26.15999984741211
2021-01-19,26.329999923706055
2021-01-20,26.43000030517578
2021-01-21,26.43000030517578
2021-01-22,26.700000762939453
2021-01-25,26.639999389648438
2021-01-26,26.649999618530273
2021-01-27,26.600000381469727
2021-01-28,26.670000076293945
2021-01-29,26.579999923706055
2021-02-01,26.459999084472656
2021-02-02,26.433000564575195
2021-02-03,26.299999237060547
2021-02-04,26.43000030517578
2021-02-05,26.450000762939453
2021-02-08,26.399999618530273
2021-02-09,26.459999084472656
2021-02-10,26.385000228881836
2021-02-11,26.290000915527344
2021-02-12,26.139999389648438
2021-02-16,26.030000686645508
2021-02-17,26.040000915527344
2021-02-18,26.030000686645508
2021-02-19,26.049999237060547
2021-02-22,25.950000762939453
2021-02-23,25.93000030517578
2021-02-24,25.81999969482422
2021-02-25,25.725000381469727
2021-02-26,25.709999084472656
2021-03-01,25.75
2021-03-02,25.760000228881836
2021-03-03,25.799999237060547
2021-03-04,25.6299991607666
2021-03-05,25.719999313354492
2021-03-08,25.739999771118164
2021-03-09,25.770000457763672
2021-03-10,26.020000457763672
2021-03-11,26.280000686645508
2021-03-12,26.06999969482422
2021-03-15,26.239999771118164
2021-03-16,25.929000854492188
2021-03-17,26.093000411987305
2021-03-18,25.899999618530273
2021-03-19,25.959999084472656
2021-03-22,26.209999084472656
2021-03-23,26.290000915527344
2021-03-24,26.270000457763672
2021-03-25,26.450000762939453
2021-03-26,26.364999771118164
2021-03-29,26.190000534057617
2021-03-30,26.290000915527344
2021-03-31,26.239999771118164
2021-04-01,26.290000915527344
2021-04-05,26.43000030517578
2021-04-06,26.530000686645508
2021-04-07,26.760000228881836
2021-04-08,26.850000381469727
2021-04-09,26.56999969482422
2021-04-12,26.6200008392334
2021-04-13,26.59000015258789
2021-04-14,26.530000686645508
2021-04-15,26.6200008392334
2021-04-16,26.600000381469727
2021-04-19,26.600000381469727
2021-04-20,26.459999084472656
2021-04-21,26.540000915527344
2021-04-22,26.489999771118164
2021-04-23,26.440000534057617
2021-04-26,26.450000762939453
2021-04-27,26.43000030517578
2021-04-28,26.385000228881836
2021-04-29,26.280000686645508
2021-04-30,26.09000015258789
2021-05-03,26.350000381469727
2021-05-04,26.34000015258789
