,CATB
2018-05-01,16.0
2018-05-02,16.0
2018-05-03,16.0
2018-05-04,16.299999237060547
2018-05-07,17.0
2018-05-08,16.700000762939453
2018-05-09,17.899999618530273
2018-05-10,16.299999237060547
2018-05-11,16.299999237060547
2018-05-14,16.399999618530273
2018-05-15,16.0
2018-05-16,16.0
2018-05-17,15.899999618530273
2018-05-18,16.200000762939453
2018-05-21,16.299999237060547
2018-05-22,15.899999618530273
2018-05-23,15.800000190734863
2018-05-24,16.059999465942383
2018-05-25,15.899999618530273
2018-05-29,16.399999618530273
2018-05-30,16.799999237060547
2018-05-31,17.399999618530273
2018-06-01,17.299999237060547
2018-06-04,17.200000762939453
2018-06-05,15.800000190734863
2018-06-06,15.600000381469727
2018-06-07,14.800000190734863
2018-06-08,14.800000190734863
2018-06-11,14.800000190734863
2018-06-12,14.399999618530273
2018-06-13,13.5
2018-06-14,13.800000190734863
2018-06-15,13.399999618530273
2018-06-18,10.600000381469727
2018-06-19,10.199999809265137
2018-06-20,8.699999809265137
2018-06-21,8.699999809265137
2018-06-22,9.100000381469727
2018-06-25,9.5
2018-06-26,9.399999618530273
2018-06-27,9.289999961853027
2018-06-28,9.199999809265137
2018-06-29,9.59000015258789
2018-07-02,8.899999618530273
2018-07-03,9.100000381469727
2018-07-05,8.739999771118164
2018-07-06,8.5
2018-07-09,8.789999961853027
2018-07-10,8.550000190734863
2018-07-11,8.199999809265137
2018-07-12,8.789999961853027
2018-07-13,8.5
2018-07-16,8.199999809265137
2018-07-17,7.880000114440918
2018-07-18,7.739999771118164
2018-07-19,7.519999980926514
2018-07-20,7.460000038146973
2018-07-23,7.269999980926514
2018-07-24,6.679999828338623
2018-07-25,7.0
2018-07-26,7.420000076293945
2018-07-27,6.949999809265137
2018-07-30,6.699999809265137
2018-07-31,6.900000095367432
2018-08-01,6.449999809265137
2018-08-02,6.199999809265137
2018-08-03,6.300000190734863
2018-08-06,6.300000190734863
2018-08-07,6.449999809265137
2018-08-08,7.039999961853027
2018-08-09,6.940000057220459
2018-08-10,6.71999979019165
2018-08-13,6.53000020980835
2018-08-14,6.519999980926514
2018-08-15,6.519999980926514
2018-08-16,6.519999980926514
2018-08-17,6.5
2018-08-20,6.400000095367432
2018-08-21,6.449999809265137
2018-08-22,6.559999942779541
2018-08-23,7.03000020980835
2018-08-24,7.119999885559082
2018-08-27,7.230000019073486
2018-08-28,7.199999809265137
2018-08-29,7.760000228881836
2018-08-30,7.96999979019165
2018-08-31,7.099999904632568
2018-09-04,7.199999809265137
2018-09-05,7.579999923706055
2018-09-06,7.420000076293945
2018-09-07,7.070000171661377
2018-09-10,7.400000095367432
2018-09-11,7.789999961853027
2018-09-12,8.0
2018-09-13,8.210000038146973
2018-09-14,7.610000133514404
2018-09-17,7.610000133514404
2018-09-18,7.699999809265137
2018-09-19,8.140000343322754
2018-09-20,8.300000190734863
2018-09-21,8.4399995803833
2018-09-24,8.5
2018-09-25,8.720000267028809
2018-09-26,8.239999771118164
2018-09-27,8.229999542236328
2018-09-28,8.0
2018-10-01,8.369999885559082
2018-10-02,8.5
2018-10-03,7.769999980926514
2018-10-04,7.590000152587891
2018-10-05,7.400000095367432
2018-10-08,7.699999809265137
2018-10-09,7.599999904632568
2018-10-10,7.260000228881836
2018-10-11,7.239999771118164
2018-10-12,7.199999809265137
2018-10-15,6.760000228881836
2018-10-16,6.619999885559082
2018-10-17,6.380000114440918
2018-10-18,6.920000076293945
2018-10-19,7.0
2018-10-22,6.800000190734863
2018-10-23,6.699999809265137
2018-10-24,6.800000190734863
2018-10-25,6.489999771118164
2018-10-26,6.5
2018-10-29,6.349999904632568
2018-10-30,6.309999942779541
2018-10-31,6.429999828338623
2018-11-01,6.849999904632568
2018-11-02,6.599999904632568
2018-11-05,6.599999904632568
2018-11-06,6.730000019073486
2018-11-07,6.800000190734863
2018-11-08,7.0
2018-11-09,6.900000095367432
2018-11-12,6.449999809265137
2018-11-13,6.579999923706055
2018-11-14,6.400000095367432
2018-11-15,6.420000076293945
2018-11-16,6.239999771118164
2018-11-19,6.010000228881836
2018-11-20,5.800000190734863
2018-11-21,5.880000114440918
2018-11-23,5.699999809265137
2018-11-26,5.800000190734863
2018-11-27,6.0
2018-11-28,6.269999980926514
2018-11-29,6.590000152587891
2018-11-30,6.230000019073486
2018-12-03,6.5
2018-12-04,6.25
2018-12-06,5.949999809265137
2018-12-07,6.0
2018-12-10,6.0
2018-12-11,6.150000095367432
2018-12-12,6.110000133514404
2018-12-13,6.25
2018-12-14,5.920000076293945
2018-12-17,5.300000190734863
2018-12-18,5.340000152587891
2018-12-19,5.199999809265137
2018-12-20,5.010000228881836
2018-12-21,4.5
2018-12-24,4.170000076293945
2018-12-26,3.9700000286102295
2018-12-27,4.0
2018-12-28,4.079999923706055
2018-12-31,4.369999885559082
2019-01-02,4.429999828338623
2019-01-03,4.599999904632568
2019-01-04,4.96999979019165
2019-01-07,5.110000133514404
2019-01-08,4.980000019073486
2019-01-09,5.21999979019165
2019-01-10,5.409999847412109
2019-01-11,5.360000133514404
2019-01-14,5.409999847412109
2019-01-15,5.5
2019-01-16,6.239999771118164
2019-01-17,6.690000057220459
2019-01-18,6.619999885559082
2019-01-22,6.25
2019-01-23,5.929999828338623
2019-01-24,6.079999923706055
2019-01-25,6.179999828338623
2019-01-28,5.820000171661377
2019-01-29,5.880000114440918
2019-01-30,6.159999847412109
2019-01-31,6.369999885559082
2019-02-01,6.159999847412109
2019-02-04,6.150000095367432
2019-02-05,6.050000190734863
2019-02-06,4.619999885559082
2019-02-07,4.5
2019-02-08,4.349999904632568
2019-02-11,4.460000038146973
2019-02-12,4.449999809265137
2019-02-13,4.389999866485596
2019-02-14,4.429999828338623
2019-02-15,4.28000020980835
2019-02-19,4.550000190734863
2019-02-20,4.559999942779541
2019-02-21,4.800000190734863
2019-02-22,4.900000095367432
2019-02-25,4.960000038146973
2019-02-26,4.96999979019165
2019-02-27,4.929999828338623
2019-02-28,4.820000171661377
2019-03-01,4.900000095367432
2019-03-04,4.96999979019165
2019-03-05,4.860000133514404
2019-03-06,4.820000171661377
2019-03-07,5.019999980926514
2019-03-08,5.409999847412109
2019-03-11,5.610000133514404
2019-03-12,5.639999866485596
2019-03-13,5.599999904632568
2019-03-14,5.800000190734863
2019-03-15,6.710000038146973
2019-03-18,7.349999904632568
2019-03-19,7.110000133514404
2019-03-20,7.449999809265137
2019-03-21,7.460000038146973
2019-03-22,7.300000190734863
2019-03-25,7.25
2019-03-26,7.130000114440918
2019-03-27,7.289999961853027
2019-03-28,7.559999942779541
2019-03-29,7.920000076293945
2019-04-01,7.679999828338623
2019-04-02,7.739999771118164
2019-04-03,8.119999885559082
2019-04-04,8.369999885559082
2019-04-05,8.539999961853027
2019-04-08,8.850000381469727
2019-04-09,8.710000038146973
2019-04-10,9.640000343322754
2019-04-11,8.989999771118164
2019-04-12,9.010000228881836
2019-04-15,8.510000228881836
2019-04-16,8.319999694824219
2019-04-17,8.199999809265137
2019-04-18,8.100000381469727
2019-04-22,8.279999732971191
2019-04-23,8.180000305175781
2019-04-24,8.119999885559082
2019-04-25,7.860000133514404
2019-04-26,7.880000114440918
2019-04-29,7.820000171661377
2019-04-30,7.510000228881836
2019-05-01,7.579999923706055
2019-05-02,7.550000190734863
2019-05-03,7.769999980926514
2019-05-06,7.900000095367432
2019-05-07,7.690000057220459
2019-05-08,7.679999828338623
2019-05-09,7.670000076293945
2019-05-10,7.510000228881836
2019-05-13,7.539999961853027
2019-05-14,7.909999847412109
2019-05-15,8.5
2019-05-16,8.25
