,ARCT
2016-09-21,33.040000915527344
2016-09-22,32.900001525878906
2016-09-23,32.54999923706055
2016-09-26,32.130001068115234
2016-09-27,32.27000045776367
2016-09-28,32.34000015258789
2016-09-29,17.56999969482422
2016-09-30,17.290000915527344
2016-10-03,18.200000762939453
2016-10-04,18.549999237060547
2016-10-05,18.969999313354492
2016-10-06,18.200000762939453
2016-10-07,17.920000076293945
2016-10-10,18.34000015258789
2016-10-11,17.639999389648438
2016-10-12,17.43000030517578
2016-10-13,17.290000915527344
2016-10-14,16.940000534057617
2016-10-17,16.65999984741211
2016-10-18,16.65999984741211
2016-10-19,16.59000015258789
2016-10-20,16.3799991607666
2016-10-21,16.170000076293945
2016-10-24,15.890000343322754
2016-10-25,15.890000343322754
2016-10-26,15.260000228881836
2016-10-27,15.119999885559082
2016-10-28,13.4399995803833
2016-10-31,13.4399995803833
2016-11-01,13.300000190734863
2016-11-02,13.09000015258789
2016-11-03,13.020000457763672
2016-11-04,12.600000381469727
2016-11-07,12.600000381469727
2016-11-08,13.369999885559082
2016-11-09,13.859999656677246
2016-11-10,13.789999961853027
2016-11-11,13.579999923706055
2016-11-14,13.649999618530273
2016-11-15,12.949999809265137
2016-11-16,13.789999961853027
2016-11-17,15.1899995803833
2016-11-18,14.210000038146973
2016-11-21,13.930000305175781
2016-11-22,13.4399995803833
2016-11-23,13.4399995803833
2016-11-25,13.300000190734863
2016-11-28,13.510000228881836
2016-11-29,13.510000228881836
2016-11-30,13.369999885559082
2016-12-01,12.949999809265137
2016-12-02,13.09000015258789
2016-12-05,13.09000015258789
2016-12-06,13.15999984741211
2016-12-07,13.4399995803833
2016-12-08,14.630000114440918
2016-12-09,13.930000305175781
2016-12-12,14.210000038146973
2016-12-13,14.420000076293945
2016-12-14,13.859999656677246
2016-12-15,14.770000457763672
2016-12-16,14.279999732971191
2016-12-19,14.699999809265137
2016-12-20,16.8700008392334
2016-12-21,16.100000381469727
2016-12-22,16.100000381469727
2016-12-23,16.450000762939453
2016-12-27,16.520000457763672
2016-12-28,15.470000267028809
2016-12-29,14.630000114440918
2016-12-30,14.699999809265137
2017-01-03,15.470000267028809
2017-01-04,15.819999694824219
2017-01-05,16.729999542236328
2017-01-06,17.639999389648438
2017-01-09,15.1899995803833
2017-01-10,15.119999885559082
2017-01-11,14.5600004196167
2017-01-12,14.84000015258789
2017-01-13,13.300000190734863
2017-01-17,6.579999923706055
2017-01-18,7.210000038146973
2017-01-19,6.860000133514404
2017-01-20,6.929999828338623
2017-01-23,7.0
2017-01-24,7.070000171661377
2017-01-25,7.28000020980835
2017-01-26,7.28000020980835
2017-01-27,7.139999866485596
2017-01-30,7.28000020980835
2017-01-31,7.349999904632568
2017-02-01,8.890000343322754
2017-02-02,8.119999885559082
2017-02-03,9.520000457763672
2017-02-06,9.100000381469727
2017-02-07,8.470000267028809
2017-02-08,8.260000228881836
2017-02-09,8.399999618530273
2017-02-10,8.260000228881836
2017-02-13,8.260000228881836
