,CINF
1992-11-13,16.45404815673828
1992-11-16,16.522607803344727
1992-11-17,16.865400314331055
1992-11-18,16.72828483581543
1992-11-19,16.248374938964844
1992-11-20,16.38549041748047
1992-11-23,16.591167449951172
1992-11-24,16.45404815673828
1992-11-25,16.762563705444336
1992-11-27,16.83112144470215
1992-11-30,16.83112144470215
1992-12-01,16.796842575073242
1992-12-02,16.796842575073242
1992-12-03,16.933958053588867
1992-12-04,16.933958053588867
1992-12-07,16.865400314331055
1992-12-08,16.72828483581543
1992-12-09,16.38549041748047
1992-12-10,16.522607803344727
1992-12-11,16.316932678222656
1992-12-14,16.45404815673828
1992-12-15,16.522607803344727
1992-12-16,16.591167449951172
1992-12-17,16.316932678222656
1992-12-18,16.111257553100586
1992-12-21,16.1798152923584
1992-12-22,16.522607803344727
1992-12-23,16.45404815673828
1992-12-24,16.591167449951172
1992-12-28,16.45404815673828
1992-12-29,16.38549041748047
1992-12-30,16.522607803344727
1992-12-31,16.796842575073242
1993-01-04,16.72828483581543
1993-01-05,16.522607803344727
1993-01-06,16.522607803344727
1993-01-07,16.522607803344727
1993-01-08,16.419769287109375
1993-01-11,16.45404815673828
1993-01-12,16.248374938964844
1993-01-13,16.316932678222656
1993-01-14,16.214094161987305
1993-01-15,16.145536422729492
1993-01-18,16.316932678222656
1993-01-19,16.316932678222656
1993-01-20,16.316932678222656
1993-01-21,16.1798152923584
1993-01-22,16.248374938964844
1993-01-25,16.214094161987305
1993-01-26,16.248374938964844
1993-01-27,16.1798152923584
1993-01-28,16.1798152923584
1993-01-29,16.111257553100586
1993-02-01,16.111257553100586
1993-02-02,16.625446319580078
1993-02-03,17.276752471923828
1993-02-04,17.55098533630371
1993-02-05,17.071075439453125
1993-02-08,16.72828483581543
1993-02-09,17.071075439453125
1993-02-10,17.13963508605957
1993-02-11,17.208192825317383
1993-02-12,17.276752471923828
1993-02-16,17.071075439453125
1993-02-17,16.933958053588867
1993-02-18,17.002517700195312
1993-02-19,17.002517700195312
1993-02-22,17.071075439453125
1993-02-23,17.002517700195312
1993-02-24,16.865400314331055
1993-02-25,16.89967918395996
1993-02-26,16.865400314331055
1993-03-01,16.865400314331055
1993-03-02,16.865400314331055
1993-03-03,17.03679656982422
1993-03-04,17.071075439453125
1993-03-05,17.34531021118164
1993-03-08,17.756662368774414
1993-03-09,17.962337493896484
