,ECHO
2017-03-10,20.600000381469727
2017-03-13,20.799999237060547
2017-03-14,20.850000381469727
2017-03-15,21.450000762939453
2017-03-16,21.399999618530273
2017-03-17,21.350000381469727
2017-03-20,20.850000381469727
2017-03-21,20.350000381469727
2017-03-22,20.5
2017-03-23,20.549999237060547
2017-03-24,20.5
2017-03-27,20.450000762939453
2017-03-28,20.850000381469727
2017-03-29,21.25
2017-03-30,21.600000381469727
2017-03-31,21.350000381469727
2017-04-03,20.549999237060547
2017-04-04,20.950000762939453
2017-04-05,20.950000762939453
2017-04-06,20.700000762939453
2017-04-07,20.299999237060547
2017-04-10,20.399999618530273
2017-04-11,19.299999237060547
2017-04-12,19.049999237060547
2017-04-13,19.0
2017-04-17,19.25
2017-04-18,19.350000381469727
2017-04-19,19.850000381469727
2017-04-20,20.399999618530273
2017-04-21,20.450000762939453
2017-04-24,20.450000762939453
2017-04-25,20.0
2017-04-26,19.950000762939453
2017-04-27,19.399999618530273
2017-04-28,18.75
2017-05-01,18.899999618530273
2017-05-02,20.049999237060547
2017-05-03,19.649999618530273
2017-05-04,19.549999237060547
2017-05-05,19.799999237060547
2017-05-08,19.299999237060547
2017-05-09,19.049999237060547
2017-05-10,18.899999618530273
2017-05-11,18.75
2017-05-12,18.549999237060547
2017-05-15,18.6299991607666
2017-05-16,18.549999237060547
2017-05-17,17.950000762939453
2017-05-18,18.5
2017-05-19,18.299999237060547
2017-05-22,18.899999618530273
2017-05-23,18.950000762939453
2017-05-24,18.549999237060547
2017-05-25,18.75
2017-05-26,18.549999237060547
2017-05-30,18.850000381469727
2017-05-31,18.649999618530273
2017-06-01,19.350000381469727
2017-06-02,19.450000762939453
2017-06-05,19.450000762939453
2017-06-06,19.25
2017-06-07,19.350000381469727
2017-06-08,19.25
2017-06-09,19.75
2017-06-12,19.799999237060547
2017-06-13,19.549999237060547
2017-06-14,19.549999237060547
2017-06-15,20.0
2017-06-16,20.399999618530273
2017-06-19,20.100000381469727
2017-06-20,19.399999618530273
2017-06-21,19.049999237060547
2017-06-22,19.399999618530273
2017-06-23,20.100000381469727
2017-06-26,19.350000381469727
2017-06-27,19.450000762939453
2017-06-28,19.75
2017-06-29,19.5
2017-06-30,19.899999618530273
2017-07-03,20.549999237060547
2017-07-05,20.25
2017-07-06,19.549999237060547
2017-07-07,20.100000381469727
2017-07-10,19.350000381469727
2017-07-11,19.100000381469727
2017-07-12,19.200000762939453
2017-07-13,19.0
2017-07-14,19.299999237060547
2017-07-17,19.149999618530273
