,IHP
2012-05-16,
2012-05-17,
2012-05-18,1.100000023841858
2012-05-21,1.059999942779541
2012-05-22,1.1100000143051147
2012-05-23,
2012-05-24,
2012-05-25,1.2000000476837158
2012-05-29,
2012-05-30,1.2000000476837158
2012-05-31,1.2000000476837158
2012-06-01,1.190000057220459
2012-06-04,1.1799999475479126
2012-06-05,
2012-06-06,1.1299999952316284
2012-06-07,
2012-06-08,1.100000023841858
2012-06-11,1.149999976158142
2012-06-12,
2012-06-13,
2012-06-14,1.1100000143051147
2012-06-15,
2012-06-18,
2012-06-19,
2012-06-20,
2012-06-21,
2012-06-22,1.149999976158142
2012-06-25,1.149999976158142
2012-06-26,1.100000023841858
2012-06-27,1.1399999856948853
2012-06-28,1.1399999856948853
2012-06-29,
2012-07-02,
2012-07-03,
2012-07-05,
2012-07-06,1.1699999570846558
2012-07-09,
2012-07-10,1.1699999570846558
2012-07-11,
2012-07-12,
2012-07-13,1.0700000524520874
2012-07-16,1.1200000047683716
2012-07-17,
2012-07-18,
2012-07-19,
2012-07-20,1.100000023841858
2012-07-23,1.0800000429153442
2012-07-24,
2012-07-25,1.1799999475479126
2012-07-26,1.2300000190734863
2012-07-27,1.2899999618530273
2012-07-30,1.350000023841858
2012-07-31,1.340000033378601
2012-08-01,1.2799999713897705
2012-08-02,
2012-08-03,1.159999966621399
2012-08-06,1.1100000143051147
2012-08-07,
2012-08-08,1.149999976158142
2012-08-09,
2012-08-10,
2012-08-13,
2012-08-14,1.0700000524520874
2012-08-15,
2012-08-16,1.1699999570846558
2012-08-17,1.2200000286102295
2012-08-20,
2012-08-21,1.2200000286102295
2012-08-22,1.159999966621399
2012-08-23,
2012-08-24,
2012-08-27,1.090000033378601
2012-08-28,1.1399999856948853
2012-08-29,1.190000057220459
2012-08-30,
2012-08-31,
2012-09-04,1.149999976158142
2012-09-05,
2012-09-06,1.100000023841858
2012-09-07,1.149999976158142
2012-09-10,1.159999966621399
2012-09-11,
2012-09-12,
2012-09-13,
2012-09-14,1.1399999856948853
2012-09-17,
2012-09-18,
2012-09-19,1.1299999952316284
2012-09-20,1.159999966621399
2012-09-21,1.1200000047683716
2012-09-24,1.100000023841858
2012-09-25,1.0800000429153442
2012-09-26,1.059999942779541
2012-09-27,1.059999942779541
2012-09-28,1.0399999618530273
2012-10-01,
2012-10-02,
2012-10-03,
2012-10-04,1.1399999856948853
2012-10-05,1.1699999570846558
2012-10-08,1.1200000047683716
2012-10-09,
2012-10-10,
2012-10-11,
2012-10-12,
2012-10-15,1.1399999856948853
2012-10-16,1.1399999856948853
2012-10-17,1.1399999856948853
2012-10-18,1.090000033378601
2012-10-19,
2012-10-22,1.100000023841858
2012-10-23,1.1100000143051147
2012-10-24,1.090000033378601
2012-10-25,1.090000033378601
2012-10-26,1.090000033378601
2012-10-31,1.0499999523162842
2012-11-01,
2012-11-02,
2012-11-05,
