,ACGLP
2019-04-04,23.520000457763672
2019-04-05,23.59000015258789
2019-04-08,23.59000015258789
2019-04-09,23.600000381469727
2019-04-10,23.530000686645508
2019-04-11,23.600000381469727
2019-04-12,23.670000076293945
2019-04-15,23.700000762939453
2019-04-16,23.700000762939453
2019-04-17,23.729999542236328
2019-04-18,23.690000534057617
2019-04-22,23.65999984741211
2019-04-23,23.739999771118164
2019-04-24,23.739999771118164
2019-04-25,23.700000762939453
2019-04-26,23.639999389648438
2019-04-29,23.600000381469727
2019-04-30,23.420000076293945
2019-05-01,23.59000015258789
2019-05-02,23.6299991607666
2019-05-03,23.56999969482422
2019-05-06,23.559999465942383
2019-05-07,23.5
2019-05-08,23.399999618530273
2019-05-09,23.360000610351562
2019-05-10,23.420000076293945
2019-05-13,23.360000610351562
2019-05-14,23.399999618530273
2019-05-15,23.489999771118164
2019-05-16,23.540000915527344
2019-05-17,23.540000915527344
2019-05-20,23.520000457763672
2019-05-21,23.489999771118164
2019-05-22,23.5
2019-05-23,23.43000030517578
2019-05-24,23.440000534057617
2019-05-28,23.479999542236328
2019-05-29,23.56999969482422
2019-05-30,23.600000381469727
2019-05-31,23.440000534057617
2019-06-03,23.549999237060547
2019-06-04,23.649999618530273
2019-06-05,23.690000534057617
2019-06-06,23.670000076293945
2019-06-07,23.8799991607666
2019-06-10,23.920000076293945
2019-06-11,24.09000015258789
2019-06-12,24.15999984741211
2019-06-13,23.93000030517578
2019-06-14,24.0
2019-06-17,23.969999313354492
2019-06-18,24.149999618530273
2019-06-19,24.020000457763672
2019-06-20,24.09000015258789
2019-06-21,24.149999618530273
2019-06-24,24.149999618530273
2019-06-25,24.200000762939453
2019-06-26,24.139999389648438
2019-06-27,24.25
2019-06-28,23.950000762939453
2019-07-01,23.989999771118164
2019-07-02,24.209999084472656
2019-07-03,24.100000381469727
2019-07-05,24.139999389648438
2019-07-08,24.149999618530273
2019-07-09,24.1200008392334
2019-07-10,24.149999618530273
2019-07-11,24.15999984741211
2019-07-12,24.1299991607666
2019-07-15,24.239999771118164
2019-07-16,24.239999771118164
2019-07-17,24.360000610351562
2019-07-18,24.43000030517578
2019-07-19,24.479999542236328
2019-07-22,24.489999771118164
2019-07-23,24.639999389648438
2019-07-24,24.636999130249023
2019-07-25,24.420000076293945
2019-07-26,24.450000762939453
2019-07-29,24.6200008392334
2019-07-30,24.610000610351562
2019-07-31,24.6200008392334
2019-08-01,24.639999389648438
2019-08-02,24.639999389648438
2019-08-05,24.559999465942383
2019-08-06,24.559999465942383
2019-08-07,24.549999237060547
2019-08-08,24.6200008392334
2019-08-09,24.670000076293945
2019-08-12,24.690000534057617
2019-08-13,24.790000915527344
2019-08-14,24.84000015258789
2019-08-15,24.950000762939453
2019-08-16,24.959999084472656
2019-08-19,24.93000030517578
2019-08-20,24.920000076293945
2019-08-21,24.940000534057617
2019-08-22,25.0
2019-08-23,24.989999771118164
2019-08-26,25.0
2019-08-27,25.079999923706055
2019-08-28,25.170000076293945
2019-08-29,25.040000915527344
2019-08-30,25.0
2019-09-03,25.100000381469727
2019-09-04,25.190000534057617
2019-09-05,25.139999389648438
2019-09-06,25.219999313354492
2019-09-09,25.299999237060547
2019-09-10,25.219999313354492
2019-09-11,25.309999465942383
2019-09-12,25.049999237060547
2019-09-13,25.0
2019-09-16,25.0
2019-09-17,25.114999771118164
2019-09-18,25.190000534057617
2019-09-19,25.149999618530273
2019-09-20,25.229999542236328
2019-09-23,25.290000915527344
2019-09-24,25.239999771118164
2019-09-25,25.280000686645508
2019-09-26,25.389999389648438
2019-09-27,25.389999389648438
2019-09-30,25.360000610351562
2019-10-01,25.360000610351562
2019-10-02,25.350000381469727
2019-10-03,25.31999969482422
2019-10-04,25.309999465942383
2019-10-07,25.270000457763672
2019-10-08,25.299999237060547
2019-10-09,25.309999465942383
2019-10-10,25.399999618530273
2019-10-11,25.65999984741211
2019-10-14,25.649999618530273
2019-10-15,25.510000228881836
2019-10-16,25.579999923706055
2019-10-17,25.56999969482422
2019-10-18,25.56999969482422
2019-10-21,25.549999237060547
2019-10-22,25.579999923706055
2019-10-23,25.639999389648438
2019-10-24,25.670000076293945
2019-10-25,25.670000076293945
2019-10-28,25.6299991607666
2019-10-29,25.6200008392334
2019-10-30,25.579999923706055
2019-10-31,25.5
2019-11-01,25.489999771118164
2019-11-04,25.579999923706055
2019-11-05,25.540000915527344
2019-11-06,25.3799991607666
2019-11-07,25.290000915527344
2019-11-08,25.3799991607666
2019-11-11,25.34000015258789
2019-11-12,25.354999542236328
2019-11-13,25.3799991607666
2019-11-14,25.34000015258789
2019-11-15,25.34000015258789
2019-11-18,25.290000915527344
2019-11-19,25.31999969482422
