,FMB
2017-09-12,53.5099983215332
2017-09-13,53.5
2017-09-14,53.380001068115234
2017-09-15,53.47999954223633
2017-09-18,53.5
2017-09-19,53.47999954223633
2017-09-20,53.439998626708984
2017-09-21,53.345001220703125
2017-09-22,53.38999938964844
2017-09-25,53.45500183105469
2017-09-26,53.36000061035156
2017-09-27,53.22999954223633
2017-09-28,53.220001220703125
2017-09-29,53.22999954223633
2017-10-02,53.22999954223633
2017-10-03,53.15999984741211
2017-10-04,53.28499984741211
2017-10-05,53.209999084472656
2017-10-06,53.21099853515625
2017-10-09,53.2599983215332
2017-10-10,53.31999969482422
2017-10-11,53.310001373291016
2017-10-12,53.31999969482422
2017-10-13,53.400001525878906
2017-10-16,53.409000396728516
2017-10-17,53.540000915527344
2017-10-18,53.560001373291016
2017-10-19,53.59000015258789
2017-10-20,53.369998931884766
2017-10-23,53.40999984741211
2017-10-24,53.380001068115234
2017-10-25,53.25
2017-10-26,53.119998931884766
2017-10-27,53.20000076293945
2017-10-30,53.22999954223633
2017-10-31,53.2599983215332
2017-11-01,53.25
2017-11-02,53.30500030517578
2017-11-03,53.345001220703125
2017-11-06,53.43000030517578
2017-11-07,53.5
2017-11-08,53.58000183105469
2017-11-09,53.59000015258789
2017-11-10,53.43000030517578
2017-11-13,53.45000076293945
2017-11-14,53.45000076293945
2017-11-15,53.479000091552734
2017-11-16,53.4900016784668
2017-11-17,53.48699951171875
2017-11-20,53.470001220703125
2017-11-21,53.310001373291016
2017-11-22,53.28499984741211
2017-11-24,53.209999084472656
2017-11-27,53.18000030517578
2017-11-28,53.029998779296875
2017-11-29,52.98400115966797
2017-11-30,53.07500076293945
2017-12-01,53.2400016784668
2017-12-04,53.290000915527344
2017-12-05,53.439998626708984
2017-12-06,53.70000076293945
2017-12-07,53.619998931884766
2017-12-08,53.492000579833984
2017-12-11,53.33000183105469
2017-12-12,53.29999923706055
2017-12-13,53.474998474121094
2017-12-14,53.52000045776367
2017-12-15,53.47999954223633
2017-12-18,53.459999084472656
2017-12-19,53.310001373291016
2017-12-20,53.2599983215332
2017-12-21,53.17900085449219
2017-12-22,53.16999816894531
2017-12-26,53.18000030517578
2017-12-27,53.448001861572266
2017-12-28,53.45000076293945
2017-12-29,53.52000045776367
2018-01-02,53.34000015258789
2018-01-03,53.584999084472656
2018-01-04,53.400001525878906
2018-01-05,53.439998626708984
2018-01-08,53.380001068115234
2018-01-09,53.45000076293945
2018-01-10,53.290000915527344
2018-01-11,53.34000015258789
2018-01-12,53.25
2018-01-16,53.369998931884766
2018-01-17,53.34000015258789
2018-01-18,53.2599983215332
2018-01-19,53.279998779296875
2018-01-22,53.31999969482422
2018-01-23,53.20000076293945
2018-01-24,53.09000015258789
2018-01-25,53.09000015258789
