,BATRK
2018-07-16,26.06999969482422
2018-07-17,26.020000457763672
2018-07-18,25.56999969482422
2018-07-19,25.450000762939453
2018-07-20,25.600000381469727
2018-07-23,25.219999313354492
2018-07-24,25.149999618530273
2018-07-25,25.270000457763672
2018-07-26,25.520000457763672
2018-07-27,25.5
2018-07-30,25.43000030517578
2018-07-31,25.770000457763672
2018-08-01,25.3799991607666
2018-08-02,25.479999542236328
2018-08-03,25.31999969482422
2018-08-06,25.280000686645508
2018-08-07,25.139999389648438
2018-08-08,26.239999771118164
2018-08-09,26.020000457763672
2018-08-10,26.260000228881836
2018-08-13,26.079999923706055
2018-08-14,26.790000915527344
2018-08-15,26.790000915527344
2018-08-16,26.860000610351562
2018-08-17,26.260000228881836
2018-08-20,26.079999923706055
2018-08-21,26.290000915527344
2018-08-22,26.639999389648438
2018-08-23,26.520000457763672
2018-08-24,26.700000762939453
2018-08-27,26.43000030517578
2018-08-28,26.43000030517578
2018-08-29,26.479999542236328
2018-08-30,26.65999984741211
2018-08-31,26.56999969482422
2018-09-04,26.540000915527344
2018-09-05,25.81999969482422
2018-09-06,25.760000228881836
2018-09-07,25.760000228881836
2018-09-10,25.56999969482422
2018-09-11,25.350000381469727
2018-09-12,25.920000076293945
2018-09-13,26.190000534057617
2018-09-14,26.010000228881836
2018-09-17,25.489999771118164
2018-09-18,25.780000686645508
2018-09-19,26.329999923706055
2018-09-20,26.360000610351562
2018-09-21,26.3799991607666
2018-09-24,26.219999313354492
2018-09-25,26.3700008392334
2018-09-26,27.15999984741211
2018-09-27,26.75
2018-09-28,27.25
2018-10-01,27.079999923706055
2018-10-02,26.579999923706055
2018-10-03,27.030000686645508
2018-10-04,26.450000762939453
2018-10-05,26.360000610351562
2018-10-08,26.350000381469727
2018-10-09,25.81999969482422
2018-10-10,24.93000030517578
2018-10-11,24.860000610351562
2018-10-12,24.790000915527344
2018-10-15,25.139999389648438
2018-10-16,25.760000228881836
2018-10-17,26.09000015258789
2018-10-18,25.790000915527344
2018-10-19,25.75
