,ALTO
2008-11-17,73.5
2008-11-18,69.30000305175781
2008-11-19,65.0999984741211
2008-11-20,53.54999923706055
2008-11-21,56.70000076293945
2008-11-24,59.849998474121094
2008-11-25,60.900001525878906
2008-11-26,68.25
2008-11-28,70.3499984741211
2008-12-01,54.599998474121094
2008-12-02,60.900001525878906
2008-12-03,58.79999923706055
2008-12-04,57.75
2008-12-05,60.900001525878906
2008-12-08,63.0
2008-12-09,63.0
2008-12-10,63.0
2008-12-11,57.75
2008-12-12,61.95000076293945
2008-12-15,61.95000076293945
2008-12-16,67.19999694824219
2008-12-17,65.0999984741211
2008-12-18,68.25
2008-12-19,92.4000015258789
2008-12-22,86.0999984741211
2008-12-23,72.44999694824219
2008-12-24,74.55000305175781
2008-12-26,72.44999694824219
2008-12-29,56.70000076293945
2008-12-30,37.79999923706055
2008-12-31,46.20000076293945
2009-01-02,49.349998474121094
2009-01-05,60.900001525878906
2009-01-06,66.1500015258789
2009-01-07,64.05000305175781
2009-01-08,63.0
2009-01-09,58.79999923706055
2009-01-12,49.349998474121094
2009-01-13,55.650001525878906
2009-01-14,53.54999923706055
2009-01-15,50.400001525878906
2009-01-16,53.54999923706055
2009-01-20,50.400001525878906
2009-01-21,54.599998474121094
2009-01-22,50.400001525878906
2009-01-23,52.5
2009-01-26,55.650001525878906
2009-01-27,54.599998474121094
2009-01-28,57.75
2009-01-29,58.79999923706055
2009-01-30,57.75
2009-02-02,57.75
2009-02-03,58.79999923706055
2009-02-04,54.599998474121094
2009-02-05,52.5
2009-02-06,53.54999923706055
2009-02-09,50.400001525878906
2009-02-10,50.400001525878906
2009-02-11,51.45000076293945
2009-02-12,50.400001525878906
2009-02-13,51.45000076293945
2009-02-17,47.25
2009-02-18,45.150001525878906
