,ANAB
2019-07-30,56.189998626708984
2019-07-31,53.709999084472656
2019-08-01,54.400001525878906
2019-08-02,52.0099983215332
2019-08-05,50.11000061035156
2019-08-06,51.45000076293945
2019-08-07,51.70000076293945
2019-08-08,52.4900016784668
2019-08-09,51.0
2019-08-12,47.02000045776367
2019-08-13,48.9900016784668
2019-08-14,51.459999084472656
2019-08-15,49.9900016784668
2019-08-16,49.20000076293945
2019-08-19,48.849998474121094
2019-08-20,42.189998626708984
2019-08-21,43.279998779296875
2019-08-22,42.56999969482422
2019-08-23,40.310001373291016
2019-08-26,39.91999816894531
2019-08-27,38.91999816894531
2019-08-28,39.31999969482422
2019-08-29,39.9900016784668
2019-08-30,40.650001525878906
2019-09-03,39.66999816894531
2019-09-04,40.650001525878906
2019-09-05,42.11000061035156
2019-09-06,41.099998474121094
2019-09-09,41.689998626708984
2019-09-10,42.439998626708984
2019-09-11,44.369998931884766
2019-09-12,42.84000015258789
2019-09-13,44.119998931884766
2019-09-16,45.2599983215332
2019-09-17,44.72999954223633
2019-09-18,42.65999984741211
2019-09-19,41.75
2019-09-20,41.209999084472656
2019-09-23,40.77000045776367
2019-09-24,38.470001220703125
2019-09-25,38.599998474121094
2019-09-26,35.959999084472656
2019-09-27,35.2400016784668
2019-09-30,34.9900016784668
2019-10-01,31.350000381469727
2019-10-02,33.88999938964844
2019-10-03,34.060001373291016
2019-10-04,33.22999954223633
2019-10-07,33.88999938964844
2019-10-08,33.119998931884766
2019-10-09,33.0099983215332
2019-10-10,34.83000183105469
2019-10-11,35.04999923706055
2019-10-14,33.849998474121094
2019-10-15,35.97999954223633
2019-10-16,36.25
2019-10-17,37.290000915527344
2019-10-18,37.040000915527344
2019-10-21,36.720001220703125
2019-10-22,37.41999816894531
2019-10-23,37.61000061035156
2019-10-24,38.2400016784668
2019-10-25,38.5099983215332
2019-10-28,38.959999084472656
2019-10-29,37.369998931884766
2019-10-30,37.43000030517578
2019-10-31,37.720001220703125
2019-11-01,38.65999984741211
2019-11-04,37.41999816894531
2019-11-05,38.790000915527344
2019-11-06,37.470001220703125
2019-11-07,36.15999984741211
2019-11-08,10.180000305175781
2019-11-11,10.380000114440918
2019-11-12,10.699999809265137
2019-11-13,11.0
2019-11-14,10.890000343322754
2019-11-15,11.100000381469727
2019-11-18,11.079999923706055
2019-11-19,11.039999961853027
2019-11-20,11.1899995803833
2019-11-21,11.880000114440918
2019-11-22,12.020000457763672
2019-11-25,12.960000038146973
2019-11-26,12.779999732971191
2019-11-27,13.260000228881836
2019-11-29,13.489999771118164
2019-12-02,14.239999771118164
2019-12-03,14.3100004196167
2019-12-04,14.4399995803833
2019-12-05,14.229999542236328
2019-12-06,14.020000457763672
2019-12-09,13.800000190734863
2019-12-10,14.779999732971191
2019-12-11,15.170000076293945
2019-12-12,16.18000030517578
2019-12-13,15.729999542236328
2019-12-16,16.399999618530273
2019-12-17,16.40999984741211
2019-12-18,16.4950008392334
2019-12-19,16.40999984741211
2019-12-20,15.890000343322754
2019-12-23,16.639999389648438
2019-12-24,17.219999313354492
2019-12-26,16.989999771118164
2019-12-27,16.760000228881836
2019-12-30,15.949999809265137
2019-12-31,16.25
2020-01-02,15.890000343322754
2020-01-03,15.100000381469727
2020-01-06,15.100000381469727
2020-01-07,15.300000190734863
2020-01-08,15.300000190734863
2020-01-09,15.289999961853027
2020-01-10,15.329999923706055
2020-01-13,13.989999771118164
2020-01-14,15.015000343322754
2020-01-15,15.510000228881836
2020-01-16,16.15999984741211
2020-01-17,15.880000114440918
2020-01-21,15.539999961853027
2020-01-22,15.020000457763672
2020-01-23,14.779999732971191
2020-01-24,14.0
2020-01-27,14.09000015258789
2020-01-28,14.65999984741211
2020-01-29,14.260000228881836
2020-01-30,14.539999961853027
2020-01-31,14.520000457763672
2020-02-03,14.770000457763672
2020-02-04,15.039999961853027
2020-02-05,15.710000038146973
2020-02-06,14.9399995803833
2020-02-07,15.460000038146973
2020-02-10,15.420000076293945
2020-02-11,15.819999694824219
2020-02-12,16.559999465942383
2020-02-13,15.579999923706055
2020-02-14,15.289999961853027
2020-02-18,15.770000457763672
2020-02-19,15.529999732971191
2020-02-20,16.049999237060547
2020-02-21,16.15999984741211
2020-02-24,15.75
2020-02-25,15.600000381469727
2020-02-26,15.800000190734863
2020-02-27,14.600000381469727
2020-02-28,14.949999809265137
2020-03-02,17.209999084472656
2020-03-03,17.309999465942383
2020-03-04,18.690000534057617
2020-03-05,18.420000076293945
2020-03-06,18.229999542236328
2020-03-09,16.559999465942383
2020-03-10,16.420000076293945
2020-03-11,15.229999542236328
2020-03-12,13.550000190734863
2020-03-13,15.289999961853027
2020-03-16,13.010000228881836
2020-03-17,13.3100004196167
2020-03-18,13.239999771118164
2020-03-19,13.430000305175781
2020-03-20,13.25
2020-03-23,12.819999694824219
2020-03-24,13.510000228881836
2020-03-25,13.890000343322754
2020-03-26,14.5600004196167
2020-03-27,14.0
2020-03-30,14.140000343322754
2020-03-31,14.130000114440918
2020-04-01,13.300000190734863
2020-04-02,13.5
2020-04-03,14.100000381469727
2020-04-06,15.260000228881836
2020-04-07,14.069999694824219
2020-04-08,14.539999961853027
2020-04-09,15.289999961853027
2020-04-13,15.229999542236328
2020-04-14,15.989999771118164
2020-04-15,15.630000114440918
2020-04-16,15.619999885559082
2020-04-17,16.979999542236328
2020-04-20,17.170000076293945
2020-04-21,15.539999961853027
2020-04-22,15.4399995803833
2020-04-23,15.649999618530273
2020-04-24,16.170000076293945
2020-04-27,15.970000267028809
2020-04-28,15.670000076293945
2020-04-29,15.9399995803833
2020-04-30,15.619999885559082
2020-05-01,15.279999732971191
2020-05-04,18.219999313354492
2020-05-05,17.6299991607666
2020-05-06,17.5
2020-05-07,17.65999984741211
2020-05-08,18.260000228881836
2020-05-11,19.920000076293945
2020-05-12,19.360000610351562
2020-05-13,19.229999542236328
2020-05-14,18.06999969482422
2020-05-15,18.81999969482422
2020-05-18,19.790000915527344
2020-05-19,18.59000015258789
2020-05-20,19.649999618530273
2020-05-21,19.420000076293945
2020-05-22,19.8700008392334
2020-05-26,19.520000457763672
2020-05-27,19.90999984741211
2020-05-28,19.239999771118164
2020-05-29,19.079999923706055
2020-06-01,19.399999618530273
2020-06-02,20.34000015258789
2020-06-03,19.040000915527344
2020-06-04,18.670000076293945
