,HRI
2018-11-06,33.279998779296875
2018-11-07,34.36000061035156
2018-11-08,38.040000915527344
2018-11-09,38.040000915527344
2018-11-12,37.689998626708984
2018-11-13,38.11000061035156
2018-11-14,37.43000030517578
2018-11-15,37.41999816894531
2018-11-16,36.06999969482422
2018-11-19,35.59000015258789
2018-11-20,34.27000045776367
2018-11-21,35.220001220703125
2018-11-23,34.59000015258789
2018-11-26,35.15999984741211
2018-11-27,34.720001220703125
2018-11-28,35.7599983215332
2018-11-29,35.560001373291016
2018-11-30,35.66999816894531
2018-12-03,36.540000915527344
2018-12-04,31.6299991607666
2018-12-06,31.440000534057617
2018-12-07,30.450000762939453
2018-12-10,29.360000610351562
2018-12-11,28.770000457763672
2018-12-12,29.6200008392334
2018-12-13,29.84000015258789
2018-12-14,28.90999984741211
2018-12-17,27.84000015258789
2018-12-18,28.059999465942383
2018-12-19,26.760000228881836
2018-12-20,26.739999771118164
2018-12-21,25.610000610351562
2018-12-24,24.75
2018-12-26,26.209999084472656
2018-12-27,26.190000534057617
2018-12-28,25.530000686645508
2018-12-31,25.989999771118164
2019-01-02,27.56999969482422
2019-01-03,26.860000610351562
2019-01-04,29.479999542236328
2019-01-07,30.440000534057617
2019-01-08,32.0
2019-01-09,33.599998474121094
2019-01-10,34.150001525878906
2019-01-11,33.720001220703125
2019-01-14,33.4900016784668
2019-01-15,33.310001373291016
2019-01-16,33.189998626708984
2019-01-17,34.540000915527344
2019-01-18,35.599998474121094
2019-01-22,34.45000076293945
2019-01-23,33.029998779296875
2019-01-24,34.84000015258789
2019-01-25,35.380001068115234
2019-01-28,35.650001525878906
2019-01-29,35.84000015258789
2019-01-30,36.880001068115234
2019-01-31,37.04999923706055
2019-02-01,37.70000076293945
2019-02-04,38.45000076293945
2019-02-05,39.38999938964844
2019-02-06,38.83000183105469
2019-02-07,38.150001525878906
2019-02-08,37.81999969482422
2019-02-11,38.93000030517578
2019-02-12,40.400001525878906
2019-02-13,40.95000076293945
2019-02-14,39.36000061035156
2019-02-15,41.060001373291016
2019-02-19,40.15999984741211
2019-02-20,40.959999084472656
2019-02-21,41.13999938964844
2019-02-22,42.189998626708984
2019-02-25,42.130001068115234
2019-02-26,40.79999923706055
2019-02-27,40.099998474121094
2019-02-28,44.0
2019-03-01,45.0
2019-03-04,44.22999954223633
2019-03-05,42.900001525878906
2019-03-06,41.45000076293945
2019-03-07,40.97999954223633
2019-03-08,40.40999984741211
2019-03-11,41.5099983215332
2019-03-12,41.349998474121094
2019-03-13,41.099998474121094
2019-03-14,40.209999084472656
2019-03-15,39.310001373291016
2019-03-18,40.099998474121094
2019-03-19,39.13999938964844
2019-03-20,38.2599983215332
2019-03-21,39.41999816894531
2019-03-22,37.220001220703125
2019-03-25,37.5
2019-03-26,37.7400016784668
2019-03-27,37.13999938964844
2019-03-28,38.09000015258789
2019-03-29,38.97999954223633
2019-04-01,40.20000076293945
2019-04-02,39.63999938964844
2019-04-03,40.2599983215332
2019-04-04,40.939998626708984
2019-04-05,41.279998779296875
2019-04-08,41.220001220703125
2019-04-09,39.66999816894531
2019-04-10,40.45000076293945
2019-04-11,41.599998474121094
2019-04-12,42.41999816894531
2019-04-15,41.7599983215332
2019-04-16,42.939998626708984
2019-04-17,42.619998931884766
2019-04-18,46.2599983215332
2019-04-22,46.619998931884766
2019-04-23,47.33000183105469
2019-04-24,47.7400016784668
2019-04-25,46.56999969482422
2019-04-26,47.54999923706055
2019-04-29,47.900001525878906
2019-04-30,48.15999984741211
2019-05-01,48.130001068115234
2019-05-02,46.18000030517578
2019-05-03,45.130001068115234
2019-05-06,44.45000076293945
2019-05-07,42.529998779296875
2019-05-08,41.689998626708984
2019-05-09,42.380001068115234
2019-05-10,41.81999969482422
2019-05-13,39.54999923706055
2019-05-14,40.68000030517578
2019-05-15,41.33000183105469
2019-05-16,40.7400016784668
2019-05-17,39.63999938964844
2019-05-20,40.11000061035156
2019-05-21,41.15999984741211
2019-05-22,38.880001068115234
2019-05-23,37.09000015258789
2019-05-24,36.88999938964844
2019-05-28,35.47999954223633
2019-05-29,35.79999923706055
2019-05-30,35.650001525878906
2019-05-31,34.029998779296875
2019-06-03,35.130001068115234
2019-06-04,37.90999984741211
2019-06-05,37.65999984741211
2019-06-06,38.400001525878906
2019-06-07,39.220001220703125
2019-06-10,39.97999954223633
2019-06-11,39.310001373291016
2019-06-12,38.619998931884766
2019-06-13,39.86000061035156
2019-06-14,40.04999923706055
2019-06-17,40.5
2019-06-18,41.52000045776367
2019-06-19,41.9900016784668
2019-06-20,44.04999923706055
2019-06-21,43.900001525878906
2019-06-24,42.939998626708984
2019-06-25,43.810001373291016
2019-06-26,44.470001220703125
2019-06-27,45.90999984741211
2019-06-28,45.83000183105469
2019-07-01,46.34000015258789
2019-07-02,44.61000061035156
2019-07-03,44.369998931884766
2019-07-05,44.880001068115234
2019-07-08,43.7599983215332
2019-07-09,43.36000061035156
2019-07-10,42.61000061035156
2019-07-11,43.25
2019-07-12,45.20000076293945
2019-07-15,44.709999084472656
2019-07-16,44.9900016784668
2019-07-17,42.97999954223633
