,ALPN
2017-08-02,8.350000381469727
2017-08-03,8.800000190734863
2017-08-04,9.199999809265137
2017-08-07,9.5
2017-08-08,9.479999542236328
2017-08-09,9.210000038146973
2017-08-10,8.8100004196167
2017-08-11,8.770000457763672
2017-08-14,8.800000190734863
2017-08-15,8.359999656677246
2017-08-16,8.289999961853027
2017-08-17,8.100000381469727
2017-08-18,8.0600004196167
2017-08-21,8.039999961853027
2017-08-22,8.0
2017-08-23,8.0
2017-08-24,8.46500015258789
2017-08-25,8.6899995803833
2017-08-28,8.949999809265137
2017-08-29,9.300000190734863
2017-08-30,9.0
2017-08-31,8.75
2017-09-01,8.630000114440918
2017-09-05,8.899999618530273
2017-09-06,8.770000457763672
2017-09-07,8.899999618530273
2017-09-08,9.600000381469727
2017-09-11,10.0
2017-09-12,10.0
2017-09-13,9.739999771118164
2017-09-14,9.40999984741211
2017-09-15,9.760000228881836
2017-09-18,9.789999961853027
2017-09-19,9.640000343322754
2017-09-20,9.800000190734863
2017-09-21,9.680000305175781
2017-09-22,11.550000190734863
2017-09-25,11.59000015258789
2017-09-26,11.109999656677246
2017-09-27,11.600000381469727
2017-09-28,11.579999923706055
2017-09-29,11.600000381469727
2017-10-02,11.739999771118164
2017-10-03,12.649999618530273
2017-10-04,11.800000190734863
2017-10-05,11.579999923706055
2017-10-06,12.170000076293945
2017-10-09,12.260000228881836
2017-10-10,11.6899995803833
2017-10-11,11.479999542236328
2017-10-12,11.84000015258789
2017-10-13,12.069999694824219
2017-10-16,11.739999771118164
2017-10-17,11.960000038146973
2017-10-18,11.800000190734863
2017-10-19,11.850000381469727
2017-10-20,11.029999732971191
2017-10-23,11.199999809265137
2017-10-24,10.600000381469727
2017-10-25,10.350000381469727
2017-10-26,10.270000457763672
2017-10-27,10.050000190734863
2017-10-30,9.970000267028809
2017-10-31,10.029999732971191
2017-11-01,10.300000190734863
2017-11-02,10.270000457763672
2017-11-03,10.0600004196167
2017-11-06,10.380000114440918
2017-11-07,9.960000038146973
2017-11-08,9.829999923706055
2017-11-09,9.869999885559082
2017-11-10,9.649999618530273
2017-11-13,10.149999618530273
2017-11-14,10.010000228881836
2017-11-15,9.899999618530273
2017-11-16,10.020000457763672
2017-11-17,10.25
2017-11-20,10.5
2017-11-21,10.770000457763672
2017-11-22,10.359999656677246
2017-11-24,10.460000038146973
2017-11-27,9.989999771118164
2017-11-28,10.670000076293945
2017-11-29,10.6899995803833
2017-11-30,10.510000228881836
2017-12-01,10.970000267028809
2017-12-04,10.600000381469727
2017-12-05,10.949999809265137
2017-12-06,10.520000457763672
2017-12-07,10.260000228881836
2017-12-08,11.319999694824219
2017-12-11,11.380000114440918
2017-12-12,11.1899995803833
2017-12-13,11.180000305175781
2017-12-14,11.1899995803833
2017-12-15,11.109999656677246
2017-12-18,11.15999984741211
2017-12-19,11.15999984741211
2017-12-20,11.069999694824219
2017-12-21,10.989999771118164
2017-12-22,11.1899995803833
2017-12-26,11.0
2017-12-27,11.239999771118164
2017-12-28,11.239999771118164
2017-12-29,11.199999809265137
2018-01-02,11.3100004196167
2018-01-03,11.210000038146973
2018-01-04,11.350000381469727
2018-01-05,11.619999885559082
2018-01-08,10.829999923706055
2018-01-09,10.949999809265137
2018-01-10,11.020000457763672
2018-01-11,11.039999961853027
2018-01-12,11.010000228881836
2018-01-16,10.899999618530273
2018-01-17,10.899999618530273
2018-01-18,10.65999984741211
2018-01-19,10.880000114440918
2018-01-22,11.539999961853027
2018-01-23,11.649999618530273
2018-01-24,10.930000305175781
2018-01-25,11.630000114440918
2018-01-26,11.180000305175781
2018-01-29,11.579999923706055
2018-01-30,11.09000015258789
2018-01-31,11.09000015258789
2018-02-01,11.329999923706055
2018-02-02,10.949999809265137
2018-02-05,10.369999885559082
2018-02-06,10.4399995803833
2018-02-07,10.640000343322754
2018-02-08,10.550000190734863
2018-02-09,10.279999732971191
2018-02-12,9.960000038146973
2018-02-13,9.609999656677246
2018-02-14,9.850000381469727
2018-02-15,9.699999809265137
2018-02-16,9.694999694824219
2018-02-20,9.699999809265137
2018-02-21,9.699999809265137
2018-02-22,9.329999923706055
2018-02-23,9.020000457763672
2018-02-26,9.039999961853027
2018-02-27,8.520000457763672
2018-02-28,8.789999961853027
2018-03-01,8.869999885559082
2018-03-02,8.569999694824219
2018-03-05,8.40999984741211
2018-03-06,8.600000381469727
2018-03-07,8.699999809265137
2018-03-08,8.6899995803833
2018-03-09,8.630000114440918
2018-03-12,8.6899995803833
2018-03-13,8.5
2018-03-14,8.699999809265137
2018-03-15,8.600000381469727
2018-03-16,8.949999809265137
2018-03-19,8.989999771118164
2018-03-20,8.850000381469727
2018-03-21,9.050000190734863
2018-03-22,8.979999542236328
2018-03-23,8.600000381469727
2018-03-26,8.289999961853027
2018-03-27,7.949999809265137
2018-03-28,8.319999694824219
2018-03-29,8.0
2018-04-02,7.900000095367432
2018-04-03,7.829999923706055
2018-04-04,8.170000076293945
2018-04-05,8.170000076293945
2018-04-06,8.069999694824219
2018-04-09,7.710000038146973
2018-04-10,7.710000038146973
2018-04-11,7.900000095367432
2018-04-12,7.75
2018-04-13,7.869999885559082
2018-04-16,7.75
2018-04-17,7.409999847412109
2018-04-18,7.710000038146973
2018-04-19,8.180000305175781
2018-04-20,7.909999847412109
2018-04-23,7.809999942779541
2018-04-24,7.619999885559082
2018-04-25,8.050000190734863
2018-04-26,7.96999979019165
2018-04-27,7.820000171661377
2018-04-30,7.78000020980835
2018-05-01,7.480000019073486
2018-05-02,7.449999809265137
2018-05-03,7.5
2018-05-04,7.159999847412109
2018-05-07,7.559999942779541
2018-05-08,7.679999828338623
2018-05-09,7.429999828338623
2018-05-10,7.53000020980835
2018-05-11,7.880000114440918
2018-05-14,7.980000019073486
2018-05-15,8.039999961853027
2018-05-16,8.119999885559082
2018-05-17,8.8100004196167
2018-05-18,9.949999809265137
2018-05-21,10.050000190734863
2018-05-22,9.670000076293945
2018-05-23,9.319999694824219
2018-05-24,9.029999732971191
2018-05-25,9.270000457763672
2018-05-29,9.130000114440918
2018-05-30,9.050000190734863
2018-05-31,8.979999542236328
2018-06-01,8.9399995803833
2018-06-04,8.800000190734863
2018-06-05,9.079999923706055
2018-06-06,9.210000038146973
2018-06-07,9.069999694824219
2018-06-08,9.130000114440918
2018-06-11,9.210000038146973
2018-06-12,9.0
2018-06-13,9.100000381469727
2018-06-14,9.0
2018-06-15,8.600000381469727
2018-06-18,8.25
2018-06-19,8.170000076293945
2018-06-20,8.010000228881836
2018-06-21,7.900000095367432
2018-06-22,7.760000228881836
2018-06-25,7.840000152587891
2018-06-26,7.619999885559082
2018-06-27,7.599999904632568
2018-06-28,7.21999979019165
2018-06-29,7.570000171661377
2018-07-02,8.069999694824219
2018-07-03,7.71999979019165
2018-07-05,7.914999961853027
2018-07-06,8.0
2018-07-09,8.09000015258789
2018-07-10,8.079999923706055
2018-07-11,8.279999732971191
2018-07-12,8.119999885559082
2018-07-13,8.199999809265137
2018-07-16,8.1899995803833
2018-07-17,8.260000228881836
2018-07-18,8.40999984741211
2018-07-19,8.140000343322754
2018-07-20,8.130000114440918
2018-07-23,8.350000381469727
2018-07-24,8.369999885559082
2018-07-25,8.510000228881836
2018-07-26,8.59000015258789
2018-07-27,8.079999923706055
2018-07-30,7.360000133514404
2018-07-31,6.974999904632568
2018-08-01,6.940000057220459
2018-08-02,7.0
2018-08-03,6.929999828338623
2018-08-06,6.809999942779541
2018-08-07,6.809999942779541
2018-08-08,6.809999942779541
2018-08-09,6.849999904632568
2018-08-10,7.019999980926514
2018-08-13,6.989999771118164
2018-08-14,6.849999904632568
2018-08-15,6.519999980926514
2018-08-16,6.5
2018-08-17,5.78000020980835
2018-08-20,5.679999828338623
2018-08-21,5.699999809265137
2018-08-22,6.079999923706055
2018-08-23,6.090000152587891
2018-08-24,6.320000171661377
2018-08-27,6.159999847412109
2018-08-28,6.349999904632568
2018-08-29,6.329999923706055
2018-08-30,6.210000038146973
2018-08-31,6.71999979019165
2018-09-04,6.300000190734863
2018-09-05,6.400000095367432
2018-09-06,6.699999809265137
2018-09-07,6.690000057220459
2018-09-10,6.590000152587891
2018-09-11,6.059999942779541
2018-09-12,6.489999771118164
2018-09-13,6.239999771118164
2018-09-14,6.199999809265137
2018-09-17,6.110000133514404
2018-09-18,6.480000019073486
2018-09-19,6.449999809265137
2018-09-20,6.449999809265137
2018-09-21,6.179999828338623
2018-09-24,6.5
2018-09-25,6.389999866485596
2018-09-26,6.349999904632568
2018-09-27,6.449999809265137
2018-09-28,6.329999923706055
2018-10-01,5.860000133514404
2018-10-02,6.070000171661377
2018-10-03,5.989999771118164
