,AVRO
2020-03-26,14.649999618530273
2020-03-27,14.869999885559082
2020-03-30,16.530000686645508
2020-03-31,15.5600004196167
2020-04-01,12.1899995803833
2020-04-02,13.34000015258789
2020-04-03,13.510000228881836
2020-04-06,14.979999542236328
2020-04-07,13.449999809265137
2020-04-08,13.739999771118164
2020-04-09,13.979999542236328
2020-04-13,13.260000228881836
2020-04-14,14.25
2020-04-15,13.399999618530273
2020-04-16,12.510000228881836
2020-04-17,13.319999694824219
2020-04-20,14.170000076293945
2020-04-21,13.829999923706055
2020-04-22,14.220000267028809
2020-04-23,14.0600004196167
2020-04-24,14.479999542236328
2020-04-27,14.869999885559082
2020-04-28,13.850000381469727
2020-04-29,14.520000457763672
2020-04-30,12.869999885559082
2020-05-01,13.149999618530273
2020-05-04,13.65999984741211
2020-05-05,15.710000038146973
2020-05-06,15.260000228881836
2020-05-07,14.59000015258789
2020-05-08,14.369999885559082
2020-05-11,16.809999465942383
2020-05-12,17.0
2020-05-13,16.75
2020-05-14,15.579999923706055
2020-05-15,15.25
2020-05-18,15.09000015258789
2020-05-19,15.600000381469727
2020-05-20,17.020000457763672
2020-05-21,17.31999969482422
2020-05-22,17.600000381469727
2020-05-26,20.239999771118164
2020-05-27,20.610000610351562
2020-05-28,19.18000030517578
2020-05-29,20.219999313354492
2020-06-01,20.90999984741211
2020-06-02,21.059999465942383
2020-06-03,21.56999969482422
2020-06-04,21.90999984741211
2020-06-05,22.84000015258789
2020-06-08,22.700000762939453
2020-06-09,22.959999084472656
2020-06-10,22.530000686645508
2020-06-11,21.6299991607666
2020-06-12,21.940000534057617
2020-06-15,20.549999237060547
2020-06-16,21.510000228881836
2020-06-17,21.18000030517578
2020-06-18,22.0
2020-06-19,22.139999389648438
2020-06-22,22.06999969482422
2020-06-23,20.5
2020-06-24,18.920000076293945
2020-06-25,19.530000686645508
2020-06-26,18.489999771118164
2020-06-29,17.559999465942383
2020-06-30,17.450000762939453
2020-07-01,17.829999923706055
2020-07-02,17.770000457763672
2020-07-06,17.8799991607666
2020-07-07,17.84000015258789
2020-07-08,17.440000534057617
2020-07-09,17.510000228881836
2020-07-10,17.40999984741211
2020-07-13,16.440000534057617
2020-07-14,16.829999923706055
2020-07-15,17.979999542236328
2020-07-16,18.270000457763672
2020-07-17,18.399999618530273
2020-07-20,19.149999618530273
2020-07-21,18.90999984741211
2020-07-22,19.09000015258789
2020-07-23,18.790000915527344
2020-07-24,18.280000686645508
2020-07-27,19.40999984741211
2020-07-28,18.81999969482422
2020-07-29,17.790000915527344
2020-07-30,18.020000457763672
2020-07-31,16.950000762939453
2020-08-03,17.360000610351562
2020-08-04,16.030000686645508
2020-08-05,16.31999969482422
2020-08-06,16.8700008392334
2020-08-07,16.5
2020-08-10,17.760000228881836
2020-08-11,17.049999237060547
2020-08-12,17.56999969482422
2020-08-13,17.3799991607666
2020-08-14,16.940000534057617
2020-08-17,17.579999923706055
2020-08-18,17.270000457763672
2020-08-19,17.3700008392334
2020-08-20,17.700000762939453
2020-08-21,17.15999984741211
2020-08-24,16.760000228881836
2020-08-25,16.989999771118164
2020-08-26,16.979999542236328
2020-08-27,17.049999237060547
2020-08-28,17.399999618530273
2020-08-31,17.31999969482422
2020-09-01,16.399999618530273
2020-09-02,15.850000381469727
2020-09-03,15.930000305175781
2020-09-04,16.420000076293945
2020-09-08,16.219999313354492
2020-09-09,16.579999923706055
2020-09-10,16.110000610351562
2020-09-11,15.010000228881836
2020-09-14,15.529999732971191
2020-09-15,16.329999923706055
2020-09-16,16.18000030517578
2020-09-17,16.43000030517578
2020-09-18,16.0
2020-09-21,15.0
2020-09-22,14.8100004196167
2020-09-23,13.510000228881836
2020-09-24,13.100000381469727
2020-09-25,13.59000015258789
2020-09-28,12.989999771118164
2020-09-29,13.329999923706055
2020-09-30,13.020000457763672
2020-10-01,13.460000038146973
2020-10-02,12.789999961853027
2020-10-05,14.170000076293945
2020-10-06,14.449999809265137
2020-10-07,14.289999961853027
2020-10-08,15.600000381469727
2020-10-09,15.119999885559082
2020-10-12,15.130000114440918
2020-10-13,15.850000381469727
2020-10-14,15.539999961853027
2020-10-15,15.8100004196167
2020-10-16,15.680000305175781
2020-10-19,16.139999389648438
2020-10-20,15.609999656677246
2020-10-21,15.529999732971191
2020-10-22,16.5
2020-10-23,16.68000030517578
2020-10-26,16.18000030517578
2020-10-27,16.100000381469727
2020-10-28,14.609999656677246
2020-10-29,14.930000305175781
2020-10-30,14.279999732971191
2020-11-02,13.84000015258789
2020-11-03,15.510000228881836
2020-11-04,16.65999984741211
2020-11-05,14.90999984741211
2020-11-06,14.6899995803833
2020-11-09,16.239999771118164
2020-11-10,16.190000534057617
2020-11-11,15.640000343322754
2020-11-12,16.0
2020-11-13,16.229999542236328
2020-11-16,16.219999313354492
2020-11-17,16.360000610351562
2020-11-18,17.100000381469727
2020-11-19,16.979999542236328
2020-11-20,13.989999771118164
2020-11-23,13.720000267028809
2020-11-24,14.029999732971191
2020-11-25,14.0
2020-11-27,14.029999732971191
2020-11-30,13.770000457763672
2020-12-01,13.800000190734863
2020-12-02,13.5
2020-12-03,13.390000343322754
2020-12-04,13.270000457763672
2020-12-07,12.9399995803833
2020-12-08,12.819999694824219
2020-12-09,12.819999694824219
2020-12-10,13.210000038146973
2020-12-11,13.3100004196167
2020-12-14,13.5
2020-12-15,13.789999961853027
2020-12-16,14.479999542236328
2020-12-17,14.789999961853027
2020-12-18,14.84000015258789
2020-12-21,15.229999542236328
2020-12-22,14.75
2020-12-23,15.039999961853027
2020-12-24,14.680000305175781
2020-12-28,14.680000305175781
2020-12-29,14.270000457763672
2020-12-30,14.520000457763672
2020-12-31,13.9399995803833
2021-01-04,14.569999694824219
2021-01-05,14.300000190734863
2021-01-06,14.979999542236328
2021-01-07,15.75
2021-01-08,15.079999923706055
2021-01-11,14.989999771118164
2021-01-12,15.039999961853027
2021-01-13,14.329999923706055
2021-01-14,14.9399995803833
2021-01-15,14.390000343322754
2021-01-19,14.59000015258789
2021-01-20,14.930000305175781
2021-01-21,14.039999961853027
2021-01-22,14.59000015258789
2021-01-25,14.90999984741211
2021-01-26,14.4399995803833
2021-01-27,14.119999885559082
2021-01-28,14.300000190734863
2021-01-29,14.3100004196167
2021-02-01,14.550000190734863
2021-02-02,15.4399995803833
2021-02-03,15.100000381469727
2021-02-04,16.020000457763672
2021-02-05,17.110000610351562
2021-02-08,19.299999237060547
2021-02-09,17.690000534057617
2021-02-10,16.790000915527344
2021-02-11,16.809999465942383
2021-02-12,16.1299991607666
2021-02-16,11.619999885559082
2021-02-17,11.800000190734863
2021-02-18,11.59000015258789
2021-02-19,11.84000015258789
2021-02-22,11.25
2021-02-23,11.09000015258789
2021-02-24,11.020000457763672
2021-02-25,11.0
2021-02-26,11.0
2021-03-01,11.449999809265137
2021-03-02,11.380000114440918
2021-03-03,11.020000457763672
2021-03-04,10.539999961853027
2021-03-05,11.319999694824219
2021-03-08,11.460000038146973
2021-03-09,12.260000228881836
2021-03-10,13.65999984741211
2021-03-11,13.229999542236328
2021-03-12,13.210000038146973
2021-03-15,13.050000190734863
2021-03-16,13.539999961853027
2021-03-17,13.699999809265137
2021-03-18,12.789999961853027
2021-03-19,12.520000457763672
2021-03-22,12.850000381469727
2021-03-23,11.890000343322754
2021-03-24,11.220000267028809
2021-03-25,11.880000114440918
2021-03-26,11.979999542236328
2021-03-29,11.5
2021-03-30,11.920000076293945
2021-03-31,12.6899995803833
2021-04-01,12.3100004196167
2021-04-05,12.600000381469727
2021-04-06,11.6899995803833
2021-04-07,11.40999984741211
2021-04-08,11.600000381469727
2021-04-09,11.319999694824219
2021-04-12,11.289999961853027
2021-04-13,10.649999618530273
2021-04-14,11.210000038146973
2021-04-15,11.5
2021-04-16,10.350000381469727
2021-04-19,10.260000228881836
2021-04-20,10.489999771118164
2021-04-21,11.09000015258789
2021-04-22,11.329999923706055
2021-04-23,11.34000015258789
2021-04-26,11.800000190734863
2021-04-27,11.609999656677246
2021-04-28,11.510000228881836
2021-04-29,11.59000015258789
2021-04-30,11.680000305175781
2021-05-03,9.479999542236328
2021-05-04,8.979999542236328
2021-05-05,8.720000267028809
2021-05-06,8.75
2021-05-07,8.600000381469727
2021-05-10,7.840000152587891
2021-05-11,8.479999542236328
2021-05-12,8.789999961853027
2021-05-13,8.789999961853027
2021-05-14,9.600000381469727
