,COMT
2017-02-22,34.56999969482422
2017-02-23,35.29999923706055
2017-02-24,34.4900016784668
2017-02-27,34.400001525878906
2017-02-28,34.45000076293945
2017-03-01,34.7400016784668
2017-03-02,34.15999984741211
2017-03-03,34.43000030517578
2017-03-06,34.290000915527344
2017-03-07,34.20000076293945
2017-03-08,33.43000030517578
2017-03-09,33.209999084472656
2017-03-10,32.90999984741211
2017-03-13,33.0
2017-03-14,32.790000915527344
2017-03-15,33.25
2017-03-16,33.189998626708984
2017-03-17,33.22999954223633
2017-03-20,33.27000045776367
2017-03-21,32.93000030517578
2017-03-22,32.95000076293945
2017-03-23,32.900001525878906
2017-03-24,32.86000061035156
2017-03-27,32.779998779296875
2017-03-28,32.93000030517578
2017-03-29,33.220001220703125
2017-03-30,33.38999938964844
2017-03-31,33.540000915527344
2017-04-03,33.43000030517578
2017-04-04,33.72999954223633
2017-04-05,33.7400016784668
2017-04-06,33.959999084472656
2017-04-07,33.9900016784668
2017-04-10,34.349998474121094
2017-04-11,34.41999816894531
2017-04-12,34.31999969482422
2017-04-13,34.27000045776367
2017-04-17,34.22999954223633
2017-04-18,34.08000183105469
2017-04-19,33.54999923706055
2017-04-20,33.5
2017-04-21,33.220001220703125
2017-04-24,33.15999984741211
2017-04-25,33.43000030517578
2017-04-26,33.2599983215332
2017-04-27,33.099998474121094
2017-04-28,33.220001220703125
2017-05-01,33.209999084472656
2017-05-02,32.869998931884766
2017-05-03,32.709999084472656
2017-05-04,32.119998931884766
2017-05-05,32.470001220703125
2017-05-08,32.43000030517578
2017-05-09,32.290000915527344
2017-05-10,32.75
2017-05-11,32.81999969482422
2017-05-12,32.83000183105469
2017-05-15,33.040000915527344
2017-05-16,33.08000183105469
2017-05-17,33.150001525878906
2017-05-18,33.06999969482422
2017-05-19,33.599998474121094
2017-05-22,33.81999969482422
2017-05-23,33.77000045776367
2017-05-24,33.75
2017-05-25,33.06999969482422
2017-05-26,33.27000045776367
2017-05-30,33.06999969482422
2017-05-31,32.790000915527344
2017-06-01,32.689998626708984
2017-06-02,32.70000076293945
2017-06-05,32.540000915527344
2017-06-06,32.7400016784668
2017-06-07,32.279998779296875
2017-06-08,32.349998474121094
2017-06-09,32.470001220703125
2017-06-12,32.36000061035156
2017-06-13,32.529998779296875
2017-06-14,31.940000534057617
2017-06-15,31.829999923706055
2017-06-16,32.06999969482422
2017-06-19,31.959999084472656
2017-06-20,31.600000381469727
2017-06-21,31.239999771118164
2017-06-22,31.25
2017-06-23,31.420000076293945
2017-06-26,31.549999237060547
2017-06-27,31.65999984741211
2017-06-28,31.90999984741211
2017-06-29,31.959999084472656
2017-06-30,32.59000015258789
2017-07-03,33.0
2017-07-05,32.47999954223633
2017-07-06,32.45000076293945
2017-07-07,32.150001525878906
2017-07-10,32.4900016784668
2017-07-11,32.709999084472656
2017-07-12,32.70000076293945
2017-07-13,32.77000045776367
2017-07-14,33.08000183105469
2017-07-17,32.959999084472656
2017-07-18,33.029998779296875
2017-07-19,33.41999816894531
2017-07-20,33.29999923706055
2017-07-21,32.880001068115234
2017-07-24,32.91999816894531
2017-07-25,33.380001068115234
2017-07-26,33.54999923706055
2017-07-27,33.720001220703125
2017-07-28,33.869998931884766
2017-07-31,34.13999938964844
2017-08-01,33.88999938964844
2017-08-02,33.95000076293945
2017-08-03,33.790000915527344
2017-08-04,33.91999816894531
2017-08-07,33.91999816894531
2017-08-08,33.849998474121094
2017-08-09,33.939998626708984
2017-08-10,33.310001373291016
2017-08-11,33.38999938964844
2017-08-14,33.18000030517578
2017-08-15,33.08000183105469
2017-08-16,32.970001220703125
2017-08-17,32.83000183105469
2017-08-18,33.279998779296875
2017-08-21,32.91999816894531
2017-08-22,33.130001068115234
2017-08-23,33.369998931884766
2017-08-24,33.279998779296875
2017-08-25,33.349998474121094
2017-08-28,33.31999969482422
2017-08-29,33.400001525878906
2017-08-30,33.21799850463867
2017-08-31,34.0099983215332
2017-09-01,34.20000076293945
2017-09-05,34.209999084472656
2017-09-06,34.41999816894531
2017-09-07,34.439998626708984
2017-09-08,34.130001068115234
2017-09-11,34.25
2017-09-12,34.369998931884766
2017-09-13,34.54999923706055
2017-09-14,34.59000015258789
2017-09-15,34.810001373291016
2017-09-18,34.77000045776367
2017-09-19,34.7599983215332
2017-09-20,34.939998626708984
2017-09-21,34.88999938964844
2017-09-22,34.9900016784668
2017-09-25,35.41999816894531
2017-09-26,35.04999923706055
2017-09-27,35.0
2017-09-28,34.970001220703125
2017-09-29,34.84000015258789
2017-10-02,34.65999984741211
2017-10-03,34.68000030517578
2017-10-04,34.63999938964844
2017-10-05,35.04999923706055
2017-10-06,34.5
2017-10-09,34.560001373291016
2017-10-10,34.90999984741211
2017-10-11,34.939998626708984
2017-10-12,34.86000061035156
2017-10-13,35.31999969482422
2017-10-16,35.470001220703125
2017-10-17,35.400001525878906
2017-10-18,35.33000183105469
2017-10-19,35.13999938964844
2017-10-20,35.290000915527344
2017-10-23,35.27000045776367
2017-10-24,35.59000015258789
2017-10-25,35.47999954223633
2017-10-26,35.52000045776367
2017-10-27,35.849998474121094
2017-10-30,35.900001525878906
2017-10-31,35.959999084472656
