,DCPH
2021-01-05,53.79999923706055
2021-01-06,53.970001220703125
2021-01-07,55.61000061035156
2021-01-08,56.2400016784668
2021-01-11,53.63999938964844
2021-01-12,52.439998626708984
2021-01-13,51.63999938964844
2021-01-14,51.16999816894531
2021-01-15,50.06999969482422
2021-01-19,49.459999084472656
2021-01-20,50.15999984741211
2021-01-21,47.2400016784668
2021-01-22,46.7599983215332
2021-01-25,48.06999969482422
2021-01-26,46.029998779296875
2021-01-27,42.56999969482422
2021-01-28,44.63999938964844
2021-01-29,44.20000076293945
2021-02-01,45.86000061035156
2021-02-02,49.279998779296875
2021-02-03,47.40999984741211
2021-02-04,51.65999984741211
2021-02-05,51.36000061035156
2021-02-08,49.5
2021-02-09,48.31999969482422
2021-02-10,50.060001373291016
2021-02-11,49.72999954223633
2021-02-12,48.90999984741211
2021-02-16,47.790000915527344
2021-02-17,46.400001525878906
2021-02-18,45.41999816894531
2021-02-19,44.459999084472656
2021-02-22,43.54999923706055
2021-02-23,43.84000015258789
2021-02-24,43.2400016784668
2021-02-25,42.59000015258789
2021-02-26,43.779998779296875
2021-03-01,43.970001220703125
2021-03-02,44.310001373291016
2021-03-03,44.310001373291016
2021-03-04,42.959999084472656
2021-03-05,42.790000915527344
2021-03-08,40.38999938964844
2021-03-09,41.77000045776367
2021-03-10,41.529998779296875
2021-03-11,43.46500015258789
2021-03-12,43.119998931884766
2021-03-15,42.7400016784668
2021-03-16,42.189998626708984
2021-03-17,43.959999084472656
2021-03-18,42.4900016784668
2021-03-19,46.209999084472656
2021-03-22,45.52000045776367
2021-03-23,43.58000183105469
2021-03-24,42.95000076293945
2021-03-25,43.689998626708984
2021-03-26,43.779998779296875
2021-03-29,40.400001525878906
2021-03-30,41.529998779296875
2021-03-31,44.84000015258789
2021-04-01,46.029998779296875
2021-04-05,46.040000915527344
2021-04-06,44.4900016784668
2021-04-07,43.70000076293945
2021-04-08,44.40999984741211
2021-04-09,43.810001373291016
2021-04-12,44.04999923706055
2021-04-13,43.439998626708984
2021-04-14,45.959999084472656
2021-04-15,47.22999954223633
2021-04-16,47.0
2021-04-19,45.20000076293945
2021-04-20,45.900001525878906
2021-04-21,46.0
2021-04-22,47.529998779296875
2021-04-23,46.209999084472656
2021-04-26,47.95000076293945
2021-04-27,46.209999084472656
2021-04-28,47.470001220703125
2021-04-29,46.779998779296875
2021-04-30,46.369998931884766
2021-05-03,45.77000045776367
2021-05-04,43.290000915527344
2021-05-05,37.02000045776367
2021-05-06,34.540000915527344
2021-05-07,34.33000183105469
2021-05-10,32.90999984741211
2021-05-11,33.529998779296875
2021-05-12,33.0099983215332
2021-05-13,32.72999954223633
2021-05-14,34.59000015258789
