,CMTL
2017-10-09,21.540000915527344
2017-10-10,22.65999984741211
2017-10-11,22.690000534057617
2017-10-12,22.329999923706055
2017-10-13,22.110000610351562
2017-10-16,21.84000015258789
2017-10-17,21.540000915527344
2017-10-18,21.6200008392334
2017-10-19,21.09000015258789
2017-10-20,21.399999618530273
2017-10-23,21.65999984741211
2017-10-24,21.700000762939453
2017-10-25,21.649999618530273
2017-10-26,21.3799991607666
2017-10-27,21.479999542236328
2017-10-30,21.100000381469727
2017-10-31,21.510000228881836
2017-11-01,21.520000457763672
2017-11-02,21.059999465942383
2017-11-03,20.649999618530273
2017-11-06,20.579999923706055
2017-11-07,20.3700008392334
2017-11-08,20.270000457763672
2017-11-09,19.8700008392334
2017-11-10,19.56999969482422
2017-11-13,19.489999771118164
2017-11-14,19.719999313354492
2017-11-15,19.969999313354492
2017-11-16,20.68000030517578
2017-11-17,20.56999969482422
2017-11-20,20.690000534057617
2017-11-21,21.059999465942383
2017-11-22,21.040000915527344
2017-11-24,20.959999084472656
2017-11-27,21.209999084472656
2017-11-28,21.729999542236328
2017-11-29,21.06999969482422
2017-11-30,21.670000076293945
2017-12-01,21.15999984741211
2017-12-04,20.690000534057617
2017-12-05,20.760000228881836
2017-12-06,21.309999465942383
2017-12-07,22.06999969482422
2017-12-08,20.760000228881836
2017-12-11,20.6299991607666
2017-12-12,20.8700008392334
2017-12-13,22.0
2017-12-14,22.049999237060547
2017-12-15,23.149999618530273
2017-12-18,23.139999389648438
2017-12-19,22.649999618530273
2017-12-20,22.389999389648438
2017-12-21,22.3700008392334
2017-12-22,22.43000030517578
2017-12-26,22.270000457763672
2017-12-27,22.25
2017-12-28,22.190000534057617
2017-12-29,22.1200008392334
2018-01-02,22.5
2018-01-03,22.0
2018-01-04,21.979999542236328
2018-01-05,21.860000610351562
2018-01-08,21.350000381469727
2018-01-09,21.43000030517578
2018-01-10,21.139999389648438
2018-01-11,21.780000686645508
2018-01-12,21.979999542236328
2018-01-16,21.399999618530273
2018-01-17,21.690000534057617
2018-01-18,21.600000381469727
2018-01-19,21.90999984741211
2018-01-22,21.639999389648438
2018-01-23,21.299999237060547
2018-01-24,21.139999389648438
2018-01-25,21.709999084472656
2018-01-26,21.739999771118164
2018-01-29,21.43000030517578
2018-01-30,21.690000534057617
2018-01-31,21.6299991607666
2018-02-01,22.290000915527344
2018-02-02,22.06999969482422
2018-02-05,21.760000228881836
2018-02-06,21.84000015258789
2018-02-07,21.81999969482422
2018-02-08,21.360000610351562
2018-02-09,21.170000076293945
2018-02-12,21.540000915527344
2018-02-13,21.690000534057617
2018-02-14,21.649999618530273
2018-02-15,21.950000762939453
2018-02-16,21.8799991607666
2018-02-20,21.889999389648438
2018-02-21,23.3799991607666
2018-02-22,22.709999084472656
2018-02-23,22.520000457763672
2018-02-26,22.989999771118164
2018-02-27,22.690000534057617
2018-02-28,22.100000381469727
2018-03-01,22.81999969482422
2018-03-02,23.229999542236328
2018-03-05,24.020000457763672
2018-03-06,23.969999313354492
2018-03-07,24.270000457763672
2018-03-08,30.030000686645508
2018-03-09,30.649999618530273
2018-03-12,30.739999771118164
2018-03-13,30.459999084472656
2018-03-14,29.8799991607666
2018-03-15,30.25
2018-03-16,30.059999465942383
2018-03-19,30.260000228881836
2018-03-20,30.219999313354492
2018-03-21,30.100000381469727
2018-03-22,29.18000030517578
2018-03-23,29.0
2018-03-26,29.770000457763672
2018-03-27,29.229999542236328
2018-03-28,29.239999771118164
2018-03-29,29.889999389648438
2018-04-02,30.200000762939453
2018-04-03,30.40999984741211
2018-04-04,30.040000915527344
2018-04-05,30.530000686645508
2018-04-06,29.709999084472656
2018-04-09,29.239999771118164
2018-04-10,30.59000015258789
2018-04-11,30.709999084472656
2018-04-12,30.729999542236328
2018-04-13,31.18000030517578
2018-04-16,31.68000030517578
2018-04-17,32.63999938964844
2018-04-18,32.099998474121094
2018-04-19,31.829999923706055
2018-04-20,31.18000030517578
2018-04-23,31.020000457763672
2018-04-24,30.959999084472656
2018-04-25,30.709999084472656
2018-04-26,30.579999923706055
