,FDNI
2021-01-13,46.88999938964844
2021-01-14,47.72999954223633
2021-01-15,47.029998779296875
2021-01-19,48.619998931884766
2021-01-20,50.47999954223633
2021-01-21,50.77000045776367
2021-01-22,50.86000061035156
2021-01-25,51.88999938964844
2021-01-26,50.86000061035156
2021-01-27,48.790000915527344
2021-01-28,49.5
2021-01-29,48.33000183105469
2021-02-01,50.439998626708984
2021-02-02,51.540000915527344
2021-02-03,51.93000030517578
2021-02-04,52.099998474121094
2021-02-05,52.65999984741211
2021-02-08,52.95000076293945
2021-02-09,54.029998779296875
2021-02-10,54.9900016784668
2021-02-11,55.9900016784668
2021-02-12,56.060001373291016
2021-02-16,56.22999954223633
2021-02-17,55.84000015258789
2021-02-18,55.29999923706055
2021-02-19,56.08000183105469
2021-02-22,53.52000045776367
2021-02-23,52.68000030517578
2021-02-24,51.630001068115234
2021-02-25,49.959999084472656
2021-02-26,49.58000183105469
2021-03-01,51.5
2021-03-02,51.0
2021-03-03,49.79999923706055
2021-03-04,47.599998474121094
2021-03-05,47.869998931884766
2021-03-08,45.040000915527344
2021-03-09,47.22999954223633
2021-03-10,46.720001220703125
2021-03-11,48.560001373291016
2021-03-12,47.349998474121094
2021-03-15,47.06999969482422
2021-03-16,47.66999816894531
2021-03-17,47.31999969482422
2021-03-18,46.790000915527344
2021-03-19,46.91999816894531
2021-03-22,47.040000915527344
2021-03-23,46.4900016784668
2021-03-24,44.34000015258789
2021-03-25,43.650001525878906
2021-03-26,44.630001068115234
2021-03-29,43.939998626708984
2021-03-30,44.25
2021-03-31,45.18000030517578
2021-04-01,46.52000045776367
2021-04-05,46.790000915527344
2021-04-06,47.27000045776367
2021-04-07,45.849998474121094
2021-04-08,46.75
2021-04-09,46.41999816894531
2021-04-12,46.02000045776367
2021-04-13,46.27000045776367
2021-04-14,46.189998626708984
2021-04-15,46.650001525878906
2021-04-16,46.90999984741211
2021-04-19,46.0
2021-04-20,45.31999969482422
2021-04-21,45.56999969482422
2021-04-22,45.869998931884766
2021-04-23,46.81999969482422
2021-04-26,46.88999938964844
2021-04-27,47.34000015258789
2021-04-28,47.650001525878906
2021-04-29,46.880001068115234
2021-04-30,45.939998626708984
2021-05-03,45.70000076293945
2021-05-04,44.65999984741211
2021-05-05,44.630001068115234
2021-05-06,44.220001220703125
2021-05-07,44.459999084472656
2021-05-10,42.599998474121094
2021-05-11,42.619998931884766
2021-05-12,41.52000045776367
2021-05-13,40.459999084472656
2021-05-14,41.279998779296875
