,XPP
2018-04-17,84.0999984741211
2018-04-18,83.9000015258789
2018-04-19,84.30000305175781
2018-04-20,82.04000091552734
2018-04-23,81.9800033569336
2018-04-24,83.9000015258789
2018-04-25,82.20999908447266
2018-04-26,83.1500015258789
2018-04-27,83.62000274658203
2018-04-30,83.61000061035156
2018-05-01,83.54000091552734
2018-05-02,83.0
2018-05-03,81.55000305175781
2018-05-04,82.25
2018-05-07,81.54000091552734
2018-05-08,83.62000274658203
2018-05-09,85.18000030517578
2018-05-10,87.26000213623047
2018-05-11,88.01000213623047
2018-05-14,89.66000366210938
2018-05-15,86.66999816894531
2018-05-16,89.45999908447266
2018-05-17,86.4000015258789
2018-05-18,86.9000015258789
2018-05-21,88.19000244140625
2018-05-22,87.5
2018-05-23,85.5999984741211
2018-05-24,84.30000305175781
2018-05-25,84.19000244140625
2018-05-29,80.51000213623047
2018-05-30,81.0
2018-05-31,82.30000305175781
2018-06-01,84.51000213623047
2018-06-04,86.94999694824219
2018-06-05,87.05000305175781
2018-06-06,89.6500015258789
2018-06-07,88.7699966430664
2018-06-08,87.41000366210938
2018-06-11,86.98999786376953
2018-06-12,86.87000274658203
2018-06-13,84.4800033569336
2018-06-14,83.55000305175781
2018-06-15,82.5
2018-06-18,80.88999938964844
2018-06-19,78.22000122070312
2018-06-20,77.44000244140625
2018-06-21,73.6500015258789
2018-06-22,75.25
2018-06-25,72.16999816894531
2018-06-26,71.98999786376953
2018-06-27,68.0
2018-06-28,69.18000030517578
2018-06-29,71.05999755859375
2018-07-02,68.33999633789062
2018-07-03,68.20999908447266
2018-07-05,67.77999877929688
2018-07-06,69.01000213623047
2018-07-09,71.98999786376953
2018-07-10,71.29000091552734
2018-07-11,68.33000183105469
2018-07-12,70.87000274658203
2018-07-13,70.77999877929688
2018-07-16,69.12000274658203
2018-07-17,68.83999633789062
2018-07-18,68.19999694824219
2018-07-19,65.9000015258789
2018-07-20,68.87000274658203
2018-07-23,68.62999725341797
2018-07-24,73.0
2018-07-25,75.05999755859375
2018-07-26,72.37000274658203
2018-07-27,71.9800033569336
2018-07-30,71.83999633789062
2018-07-31,72.95999908447266
2018-08-01,69.61000061035156
2018-08-02,67.80999755859375
2018-08-03,67.87999725341797
2018-08-06,67.05999755859375
2018-08-07,70.0999984741211
2018-08-08,69.52999877929688
2018-08-09,71.73999786376953
2018-08-10,69.4000015258789
2018-08-13,67.91000366210938
2018-08-14,67.45999908447266
2018-08-15,62.779998779296875
2018-08-16,64.02999877929688
2018-08-17,65.66000366210938
2018-08-20,66.11000061035156
2018-08-21,68.70999908447266
2018-08-22,69.5
2018-08-23,67.22000122070312
2018-08-24,68.98999786376953
2018-08-27,71.45999908447266
2018-08-28,70.83000183105469
2018-08-29,72.02999877929688
2018-08-30,67.4000015258789
2018-08-31,68.1500015258789
2018-09-04,67.25
2018-09-05,64.7699966430664
2018-09-06,64.30000305175781
2018-09-07,63.310001373291016
2018-09-10,62.41999816894531
2018-09-11,61.90999984741211
2018-09-12,62.93000030517578
2018-09-13,65.70999908447266
2018-09-14,64.5
2018-09-17,63.900001525878906
2018-09-18,66.26000213623047
2018-09-19,68.54000091552734
2018-09-20,69.31999969482422
2018-09-21,70.55999755859375
2018-09-24,68.79000091552734
2018-09-25,69.33999633789062
2018-09-26,70.77999877929688
2018-09-27,70.05999755859375
2018-09-28,69.3499984741211
2018-10-01,70.26000213623047
2018-10-02,66.58999633789062
2018-10-03,65.77999877929688
2018-10-04,62.7599983215332
2018-10-05,63.119998931884766
2018-10-08,62.31999969482422
2018-10-09,62.0
2018-10-10,58.599998474121094
2018-10-11,57.630001068115234
2018-10-12,60.599998474121094
2018-10-15,58.720001220703125
2018-10-16,60.900001525878906
2018-10-17,59.29999923706055
2018-10-18,56.619998931884766
2018-10-19,58.52000045776367
2018-10-22,61.52000045776367
2018-10-23,60.5
