,CELH
2015-03-23,0.9900000095367432
2015-03-24,1.0800000429153442
2015-03-25,1.100000023841858
2015-03-26,1.25
2015-03-27,1.25
2015-03-30,1.25
2015-03-31,1.25
2015-04-01,1.2899999618530273
2015-04-02,1.409999966621399
2015-04-06,1.2999999523162842
2015-04-07,1.409999966621399
2015-04-08,1.5
2015-04-09,1.5
2015-04-10,1.600000023841858
2015-04-13,1.600000023841858
2015-04-14,1.5499999523162842
2015-04-15,1.5399999618530273
2015-04-16,1.5
2015-04-17,1.440000057220459
2015-04-20,1.590000033378601
2015-04-21,1.7899999618530273
2015-04-22,1.899999976158142
2015-04-23,2.299999952316284
2015-04-24,2.4100000858306885
2015-04-27,3.240000009536743
2015-04-28,2.9700000286102295
2015-04-29,2.799999952316284
2015-04-30,2.4700000286102295
2015-05-01,3.049999952316284
2015-05-04,2.859999895095825
2015-05-05,2.8499999046325684
2015-05-06,2.990000009536743
2015-05-07,2.5999999046325684
2015-05-08,3.140000104904175
2015-05-11,3.0999999046325684
2015-05-12,2.8399999141693115
2015-05-13,2.950000047683716
2015-05-14,2.8299999237060547
2015-05-15,2.8399999141693115
2015-05-18,2.799999952316284
2015-05-19,2.569999933242798
2015-05-20,2.4000000953674316
2015-05-21,2.690000057220459
2015-05-22,2.5899999141693115
2015-05-26,2.3499999046325684
2015-05-27,2.4000000953674316
2015-05-28,2.359999895095825
2015-05-29,2.309999942779541
2015-06-01,2.390000104904175
2015-06-02,2.2899999618530273
2015-06-03,2.4100000858306885
2015-06-04,2.380000114440918
2015-06-05,2.4200000762939453
2015-06-08,2.309999942779541
2015-06-09,2.299999952316284
2015-06-10,2.2799999713897705
2015-06-11,2.069999933242798
2015-06-12,2.1700000762939453
2015-06-15,2.0899999141693115
2015-06-16,2.069999933242798
2015-06-17,2.2699999809265137
2015-06-18,2.640000104904175
2015-06-19,2.8299999237060547
2015-06-22,3.009999990463257
2015-06-23,2.5399999618530273
2015-06-24,2.6500000953674316
2015-06-25,2.8499999046325684
2015-06-26,2.759999990463257
2015-06-29,2.75
2015-06-30,2.8299999237060547
2015-07-01,2.5799999237060547
2015-07-02,2.549999952316284
2015-07-06,2.3399999141693115
2015-07-07,2.5
2015-07-08,2.390000104904175
2015-07-09,2.4200000762939453
2015-07-10,2.4100000858306885
2015-07-13,2.3399999141693115
2015-07-14,2.4000000953674316
2015-07-15,2.319999933242798
2015-07-16,2.299999952316284
2015-07-17,2.309999942779541
2015-07-20,2.25
2015-07-21,2.180000066757202
2015-07-22,2.2100000381469727
2015-07-23,2.2899999618530273
2015-07-24,2.450000047683716
2015-07-27,2.5899999141693115
2015-07-28,2.490000009536743
2015-07-29,2.5799999237060547
2015-07-30,2.569999933242798
2015-07-31,2.5899999141693115
2015-08-03,2.640000104904175
2015-08-04,2.490000009536743
2015-08-05,2.4000000953674316
2015-08-06,2.509999990463257
2015-08-07,2.740000009536743
2015-08-10,2.5399999618530273
2015-08-11,2.299999952316284
2015-08-12,2.309999942779541
2015-08-13,2.2699999809265137
2015-08-14,2.2699999809265137
2015-08-17,2.1600000858306885
2015-08-18,2.109999895095825
2015-08-19,2.190000057220459
2015-08-20,2.109999895095825
2015-08-21,2.009999990463257
2015-08-24,1.840000033378601
2015-08-25,1.8899999856948853
2015-08-26,2.0399999618530273
2015-08-27,1.9500000476837158
2015-08-28,1.9500000476837158
2015-08-31,1.909999966621399
2015-09-01,1.909999966621399
2015-09-02,1.7999999523162842
2015-09-03,1.9299999475479126
2015-09-04,1.9900000095367432
2015-09-08,1.9500000476837158
2015-09-09,1.8899999856948853
2015-09-10,1.850000023841858
2015-09-11,1.809999942779541
2015-09-14,1.809999942779541
2015-09-15,1.940000057220459
2015-09-16,1.940000057220459
2015-09-17,1.9199999570846558
2015-09-18,1.840000033378601
2015-09-21,1.850000023841858
2015-09-22,1.850000023841858
2015-09-23,1.9500000476837158
2015-09-24,1.9500000476837158
2015-09-25,1.9700000286102295
2015-09-28,1.8300000429153442
2015-09-29,2.059999942779541
2015-09-30,2.0999999046325684
2015-10-01,2.0799999237060547
2015-10-02,2.2899999618530273
2015-10-05,2.299999952316284
2015-10-06,2.2799999713897705
2015-10-07,2.049999952316284
2015-10-08,1.9299999475479126
2015-10-09,2.0
2015-10-12,1.9700000286102295
2015-10-13,1.9900000095367432
2015-10-14,1.9800000190734863
2015-10-15,2.0
2015-10-16,2.0799999237060547
2015-10-19,2.1500000953674316
2015-10-20,2.0999999046325684
2015-10-21,2.049999952316284
2015-10-22,2.0999999046325684
2015-10-23,1.9800000190734863
