,CCNC
2018-03-13,4.600500106811523
2018-03-14,4.599999904632568
2018-03-15,4.650000095367432
2018-03-16,4.639999866485596
2018-03-19,4.639999866485596
2018-03-20,4.639999866485596
2018-03-21,4.639999866485596
2018-03-22,4.639999866485596
2018-03-23,4.639999866485596
2018-03-26,4.639999866485596
2018-03-27,4.639999866485596
2018-03-28,4.5
2018-03-29,4.5
2018-04-02,4.5
2018-04-03,4.5
2018-04-04,4.184999942779541
2018-04-05,4.184999942779541
2018-04-06,4.184999942779541
2018-04-09,4.184999942779541
2018-04-10,4.184999942779541
2018-04-11,4.184999942779541
2018-04-12,4.184999942779541
2018-04-13,4.184999942779541
2018-04-16,4.184999942779541
2018-04-17,4.184999942779541
2018-04-18,4.184999942779541
2018-04-19,4.184999942779541
2018-04-20,4.184999942779541
2018-04-23,4.184999942779541
2018-04-24,4.184999942779541
2018-04-25,4.184999942779541
2018-04-26,4.184999942779541
2018-04-27,4.184999942779541
2018-04-30,4.184999942779541
2018-05-01,4.184999942779541
2018-05-02,4.184999942779541
2018-05-03,4.184999942779541
2018-05-04,4.184999942779541
2018-05-07,4.184999942779541
2018-05-08,4.184999942779541
2018-05-09,4.184999942779541
2018-05-10,4.184999942779541
2018-05-11,4.184999942779541
2018-05-14,4.005000114440918
2018-05-15,4.005000114440918
2018-05-16,4.005000114440918
2018-05-17,4.005000114440918
2018-05-18,4.005000114440918
2018-05-21,4.005000114440918
2018-05-22,3.6050000190734863
2018-05-23,3.6050000190734863
2018-05-24,3.6050000190734863
2018-05-25,3.6050000190734863
2018-05-29,3.6050000190734863
2018-05-30,4.099999904632568
2018-05-31,4.099999904632568
2018-06-01,4.099999904632568
2018-06-04,4.099999904632568
2018-06-05,4.099999904632568
2018-06-06,4.099999904632568
2018-06-07,4.099999904632568
2018-06-08,4.099999904632568
2018-06-11,3.9749999046325684
2018-06-12,3.734999895095825
2018-06-13,3.688999891281128
2018-06-14,3.688999891281128
2018-06-15,3.688999891281128
2018-06-18,3.688999891281128
2018-06-19,3.688999891281128
2018-06-20,4.0
2018-06-21,4.328000068664551
2018-06-22,3.890000104904175
2018-06-25,3.690000057220459
2018-06-26,3.690000057220459
2018-06-27,3.690000057220459
2018-06-28,3.549999952316284
2018-06-29,3.996000051498413
2018-07-02,3.996000051498413
2018-07-03,3.996000051498413
2018-07-05,3.7290000915527344
2018-07-06,3.7290000915527344
2018-07-09,3.7290000915527344
2018-07-10,3.7290000915527344
2018-07-11,4.139999866485596
2018-07-12,3.7200000286102295
2018-07-13,4.119999885559082
2018-07-16,3.819999933242798
2018-07-17,3.9600000381469727
2018-07-18,3.799999952316284
2018-07-19,3.8499999046325684
2018-07-20,3.5199999809265137
2018-07-23,3.5199999809265137
2018-07-24,3.5199999809265137
2018-07-25,3.5199999809265137
2018-07-26,3.5
2018-07-27,3.5
2018-07-30,3.5
2018-07-31,3.5
2018-08-01,3.5
2018-08-02,3.5
2018-08-03,3.799999952316284
2018-08-06,3.799999952316284
2018-08-07,4.175000190734863
2018-08-08,4.175000190734863
2018-08-09,6.5
2018-08-10,5.25
2018-08-13,4.409999847412109
2018-08-14,4.870999813079834
2018-08-15,4.449999809265137
2018-08-16,4.300000190734863
2018-08-17,4.099999904632568
2018-08-20,3.799999952316284
2018-08-21,3.609999895095825
2018-08-22,4.0
2018-08-23,4.809999942779541
2018-08-24,4.059999942779541
2018-08-27,4.230000019073486
2018-08-28,4.340000152587891
2018-08-29,4.360000133514404
2018-08-30,3.9200000762939453
2018-08-31,3.996999979019165
2018-09-04,3.8589999675750732
2018-09-05,3.9100000858306885
2018-09-06,3.8580000400543213
2018-09-07,3.9040000438690186
2018-09-10,3.9040000438690186
2018-09-11,3.8499999046325684
2018-09-12,3.700000047683716
2018-09-13,3.5999999046325684
2018-09-14,2.9200000762939453
2018-09-17,2.6429998874664307
2018-09-18,2.5199999809265137
2018-09-19,2.247999906539917
2018-09-20,2.25
2018-09-21,2.0
2018-09-24,3.299999952316284
2018-09-25,2.5999999046325684
2018-09-26,2.6700000762939453
2018-09-27,2.490000009536743
2018-09-28,2.299999952316284
2018-10-01,2.450000047683716
2018-10-02,2.6689999103546143
2018-10-03,2.5
2018-10-04,2.1500000953674316
2018-10-05,2.1500000953674316
2018-10-08,2.1500000953674316
2018-10-09,2.0840001106262207
2018-10-10,2.1500000953674316
2018-10-11,2.1500000953674316
2018-10-12,2.049999952316284
2018-10-15,2.049999952316284
2018-10-16,2.0199999809265137
2018-10-17,2.683000087738037
2018-10-18,2.5950000286102295
2018-10-19,2.9619998931884766
2018-10-22,3.049999952316284
2018-10-23,3.25
2018-10-24,2.684999942779541
2018-10-25,2.700000047683716
2018-10-26,3.0
2018-10-29,3.0
2018-10-30,3.25
2018-10-31,3.240000009536743
2018-11-01,3.0989999771118164
2018-11-02,3.0989999771118164
2018-11-05,3.0989999771118164
2018-11-06,2.8499999046325684
2018-11-07,2.944999933242798
2018-11-08,2.759999990463257
2018-11-09,2.759999990463257
2018-11-12,2.6500000953674316
2018-11-13,2.6500000953674316
2018-11-14,2.6500000953674316
2018-11-15,2.5299999713897705
2018-11-16,2.5299999713897705
2018-11-19,2.4110000133514404
2018-11-20,2.3499999046325684
2018-11-21,2.3499999046325684
2018-11-23,2.3499999046325684
2018-11-26,2.259999990463257
2018-11-27,2.25
2018-11-28,2.119999885559082
2018-11-29,2.0
2018-11-30,2.0
2018-12-03,1.850000023841858
2018-12-04,1.850000023841858
2018-12-06,1.850000023841858
2018-12-07,1.850000023841858
2018-12-10,1.850000023841858
