,ESGD
2018-10-10,62.65800094604492
2018-10-11,61.93000030517578
2018-10-12,62.150001525878906
2018-10-15,62.060001373291016
2018-10-16,63.08000183105469
2018-10-17,62.619998931884766
2018-10-18,61.65999984741211
2018-10-19,62.029998779296875
2018-10-22,61.7400016784668
2018-10-23,61.130001068115234
2018-10-24,59.42499923706055
2018-10-25,60.15999984741211
2018-10-26,59.68000030517578
2018-10-29,59.58000183105469
2018-10-30,60.290000915527344
2018-10-31,60.779998779296875
2018-11-01,61.40999984741211
2018-11-02,61.54499816894531
2018-11-05,61.56999969482422
2018-11-06,61.84000015258789
2018-11-07,62.54999923706055
2018-11-08,62.04999923706055
2018-11-09,61.630001068115234
2018-11-12,60.65999984741211
2018-11-13,60.97999954223633
2018-11-14,61.040000915527344
2018-11-15,61.15999984741211
2018-11-16,61.22100067138672
2018-11-19,60.849998474121094
2018-11-20,59.68000030517578
2018-11-21,60.459999084472656
2018-11-23,60.09000015258789
2018-11-26,61.040000915527344
2018-11-27,60.900001525878906
2018-11-28,61.68000030517578
2018-11-29,61.36000061035156
2018-11-30,61.189998626708984
2018-12-03,61.97999954223633
2018-12-04,60.33000183105469
2018-12-06,59.83000183105469
2018-12-07,59.150001525878906
2018-12-10,58.66999816894531
2018-12-11,58.880001068115234
2018-12-12,59.560001373291016
2018-12-13,59.58000183105469
2018-12-14,58.790000915527344
2018-12-17,58.2400016784668
2018-12-18,57.779998779296875
2018-12-19,57.27000045776367
2018-12-20,56.869998931884766
2018-12-21,55.95000076293945
2018-12-24,55.20000076293945
2018-12-26,56.619998931884766
2018-12-27,56.84000015258789
2018-12-28,57.15999984741211
2018-12-31,57.380001068115234
2019-01-02,56.84000015258789
2019-01-03,56.619998931884766
2019-01-04,58.33000183105469
2019-01-07,58.560001373291016
2019-01-08,59.0
2019-01-09,59.59000015258789
2019-01-10,59.84000015258789
2019-01-11,59.43000030517578
2019-01-14,59.22999954223633
2019-01-15,59.33000183105469
2019-01-16,59.60300064086914
2019-01-17,59.720001220703125
2019-01-18,60.47999954223633
2019-01-22,59.599998474121094
2019-01-23,59.90999984741211
2019-01-24,60.040000915527344
2019-01-25,60.599998474121094
2019-01-28,60.349998474121094
2019-01-29,60.59000015258789
2019-01-30,61.209999084472656
2019-01-31,61.130001068115234
2019-02-01,61.06999969482422
2019-02-04,61.19499969482422
2019-02-05,61.810001373291016
2019-02-06,61.400001525878906
2019-02-07,60.66999816894531
2019-02-08,60.45000076293945
2019-02-11,60.29999923706055
2019-02-12,61.060001373291016
2019-02-13,61.06999969482422
2019-02-14,61.099998474121094
2019-02-15,61.939998626708984
2019-02-19,62.18000030517578
2019-02-20,62.41999816894531
2019-02-21,62.2599983215332
2019-02-22,62.470001220703125
2019-02-25,62.650001525878906
2019-02-26,63.0
2019-02-27,62.720001220703125
2019-02-28,62.61000061035156
2019-03-01,62.88999938964844
2019-03-04,62.7599983215332
2019-03-05,62.849998474121094
2019-03-06,62.66999816894531
2019-03-07,61.779998779296875
2019-03-08,61.77000045776367
2019-03-11,62.38999938964844
2019-03-12,62.38999938964844
2019-03-13,62.91999816894531
2019-03-14,62.880001068115234
2019-03-15,63.5
2019-03-18,63.7599983215332
2019-03-19,63.95500183105469
2019-03-20,63.970001220703125
2019-03-21,63.95000076293945
2019-03-22,62.672000885009766
2019-03-25,62.70399856567383
2019-03-26,63.08000183105469
2019-03-27,63.02000045776367
2019-03-28,62.81999969482422
2019-03-29,63.18000030517578
2019-04-01,63.959999084472656
2019-04-02,64.04000091552734
2019-04-03,64.51000213623047
2019-04-04,64.38999938964844
2019-04-05,64.51000213623047
2019-04-08,64.58999633789062
2019-04-09,64.19000244140625
2019-04-10,64.4000015258789
2019-04-11,64.3499984741211
2019-04-12,64.75
2019-04-15,64.73999786376953
2019-04-16,64.9000015258789
2019-04-17,65.11000061035156
2019-04-18,65.05999755859375
2019-04-22,65.01000213623047
2019-04-23,65.06999969482422
2019-04-24,64.62999725341797
2019-04-25,64.5250015258789
2019-04-26,64.80000305175781
2019-04-29,65.06999969482422
2019-04-30,65.16000366210938
2019-05-01,64.83000183105469
2019-05-02,64.55000305175781
2019-05-03,65.25
2019-05-06,64.63999938964844
2019-05-07,63.59000015258789
2019-05-08,63.54999923706055
2019-05-09,63.2400016784668
2019-05-10,63.61000061035156
2019-05-13,62.189998626708984
2019-05-14,62.88999938964844
2019-05-15,63.15999984741211
2019-05-16,63.45000076293945
2019-05-17,63.220001220703125
2019-05-20,62.86000061035156
2019-05-21,63.290000915527344
2019-05-22,63.08000183105469
2019-05-23,62.33000183105469
2019-05-24,63.130001068115234
2019-05-28,62.59000015258789
2019-05-29,62.08000183105469
2019-05-30,62.369998931884766
2019-05-31,61.869998931884766
2019-06-03,62.279998779296875
2019-06-04,62.86000061035156
2019-06-05,62.93000030517578
2019-06-06,63.11000061035156
2019-06-07,63.97999954223633
2019-06-10,64.22000122070312
2019-06-11,64.48999786376953
2019-06-12,63.959999084472656
2019-06-13,64.0199966430664
2019-06-14,63.54800033569336
2019-06-17,62.439998626708984
2019-06-18,63.290000915527344
2019-06-19,63.70000076293945
2019-06-20,64.2300033569336
2019-06-21,63.939998626708984
2019-06-24,64.1500015258789
2019-06-25,63.75
2019-06-26,63.75
2019-06-27,64.0
2019-06-28,64.30999755859375
2019-07-01,64.70999908447266
2019-07-02,64.7699966430664
2019-07-03,65.27999877929688
2019-07-05,64.70999908447266
2019-07-08,64.43000030517578
2019-07-09,64.11000061035156
2019-07-10,64.27999877929688
2019-07-11,64.26000213623047
2019-07-12,64.33999633789062
2019-07-15,64.41000366210938
2019-07-16,64.08000183105469
2019-07-17,64.06500244140625
2019-07-18,64.16999816894531
2019-07-19,64.02999877929688
2019-07-22,64.12000274658203
2019-07-23,64.51000213623047
2019-07-24,64.55999755859375
2019-07-25,64.0199966430664
2019-07-26,64.08000183105469
2019-07-29,64.2300033569336
2019-07-30,63.470001220703125
2019-07-31,63.130001068115234
2019-08-01,62.95000076293945
2019-08-02,62.34000015258789
2019-08-05,60.88999938964844
2019-08-06,61.29999923706055
2019-08-07,61.68000030517578
2019-08-08,62.18000030517578
2019-08-09,61.849998474121094
2019-08-12,61.2599983215332
2019-08-13,61.7599983215332
2019-08-14,60.16999816894531
2019-08-15,60.349998474121094
2019-08-16,61.08000183105469
2019-08-19,61.470001220703125
2019-08-20,61.220001220703125
2019-08-21,61.77000045776367
2019-08-22,61.63999938964844
2019-08-23,60.91999816894531
2019-08-26,61.47999954223633
2019-08-27,61.43000030517578
2019-08-28,61.40999984741211
2019-08-29,61.88999938964844
2019-08-30,62.150001525878906
2019-09-03,61.95000076293945
2019-09-04,62.86000061035156
2019-09-05,63.22999954223633
2019-09-06,63.45000076293945
2019-09-09,63.54999923706055
2019-09-10,63.709999084472656
2019-09-11,64.12000274658203
2019-09-12,64.41000366210938
2019-09-13,64.7750015258789
2019-09-16,64.20999908447266
2019-09-17,64.61000061035156
2019-09-18,64.48999786376953
2019-09-19,64.72000122070312
2019-09-20,64.5
2019-09-23,64.41000366210938
2019-09-24,64.23999786376953
2019-09-25,63.95000076293945
2019-09-26,64.29000091552734
2019-09-27,63.98500061035156
2019-09-30,64.12000274658203
2019-10-01,63.58000183105469
2019-10-02,62.29999923706055
2019-10-03,62.709999084472656
2019-10-04,63.27000045776367
2019-10-07,63.2400016784668
2019-10-08,62.55500030517578
2019-10-09,63.06999969482422
