,APEN
2013-02-08,372.67999267578125
2013-02-11,379.6099853515625
2013-02-12,372.67999267578125
2013-02-13,376.5299987792969
2013-02-14,364.9800109863281
2013-02-15,366.5199890136719
2013-02-19,370.3699951171875
2013-02-20,358.82000732421875
2013-02-21,358.04998779296875
2013-02-22,350.3500061035156
2013-02-25,351.8900146484375
2013-02-26,346.5
2013-02-27,329.55999755859375
2013-02-28,326.4800109863281
2013-03-01,338.79998779296875
2013-03-04,323.3999938964844
2013-03-05,331.8699951171875
2013-03-06,358.04998779296875
2013-03-07,358.04998779296875
2013-03-08,357.2799987792969
2013-03-11,354.9700012207031
2013-03-12,361.1300048828125
2013-03-13,355.739990234375
2013-03-14,344.19000244140625
2013-03-15,338.0299987792969
2013-03-18,327.25
2013-03-19,327.25
2013-03-20,325.7099914550781
2013-03-21,324.94000244140625
2013-03-22,360.3599853515625
2013-03-25,381.1499938964844
2013-03-26,373.45001220703125
2013-03-27,377.29998779296875
2013-03-28,386.5400085449219
2013-04-01,378.07000732421875
2013-04-02,378.07000732421875
2013-04-03,363.44000244140625
2013-04-04,364.9800109863281
2013-04-05,389.6199951171875
2013-04-08,385.7699890136719
2013-04-09,384.2300109863281
2013-04-10,385.0
2013-04-11,385.7699890136719
2013-04-12,385.0
2013-04-15,380.3800048828125
2013-04-16,385.7699890136719
2013-04-17,373.45001220703125
2013-04-18,375.760009765625
2013-04-19,371.1400146484375
2013-04-22,385.0
2013-04-23,390.3900146484375
2013-04-24,388.8500061035156
2013-04-25,378.8399963378906
2013-04-26,381.9200134277344
2013-04-29,385.0
2013-04-30,383.4599914550781
2013-05-01,378.07000732421875
2013-05-02,383.4599914550781
2013-05-03,390.3900146484375
2013-05-06,383.4599914550781
2013-05-07,384.2300109863281
2013-05-08,383.4599914550781
2013-05-09,381.9200134277344
2013-05-10,381.9200134277344
2013-05-13,373.45001220703125
2013-05-14,383.4599914550781
2013-05-15,382.69000244140625
2013-05-16,381.1499938964844
2013-05-17,384.2300109863281
2013-05-20,381.1499938964844
2013-05-21,377.29998779296875
2013-05-22,374.989990234375
2013-05-23,380.3800048828125
2013-05-24,384.2300109863281
2013-05-28,383.4599914550781
2013-05-29,383.4599914550781
2013-05-30,388.0799865722656
2013-05-31,386.5400085449219
2013-06-03,387.30999755859375
2013-06-04,383.4599914550781
2013-06-05,378.8399963378906
2013-06-06,376.5299987792969
2013-06-07,372.67999267578125
2013-06-10,368.05999755859375
2013-06-11,361.1300048828125
2013-06-12,367.2900085449219
2013-06-13,368.8299865722656
2013-06-14,364.2099914550781
2013-06-17,358.04998779296875
2013-06-18,351.8900146484375
2013-06-19,352.6600036621094
2013-06-20,354.20001220703125
2013-06-21,365.75
2013-06-24,348.0400085449219
2013-06-25,347.2699890136719
2013-06-26,358.04998779296875
2013-06-27,351.1199951171875
2013-06-28,338.79998779296875
2013-07-01,357.2799987792969
2013-07-02,351.1199951171875
2013-07-03,355.739990234375
2013-07-05,356.510009765625
2013-07-08,363.44000244140625
2013-07-09,365.75
2013-07-10,368.8299865722656
2013-07-11,369.6000061035156
2013-07-12,369.6000061035156
2013-07-15,371.9100036621094
2013-07-16,376.5299987792969
2013-07-17,381.9200134277344
2013-07-18,381.9200134277344
2013-07-19,381.1499938964844
2013-07-22,381.9200134277344
2013-07-23,382.69000244140625
2013-07-24,381.1499938964844
2013-07-25,397.32000732421875
2013-07-26,416.57000732421875
2013-07-29,467.3900146484375
2013-07-30,492.0299987792969
2013-07-31,500.5
2013-08-01,468.92999267578125
2013-08-02,443.5199890136719
2013-08-05,465.0799865722656
2013-08-06,465.0799865722656
2013-08-07,463.5400085449219
2013-08-08,452.760009765625
2013-08-09,440.44000244140625
2013-08-12,454.29998779296875
2013-08-13,439.6700134277344
2013-08-14,455.8399963378906
2013-08-15,445.05999755859375
2013-08-16,451.2200012207031
2013-08-19,433.510009765625
2013-08-20,451.2200012207031
2013-08-21,458.1499938964844
2013-08-22,462.0
2013-08-23,480.4800109863281
2013-08-26,462.0
2013-08-27,460.4599914550781
2013-08-28,454.29998779296875
2013-08-29,454.29998779296875
2013-08-30,464.30999755859375
2013-09-03,476.6300048828125
2013-09-04,484.3299865722656
2013-09-05,481.25
2013-09-06,497.4200134277344
2013-09-09,485.8699951171875
2013-09-10,482.0199890136719
2013-09-11,481.25
2013-09-12,479.7099914550781
2013-09-13,472.010009765625
2013-09-16,461.2300109863281
2013-09-17,468.1600036621094
2013-09-18,462.0
2013-09-19,462.7699890136719
2013-09-20,461.2300109863281
2013-09-23,465.8500061035156
2013-09-24,464.30999755859375
2013-09-25,469.70001220703125
2013-09-26,462.7699890136719
