,AMRK
2018-03-19,11.100000381469727
2018-03-20,11.649999618530273
2018-03-21,11.180000305175781
2018-03-22,11.270000457763672
2018-03-23,11.789999961853027
2018-03-26,11.5
2018-03-27,11.805000305175781
2018-03-28,12.0
2018-03-29,12.25
2018-04-02,12.010000228881836
2018-04-03,12.420000076293945
2018-04-04,12.039999961853027
2018-04-05,12.527999877929688
2018-04-06,12.020000457763672
2018-04-09,12.0
2018-04-10,12.039999961853027
2018-04-11,12.260000228881836
2018-04-12,12.5600004196167
2018-04-13,12.84000015258789
2018-04-16,12.84000015258789
2018-04-17,13.460000038146973
2018-04-18,14.029999732971191
2018-04-19,13.960000038146973
2018-04-20,13.949999809265137
2018-04-23,13.75
2018-04-24,13.949999809265137
2018-04-25,13.960000038146973
2018-04-26,13.90999984741211
2018-04-27,13.989999771118164
2018-04-30,13.430000305175781
2018-05-01,13.6899995803833
2018-05-02,13.5
2018-05-03,13.680000305175781
2018-05-04,13.550000190734863
2018-05-07,13.40999984741211
2018-05-08,13.300000190734863
2018-05-09,13.020000457763672
2018-05-10,13.380000114440918
2018-05-11,13.350000381469727
2018-05-14,13.119999885559082
2018-05-15,13.399999618530273
2018-05-16,13.0600004196167
2018-05-17,12.970000267028809
2018-05-18,13.420000076293945
2018-05-21,13.25
2018-05-22,13.239999771118164
2018-05-23,13.210000038146973
2018-05-24,13.220000267028809
2018-05-25,13.220000267028809
2018-05-29,13.619999885559082
2018-05-30,13.789999961853027
2018-05-31,13.800000190734863
2018-06-01,14.0600004196167
2018-06-04,13.960000038146973
2018-06-05,13.770000457763672
2018-06-06,13.84000015258789
2018-06-07,13.854999542236328
2018-06-08,13.789999961853027
2018-06-11,13.880000114440918
2018-06-12,13.789999961853027
2018-06-13,13.729999542236328
2018-06-14,13.930000305175781
2018-06-15,13.880000114440918
2018-06-18,13.795000076293945
2018-06-19,13.800000190734863
2018-06-20,13.869999885559082
2018-06-21,13.850000381469727
2018-06-22,13.670000076293945
2018-06-25,12.9399995803833
2018-06-26,13.350000381469727
2018-06-27,13.09000015258789
2018-06-28,13.199999809265137
2018-06-29,13.279999732971191
2018-07-02,13.010000228881836
2018-07-03,13.600000381469727
2018-07-05,13.0
2018-07-06,13.130000114440918
2018-07-09,13.0
2018-07-10,12.869999885559082
2018-07-11,12.920000076293945
2018-07-12,12.869999885559082
2018-07-13,12.75
2018-07-16,12.75
2018-07-17,12.699999809265137
2018-07-18,12.5
2018-07-19,12.390000343322754
2018-07-20,12.470000267028809
2018-07-23,12.420000076293945
2018-07-24,12.25
2018-07-25,12.395000457763672
2018-07-26,12.630000114440918
2018-07-27,12.970000267028809
2018-07-30,13.15999984741211
2018-07-31,13.350000381469727
2018-08-01,13.180000305175781
2018-08-02,13.520000457763672
2018-08-03,13.529999732971191
2018-08-06,13.5
2018-08-07,13.399999618530273
2018-08-08,13.765000343322754
2018-08-09,13.489999771118164
2018-08-10,13.579999923706055
2018-08-13,13.489999771118164
2018-08-14,13.279999732971191
2018-08-15,13.329999923706055
2018-08-16,12.979999542236328
2018-08-17,13.09000015258789
2018-08-20,13.0
2018-08-21,13.149999618530273
2018-08-22,13.329999923706055
2018-08-23,13.3100004196167
2018-08-24,13.40999984741211
2018-08-27,13.34000015258789
2018-08-28,13.539999961853027
2018-08-29,13.270000457763672
2018-08-30,13.194999694824219
2018-08-31,13.350000381469727
2018-09-04,13.289999961853027
2018-09-05,13.59000015258789
2018-09-06,13.59000015258789
2018-09-07,13.479999542236328
2018-09-10,13.5
2018-09-11,13.09000015258789
2018-09-12,13.449999809265137
2018-09-13,13.760000228881836
2018-09-14,13.449999809265137
2018-09-17,13.800000190734863
2018-09-18,13.760000228881836
2018-09-19,13.130000114440918
2018-09-20,13.225000381469727
2018-09-21,12.050000190734863
2018-09-24,12.829999923706055
2018-09-25,12.765999794006348
2018-09-26,12.680000305175781
2018-09-27,12.729999542236328
2018-09-28,13.020000457763672
2018-10-01,13.050000190734863
2018-10-02,12.989999771118164
2018-10-03,12.920000076293945
2018-10-04,13.039999961853027
2018-10-05,13.329999923706055
2018-10-08,13.199999809265137
2018-10-09,13.039999961853027
2018-10-10,13.0600004196167
2018-10-11,13.154999732971191
2018-10-12,13.119999885559082
2018-10-15,13.0600004196167
2018-10-16,13.130000114440918
2018-10-17,13.890000343322754
2018-10-18,13.529999732971191
2018-10-19,13.829999923706055
2018-10-22,13.479999542236328
2018-10-23,13.789999961853027
2018-10-24,13.079999923706055
2018-10-25,13.020000457763672
2018-10-26,12.920000076293945
2018-10-29,12.734999656677246
2018-10-30,12.739999771118164
2018-10-31,12.829999923706055
2018-11-01,13.0600004196167
2018-11-02,13.100000381469727
2018-11-05,12.850000381469727
2018-11-06,12.670000076293945
2018-11-07,12.470000267028809
2018-11-08,12.399999618530273
2018-11-09,13.239999771118164
2018-11-12,12.760000228881836
2018-11-13,12.609999656677246
2018-11-14,12.510000228881836
2018-11-15,12.510000228881836
2018-11-16,12.699999809265137
2018-11-19,13.0
2018-11-20,12.680000305175781
2018-11-21,12.670000076293945
2018-11-23,12.670000076293945
2018-11-26,11.880000114440918
2018-11-27,11.989999771118164
2018-11-28,12.3100004196167
2018-11-29,11.979999542236328
2018-11-30,12.109999656677246
2018-12-03,12.239999771118164
2018-12-04,12.300000190734863
2018-12-06,12.260000228881836
2018-12-07,12.25
2018-12-10,12.600000381469727
2018-12-11,12.684000015258789
2018-12-12,12.600000381469727
2018-12-13,12.59000015258789
2018-12-14,12.550000190734863
2018-12-17,12.550000190734863
2018-12-18,12.199000358581543
2018-12-19,11.789999961853027
2018-12-20,11.84000015258789
2018-12-21,10.989999771118164
2018-12-24,11.149999618530273
2018-12-26,11.210000038146973
2018-12-27,11.010000228881836
2018-12-28,11.640000343322754
2018-12-31,11.789999961853027
2019-01-02,12.15999984741211
2019-01-03,12.319999694824219
2019-01-04,12.350000381469727
2019-01-07,12.550000190734863
2019-01-08,11.850000381469727
2019-01-09,12.050000190734863
2019-01-10,12.0
2019-01-11,11.640000343322754
2019-01-14,11.600000381469727
2019-01-15,11.710000038146973
2019-01-16,11.949999809265137
2019-01-17,12.75
2019-01-18,13.180000305175781
2019-01-22,13.020000457763672
2019-01-23,13.350000381469727
2019-01-24,13.350000381469727
2019-01-25,13.239999771118164
2019-01-28,13.15999984741211
2019-01-29,12.949999809265137
2019-01-30,13.100000381469727
2019-01-31,12.970000267028809
2019-02-01,12.949999809265137
2019-02-04,13.229999542236328
2019-02-05,13.010000228881836
2019-02-06,13.010000228881836
2019-02-07,13.130000114440918
2019-02-08,13.149999618530273
2019-02-11,12.920000076293945
2019-02-12,12.970000267028809
2019-02-13,12.920000076293945
2019-02-14,12.789999961853027
2019-02-15,12.6899995803833
2019-02-19,12.680000305175781
2019-02-20,12.65999984741211
2019-02-21,12.640000343322754
2019-02-22,12.619999885559082
2019-02-25,12.59000015258789
2019-02-26,12.449999809265137
2019-02-27,12.529999732971191
2019-02-28,12.75
2019-03-01,12.588000297546387
2019-03-04,12.645000457763672
2019-03-05,12.739999771118164
2019-03-06,12.600000381469727
2019-03-07,12.600000381469727
2019-03-08,12.600000381469727
2019-03-11,12.300000190734863
2019-03-12,12.199999809265137
2019-03-13,12.145000457763672
2019-03-14,12.050000190734863
2019-03-15,12.510000228881836
2019-03-18,12.15999984741211
2019-03-19,12.142000198364258
2019-03-20,12.295000076293945
2019-03-21,12.350000381469727
2019-03-22,12.350000381469727
2019-03-25,12.097999572753906
2019-03-26,11.430000305175781
2019-03-27,11.520000457763672
2019-03-28,11.869999885559082
2019-03-29,11.899999618530273
2019-04-01,11.392999649047852
2019-04-02,11.420000076293945
2019-04-03,11.069999694824219
2019-04-04,11.029999732971191
2019-04-05,11.270000457763672
2019-04-08,11.119999885559082
2019-04-09,11.079999923706055
2019-04-10,11.100000381469727
2019-04-11,11.071000099182129
2019-04-12,11.15999984741211
2019-04-15,11.0
2019-04-16,11.100000381469727
2019-04-17,10.899999618530273
2019-04-18,11.1850004196167
2019-04-22,11.329999923706055
2019-04-23,11.21500015258789
2019-04-24,11.050000190734863
2019-04-25,11.145999908447266
2019-04-26,11.149999618530273
2019-04-29,11.140000343322754
2019-04-30,11.260000228881836
2019-05-01,11.069999694824219
2019-05-02,11.069999694824219
2019-05-03,11.083000183105469
2019-05-06,10.949999809265137
2019-05-07,11.010000228881836
2019-05-08,11.050000190734863
2019-05-09,11.579999923706055
2019-05-10,12.199999809265137
2019-05-13,12.350000381469727
2019-05-14,12.5
2019-05-15,12.699999809265137
2019-05-16,12.529999732971191
2019-05-17,12.970000267028809
2019-05-20,12.710000038146973
2019-05-21,13.329999923706055
2019-05-22,13.5
2019-05-23,13.239999771118164
2019-05-24,13.0
2019-05-28,12.40999984741211
2019-05-29,12.598999977111816
2019-05-30,12.744999885559082
2019-05-31,12.600000381469727
2019-06-03,13.600000381469727
2019-06-04,13.25
2019-06-05,13.510000228881836
2019-06-06,12.880000114440918
2019-06-07,12.989999771118164
2019-06-10,13.0
2019-06-11,13.0
2019-06-12,12.210000038146973
2019-06-13,12.199999809265137
2019-06-14,12.407999992370605
2019-06-17,12.65999984741211
2019-06-18,12.890000343322754
2019-06-19,12.75
2019-06-20,12.789999961853027
2019-06-21,12.300000190734863
2019-06-24,12.989999771118164
2019-06-25,13.359000205993652
2019-06-26,13.100000381469727
2019-06-27,13.199999809265137
2019-06-28,13.050000190734863
2019-07-01,13.0
2019-07-02,12.829999923706055
2019-07-03,13.109999656677246
2019-07-05,12.8100004196167
2019-07-08,12.5
2019-07-09,12.420000076293945
2019-07-10,12.399999618530273
2019-07-11,12.479999542236328
2019-07-12,11.800000190734863
2019-07-15,12.050000190734863
2019-07-16,12.239999771118164
2019-07-17,12.329999923706055
2019-07-18,12.239999771118164
2019-07-19,12.081000328063965
2019-07-22,12.100000381469727
2019-07-23,12.114999771118164
2019-07-24,12.09000015258789
2019-07-25,12.0600004196167
2019-07-26,12.100000381469727
2019-07-29,12.069999694824219
2019-07-30,12.399999618530273
2019-07-31,12.680000305175781
2019-08-01,13.34000015258789
2019-08-02,13.630000114440918
2019-08-05,13.49899959564209
2019-08-06,13.489999771118164
2019-08-07,14.180000305175781
2019-08-08,14.029999732971191
2019-08-09,14.010000228881836
2019-08-12,13.829999923706055
2019-08-13,14.470000267028809
2019-08-14,13.984999656677246
2019-08-15,14.01200008392334
2019-08-16,14.0
2019-08-19,14.109999656677246
2019-08-20,14.399999618530273
2019-08-21,14.300000190734863
2019-08-22,14.180000305175781
2019-08-23,14.1899995803833
2019-08-26,14.3100004196167
2019-08-27,14.038999557495117
2019-08-28,14.289999961853027
2019-08-29,14.399999618530273
2019-08-30,14.180000305175781
2019-09-03,14.170000076293945
2019-09-04,14.15999984741211
2019-09-05,13.949999809265137
2019-09-06,13.979999542236328
2019-09-09,13.949999809265137
2019-09-10,13.899999618530273
2019-09-11,14.050000190734863
2019-09-12,13.770000457763672
2019-09-13,12.539999961853027
2019-09-16,12.25
2019-09-17,12.149999618530273
2019-09-18,11.5
2019-09-19,11.39799976348877
2019-09-20,12.039999961853027
2019-09-23,12.149999618530273
2019-09-24,12.0
2019-09-25,11.850000381469727
2019-09-26,12.079999923706055
2019-09-27,12.0
2019-09-30,12.050000190734863
2019-10-01,12.470000267028809
2019-10-02,12.34000015258789
2019-10-03,12.149999618530273
2019-10-04,12.890000343322754
2019-10-07,13.020000457763672
2019-10-08,13.09000015258789
2019-10-09,13.25
2019-10-10,13.260000228881836
2019-10-11,12.899999618530273
2019-10-14,12.529999732971191
2019-10-15,12.449999809265137
2019-10-16,11.3100004196167
2019-10-17,11.3100004196167
2019-10-18,11.220000267028809
2019-10-21,11.149999618530273
2019-10-22,10.800000190734863
2019-10-23,10.800000190734863
2019-10-24,10.630000114440918
2019-10-25,11.0
2019-10-28,10.720000267028809
2019-10-29,10.670000076293945
2019-10-30,10.84000015258789
2019-10-31,11.079999923706055
2019-11-01,11.079999923706055
2019-11-04,10.979999542236328
2019-11-05,10.758999824523926
2019-11-06,10.010000228881836
2019-11-07,10.4399995803833
2019-11-08,10.380000114440918
2019-11-11,10.619999885559082
2019-11-12,10.399999618530273
2019-11-13,10.359999656677246
2019-11-14,10.329999923706055
2019-11-15,10.204999923706055
2019-11-18,10.135000228881836
2019-11-19,10.15999984741211
2019-11-20,10.229999542236328
2019-11-21,10.079999923706055
2019-11-22,10.248000144958496
2019-11-25,9.949999809265137
2019-11-26,9.640000343322754
2019-11-27,9.399999618530273
