,FDM
2012-09-13,22.670000076293945
2012-09-14,22.90999984741211
2012-09-17,22.780000686645508
2012-09-18,22.790000915527344
2012-09-19,22.75
2012-09-20,22.6200008392334
2012-09-21,22.790000915527344
2012-09-24,22.790000915527344
2012-09-25,22.84000015258789
2012-09-26,22.389999389648438
2012-09-27,22.610000610351562
2012-09-28,22.34000015258789
2012-10-01,22.450000762939453
2012-10-02,22.479999542236328
2012-10-03,22.3799991607666
2012-10-04,22.559999465942383
2012-10-05,22.469999313354492
2012-10-08,22.3700008392334
2012-10-09,22.110000610351562
2012-10-10,22.059999465942383
2012-10-11,22.1299991607666
2012-10-12,22.149999618530273
2012-10-15,22.0
2012-10-16,22.170000076293945
2012-10-17,22.329999923706055
2012-10-18,22.25
2012-10-19,21.6200008392334
2012-10-22,21.610000610351562
2012-10-23,21.56999969482422
2012-10-24,21.540000915527344
2012-10-25,21.68000030517578
2012-10-26,21.68000030517578
2012-10-31,21.850000381469727
2012-11-01,22.079999923706055
2012-11-02,21.920000076293945
2012-11-05,22.020000457763672
2012-11-06,22.229999542236328
2012-11-07,21.56999969482422
2012-11-08,21.31999969482422
2012-11-09,21.190000534057617
2012-11-12,21.219999313354492
2012-11-13,21.229999542236328
2012-11-14,20.649999618530273
2012-11-15,20.6299991607666
2012-11-16,20.809999465942383
2012-11-19,21.25
2012-11-20,21.270000457763672
2012-11-21,21.3799991607666
2012-11-23,21.459999084472656
2012-11-26,21.709999084472656
2012-11-27,21.799999237060547
2012-11-28,21.860000610351562
2012-11-29,22.190000534057617
2012-11-30,22.149999618530273
2012-12-03,22.219999313354492
2012-12-04,22.209999084472656
2012-12-05,22.200000762939453
2012-12-06,22.110000610351562
2012-12-07,22.09000015258789
2012-12-10,22.18000030517578
2012-12-11,22.489999771118164
2012-12-12,22.530000686645508
2012-12-13,22.170000076293945
2012-12-14,22.270000457763672
2012-12-17,22.530000686645508
2012-12-18,22.8700008392334
2012-12-19,23.030000686645508
2012-12-20,23.149999618530273
2012-12-21,22.729999542236328
2012-12-24,22.6200008392334
2012-12-26,22.450000762939453
2012-12-27,22.459999084472656
2012-12-28,22.440000534057617
2012-12-31,22.829999923706055
2013-01-02,23.440000534057617
2013-01-03,23.34000015258789
2013-01-04,23.559999465942383
2013-01-07,23.280000686645508
2013-01-08,23.31999969482422
2013-01-09,23.399999618530273
2013-01-10,23.40999984741211
2013-01-11,23.420000076293945
2013-01-14,23.420000076293945
2013-01-15,23.459999084472656
2013-01-16,23.399999618530273
2013-01-17,23.530000686645508
2013-01-18,23.6299991607666
2013-01-22,23.809999465942383
2013-01-23,23.709999084472656
2013-01-24,23.809999465942383
2013-01-25,23.770000457763672
2013-01-28,23.920000076293945
2013-01-29,23.940000534057617
2013-01-30,23.600000381469727
2013-01-31,23.90999984741211
2013-02-01,24.15999984741211
2013-02-04,23.860000610351562
2013-02-05,23.979999542236328
2013-02-06,24.020000457763672
2013-02-07,23.889999389648438
2013-02-08,24.0
2013-02-11,24.020000457763672
2013-02-12,24.260000228881836
2013-02-13,24.350000381469727
2013-02-14,24.420000076293945
2013-02-15,24.5
2013-02-19,24.780000686645508
2013-02-20,24.3799991607666
2013-02-21,24.100000381469727
2013-02-22,24.360000610351562
2013-02-25,23.920000076293945
2013-02-26,24.010000228881836
2013-02-27,24.200000762939453
2013-02-28,24.299999237060547
2013-03-01,24.299999237060547
2013-03-04,24.399999618530273
2013-03-05,24.700000762939453
2013-03-06,24.670000076293945
2013-03-07,24.84000015258789
2013-03-08,25.059999465942383
2013-03-11,24.920000076293945
2013-03-12,24.84000015258789
2013-03-13,24.969999313354492
2013-03-14,25.299999237060547
2013-03-15,25.389999389648438
2013-03-18,25.260000228881836
2013-03-19,25.149999618530273
2013-03-20,25.360000610351562
2013-03-21,25.18000030517578
2013-03-22,25.200000762939453
2013-03-25,25.219999313354492
2013-03-26,25.219999313354492
2013-03-27,25.1299991607666
