,AXNX
2020-11-18,45.34000015258789
2020-11-19,46.88999938964844
2020-11-20,47.11000061035156
2020-11-23,46.29999923706055
2020-11-24,44.52000045776367
2020-11-25,43.63999938964844
2020-11-27,45.790000915527344
2020-11-30,43.88999938964844
2020-12-01,42.189998626708984
2020-12-02,42.20000076293945
2020-12-03,43.130001068115234
2020-12-04,44.2599983215332
2020-12-07,43.77000045776367
2020-12-08,46.81999969482422
2020-12-09,45.79999923706055
2020-12-10,45.84000015258789
2020-12-11,43.939998626708984
2020-12-14,43.209999084472656
2020-12-15,43.88999938964844
2020-12-16,42.86000061035156
2020-12-17,44.15999984741211
2020-12-18,48.689998626708984
2020-12-21,47.70000076293945
2020-12-22,48.95000076293945
2020-12-23,48.0
2020-12-24,47.779998779296875
2020-12-28,47.380001068115234
2020-12-29,46.790000915527344
2020-12-30,48.88999938964844
2020-12-31,49.91999816894531
2021-01-04,49.13999938964844
2021-01-05,50.43000030517578
2021-01-06,51.47999954223633
2021-01-07,52.4900016784668
2021-01-08,51.83000183105469
2021-01-11,52.16999816894531
2021-01-12,51.650001525878906
2021-01-13,51.83000183105469
2021-01-14,52.75
2021-01-15,51.70000076293945
2021-01-19,51.650001525878906
2021-01-20,50.79999923706055
2021-01-21,54.310001373291016
2021-01-22,56.54999923706055
2021-01-25,55.349998474121094
2021-01-26,53.150001525878906
2021-01-27,54.029998779296875
2021-01-28,53.43000030517578
2021-01-29,51.70000076293945
2021-02-01,51.22999954223633
2021-02-02,51.540000915527344
2021-02-03,52.15999984741211
2021-02-04,53.130001068115234
2021-02-05,53.779998779296875
2021-02-08,54.29999923706055
2021-02-09,54.7599983215332
2021-02-10,55.060001373291016
2021-02-11,54.77000045776367
2021-02-12,54.540000915527344
2021-02-16,55.16999816894531
2021-02-17,54.41999816894531
2021-02-18,53.63999938964844
2021-02-19,54.279998779296875
2021-02-22,54.04999923706055
2021-02-23,52.369998931884766
2021-02-24,52.869998931884766
2021-02-25,50.81999969482422
2021-02-26,50.310001373291016
2021-03-01,53.470001220703125
2021-03-02,54.459999084472656
2021-03-03,56.45000076293945
