,BFI
2020-06-15,12.890000343322754
2020-06-16,14.5
2020-06-17,17.0
2020-06-18,18.549999237060547
2020-06-19,17.93000030517578
2020-06-22,16.65999984741211
2020-06-23,16.0
2020-06-24,14.979999542236328
2020-06-25,15.5600004196167
2020-06-26,15.59000015258789
2020-06-29,16.3700008392334
2020-06-30,15.989999771118164
2020-07-01,15.100000381469727
2020-07-02,14.979999542236328
2020-07-06,14.020000457763672
2020-07-07,13.470000267028809
2020-07-08,12.90999984741211
2020-07-09,13.079999923706055
2020-07-10,12.25
2020-07-13,11.630000114440918
2020-07-14,12.100000381469727
2020-07-15,12.399999618530273
2020-07-16,12.199999809265137
2020-07-17,11.699999809265137
2020-07-20,12.180000305175781
2020-07-21,11.880000114440918
2020-07-22,11.890000343322754
2020-07-23,11.630000114440918
2020-07-24,11.470000267028809
2020-07-27,11.920000076293945
2020-07-28,11.40999984741211
2020-07-29,11.390000343322754
2020-07-30,11.279999732971191
2020-07-31,11.130000114440918
2020-08-03,11.420000076293945
2020-08-04,11.75
2020-08-05,11.600000381469727
2020-08-06,11.300000190734863
2020-08-07,11.25
2020-08-10,11.4399995803833
2020-08-11,11.6899995803833
2020-08-12,11.574999809265137
2020-08-13,12.890000343322754
2020-08-14,12.210000038146973
2020-08-17,12.399999618530273
2020-08-18,12.300000190734863
2020-08-19,12.039999961853027
2020-08-20,11.420000076293945
2020-08-21,11.479999542236328
2020-08-24,11.319999694824219
2020-08-25,11.699999809265137
2020-08-26,11.428000450134277
2020-08-27,11.319999694824219
2020-08-28,11.300000190734863
2020-08-31,11.5
2020-09-01,11.329999923706055
2020-09-02,13.300000190734863
2020-09-03,12.789999961853027
2020-09-04,12.859999656677246
2020-09-08,13.8100004196167
2020-09-09,14.350000381469727
2020-09-10,14.199999809265137
2020-09-11,14.5
2020-09-14,14.262999534606934
2020-09-15,13.649999618530273
2020-09-16,13.880000114440918
2020-09-17,13.270000457763672
2020-09-18,14.960000038146973
2020-09-21,14.359999656677246
2020-09-22,13.850000381469727
2020-09-23,12.850000381469727
2020-09-24,13.0
2020-09-25,12.779999732971191
2020-09-28,12.979999542236328
2020-09-29,12.770000457763672
2020-09-30,12.270000457763672
2020-10-01,12.109999656677246
2020-10-02,11.90999984741211
2020-10-05,12.029999732971191
2020-10-06,11.425000190734863
2020-10-07,11.569999694824219
2020-10-08,11.739999771118164
2020-10-09,11.720000267028809
2020-10-12,11.550000190734863
2020-10-13,11.600000381469727
2020-10-14,11.600000381469727
2020-10-15,11.550000190734863
2020-10-16,11.600000381469727
2020-10-19,11.260000228881836
2020-10-20,11.100000381469727
2020-10-21,10.850000381469727
2020-10-22,10.739999771118164
2020-10-23,11.050000190734863
2020-10-26,10.760000228881836
2020-10-27,10.649999618530273
2020-10-28,10.600000381469727
2020-10-29,10.600000381469727
2020-10-30,10.720000267028809
2020-11-02,10.569999694824219
2020-11-03,10.649999618530273
2020-11-04,10.600000381469727
2020-11-05,10.699999809265137
2020-11-06,10.649999618530273
2020-11-09,10.649999618530273
2020-11-10,10.6899995803833
2020-11-11,10.649999618530273
2020-11-12,10.595000267028809
2020-11-13,11.149999618530273
2020-11-16,11.010000228881836
2020-11-17,11.09000015258789
2020-11-18,11.039999961853027
2020-11-19,10.869999885559082
2020-11-20,11.5600004196167
2020-11-23,12.234999656677246
2020-11-24,12.25
2020-11-25,12.449999809265137
2020-11-27,12.40999984741211
2020-11-30,12.5
2020-12-01,14.15999984741211
2020-12-02,13.880000114440918
2020-12-03,13.770000457763672
2020-12-04,15.449999809265137
2020-12-07,17.309999465942383
2020-12-08,16.299999237060547
2020-12-09,16.3700008392334
2020-12-10,16.399999618530273
2020-12-11,16.450000762939453
2020-12-14,15.229999542236328
2020-12-15,14.979999542236328
2020-12-16,15.699999809265137
2020-12-17,15.710000038146973
2020-12-18,16.0
2020-12-21,15.5600004196167
2020-12-22,14.970000267028809
2020-12-23,14.5
2020-12-24,14.800000190734863
2020-12-28,13.970000267028809
2020-12-29,14.390000343322754
2020-12-30,14.25
2020-12-31,13.6899995803833
2021-01-04,13.180000305175781
2021-01-05,14.100000381469727
2021-01-06,13.550000190734863
2021-01-07,13.399999618530273
2021-01-08,13.15999984741211
2021-01-11,12.850000381469727
2021-01-12,12.859999656677246
2021-01-13,13.800000190734863
2021-01-14,13.5
2021-01-15,13.390000343322754
2021-01-19,13.649999618530273
2021-01-20,13.699999809265137
2021-01-21,13.529999732971191
2021-01-22,13.359999656677246
2021-01-25,12.8100004196167
2021-01-26,12.850000381469727
2021-01-27,13.010000228881836
2021-01-28,13.079999923706055
2021-01-29,12.170000076293945
2021-02-01,12.359999656677246
2021-02-02,12.739999771118164
2021-02-03,12.59000015258789
2021-02-04,12.829999923706055
2021-02-05,14.430000305175781
2021-02-08,15.149999618530273
2021-02-09,15.680000305175781
2021-02-10,15.15999984741211
2021-02-11,15.550000190734863
2021-02-12,16.3799991607666
2021-02-16,16.219999313354492
2021-02-17,15.829999923706055
2021-02-18,15.40999984741211
2021-02-19,15.0
2021-02-22,14.5600004196167
2021-02-23,14.479999542236328
2021-02-24,15.460000038146973
2021-02-25,14.899999618530273
2021-02-26,14.789999961853027
2021-03-01,15.300000190734863
2021-03-02,15.6899995803833
2021-03-03,14.430000305175781
2021-03-04,13.970000267028809
2021-03-05,14.239999771118164
2021-03-08,13.880000114440918
2021-03-09,14.0
2021-03-10,14.319999694824219
2021-03-11,14.399999618530273
2021-03-12,14.430000305175781
2021-03-15,14.760000228881836
2021-03-16,14.390000343322754
2021-03-17,15.039999961853027
2021-03-18,14.800000190734863
2021-03-19,15.550000190734863
2021-03-22,15.979999542236328
2021-03-23,15.850000381469727
2021-03-24,15.569999694824219
2021-03-25,15.539999961853027
2021-03-26,15.630000114440918
2021-03-29,16.149999618530273
2021-03-30,15.350000381469727
2021-03-31,15.40999984741211
2021-04-01,15.449999809265137
2021-04-05,15.229999542236328
2021-04-06,15.539999961853027
2021-04-07,15.260000228881836
2021-04-08,15.65999984741211
2021-04-09,15.319999694824219
2021-04-12,14.90999984741211
2021-04-13,14.970000267028809
2021-04-14,14.050000190734863
2021-04-15,13.470000267028809
2021-04-16,13.180000305175781
2021-04-19,12.739999771118164
2021-04-20,12.470000267028809
2021-04-21,13.079999923706055
2021-04-22,12.979999542236328
2021-04-23,13.199999809265137
2021-04-26,13.550000190734863
2021-04-27,13.140000343322754
2021-04-28,13.329999923706055
2021-04-29,13.229999542236328
2021-04-30,13.069999694824219
2021-05-03,12.550000190734863
2021-05-04,11.960000038146973
2021-05-05,12.020000457763672
2021-05-06,12.020000457763672
2021-05-07,11.979999542236328
2021-05-10,11.449999809265137
2021-05-11,10.8100004196167
2021-05-12,10.75
2021-05-13,9.25
2021-05-14,9.880000114440918
