,UTG
2007-09-27,25.3799991607666
2007-09-28,25.299999237060547
2007-10-01,25.479999542236328
2007-10-02,25.540000915527344
2007-10-03,25.350000381469727
2007-10-04,25.350000381469727
2007-10-05,25.65999984741211
2007-10-08,25.469999313354492
2007-10-09,25.770000457763672
2007-10-10,25.899999618530273
2007-10-11,25.93000030517578
2007-10-12,26.100000381469727
2007-10-15,25.649999618530273
2007-10-16,25.549999237060547
2007-10-17,25.40999984741211
2007-10-18,25.540000915527344
2007-10-19,25.260000228881836
2007-10-22,25.110000610351562
2007-10-23,25.290000915527344
2007-10-24,25.149999618530273
2007-10-25,25.549999237060547
2007-10-26,25.84000015258789
2007-10-29,26.0
2007-10-30,25.969999313354492
2007-10-31,26.260000228881836
2007-11-01,26.1200008392334
2007-11-02,25.950000762939453
2007-11-05,25.940000534057617
2007-11-06,25.93000030517578
2007-11-07,25.600000381469727
2007-11-08,25.6299991607666
2007-11-09,25.579999923706055
2007-11-12,25.219999313354492
2007-11-13,25.280000686645508
2007-11-14,25.1200008392334
2007-11-15,24.809999465942383
2007-11-16,24.84000015258789
2007-11-19,24.700000762939453
2007-11-20,25.0
2007-11-21,24.700000762939453
2007-11-23,24.780000686645508
2007-11-26,24.899999618530273
2007-11-27,24.850000381469727
2007-11-28,25.170000076293945
2007-11-29,25.18000030517578
2007-11-30,25.34000015258789
2007-12-03,25.399999618530273
2007-12-04,25.600000381469727
2007-12-05,26.100000381469727
