,FNWB
2017-09-13,15.84000015258789
2017-09-14,15.779999732971191
2017-09-15,15.710000038146973
2017-09-18,16.059999465942383
2017-09-19,16.1200008392334
2017-09-20,16.6200008392334
2017-09-21,16.639999389648438
2017-09-22,16.299999237060547
2017-09-25,16.34000015258789
2017-09-26,16.84000015258789
2017-09-27,17.350000381469727
2017-09-28,17.3700008392334
2017-09-29,17.100000381469727
2017-10-02,17.719999313354492
2017-10-03,17.6200008392334
2017-10-04,17.600000381469727
2017-10-05,17.440000534057617
2017-10-06,17.09000015258789
2017-10-09,17.040000915527344
2017-10-10,17.25
2017-10-11,17.1200008392334
2017-10-12,17.049999237060547
2017-10-13,17.010000228881836
2017-10-16,16.989999771118164
2017-10-17,16.729999542236328
2017-10-18,16.760000228881836
2017-10-19,16.790000915527344
2017-10-20,16.90999984741211
2017-10-23,16.469999313354492
2017-10-24,16.420000076293945
2017-10-25,16.59000015258789
2017-10-26,16.850000381469727
2017-10-27,17.0
2017-10-30,16.90999984741211
2017-10-31,16.920000076293945
2017-11-01,16.940000534057617
2017-11-02,17.469999313354492
2017-11-03,17.40999984741211
2017-11-06,17.5
2017-11-07,17.1299991607666
2017-11-08,17.31999969482422
2017-11-09,17.15999984741211
2017-11-10,17.260000228881836
2017-11-13,17.489999771118164
2017-11-14,17.760000228881836
2017-11-15,17.700000762939453
2017-11-16,17.729999542236328
2017-11-17,17.739999771118164
2017-11-20,17.850000381469727
2017-11-21,18.030000686645508
2017-11-22,18.1200008392334
2017-11-24,17.75
2017-11-27,17.610000610351562
2017-11-28,17.93000030517578
2017-11-29,18.270000457763672
2017-11-30,17.899999618530273
2017-12-01,18.040000915527344
2017-12-04,17.530000686645508
2017-12-05,17.110000610351562
2017-12-06,17.030000686645508
2017-12-07,16.969999313354492
2017-12-08,16.760000228881836
2017-12-11,16.670000076293945
2017-12-12,16.719999313354492
2017-12-13,16.719999313354492
2017-12-14,16.649999618530273
2017-12-15,16.889999389648438
2017-12-18,16.81999969482422
2017-12-19,16.649999618530273
2017-12-20,16.059999465942383
2017-12-21,16.219999313354492
2017-12-22,16.149999618530273
2017-12-26,16.25
2017-12-27,16.25
2017-12-28,16.290000915527344
2017-12-29,16.299999237060547
2018-01-02,16.309999465942383
2018-01-03,16.34000015258789
2018-01-04,16.739999771118164
2018-01-05,16.670000076293945
2018-01-08,16.559999465942383
2018-01-09,16.510000228881836
2018-01-10,16.559999465942383
2018-01-11,16.739999771118164
2018-01-12,16.950000762939453
2018-01-16,16.920000076293945
2018-01-17,16.989999771118164
2018-01-18,16.81999969482422
2018-01-19,17.09000015258789
2018-01-22,17.09000015258789
2018-01-23,17.190000534057617
