,CMRX
2019-06-07,3.440000057220459
2019-06-10,3.369999885559082
2019-06-11,3.4800000190734863
2019-06-12,3.5899999141693115
2019-06-13,3.5299999713897705
2019-06-14,3.509999990463257
2019-06-17,3.5399999618530273
2019-06-18,3.5399999618530273
2019-06-19,3.299999952316284
2019-06-20,3.369999885559082
2019-06-21,3.390000104904175
2019-06-24,3.4000000953674316
2019-06-25,3.359999895095825
2019-06-26,3.490000009536743
2019-06-27,3.630000114440918
2019-06-28,4.320000171661377
2019-07-01,4.150000095367432
2019-07-02,4.210000038146973
2019-07-03,4.039999961853027
2019-07-05,4.03000020980835
2019-07-08,3.880000114440918
2019-07-09,3.9200000762939453
2019-07-10,3.759999990463257
2019-07-11,3.690000057220459
2019-07-12,3.690000057220459
2019-07-15,3.690000057220459
2019-07-16,3.680000066757202
2019-07-17,3.5999999046325684
2019-07-18,3.6500000953674316
2019-07-19,3.690000057220459
2019-07-22,3.630000114440918
2019-07-23,3.5299999713897705
2019-07-24,3.569999933242798
2019-07-25,3.4600000381469727
2019-07-26,3.5
2019-07-29,3.490000009536743
2019-07-30,3.5199999809265137
2019-07-31,3.5999999046325684
2019-08-01,3.4600000381469727
2019-08-02,3.299999952316284
2019-08-05,2.9200000762939453
2019-08-06,2.990000009536743
2019-08-07,3.0
2019-08-08,2.9100000858306885
2019-08-09,2.8499999046325684
2019-08-12,2.9600000381469727
2019-08-13,2.799999952316284
2019-08-14,2.690000057220459
2019-08-15,2.5399999618530273
2019-08-16,2.5
2019-08-19,2.5299999713897705
2019-08-20,2.450000047683716
2019-08-21,2.4100000858306885
2019-08-22,2.3499999046325684
2019-08-23,2.200000047683716
2019-08-26,2.1600000858306885
2019-08-27,2.109999895095825
2019-08-28,2.190000057220459
2019-08-29,2.119999885559082
2019-08-30,2.0199999809265137
2019-09-03,1.9299999475479126
2019-09-04,1.9299999475479126
2019-09-05,2.0199999809265137
2019-09-06,2.0299999713897705
2019-09-09,2.069999933242798
2019-09-10,2.109999895095825
2019-09-11,2.2100000381469727
2019-09-12,2.180000066757202
2019-09-13,2.200000047683716
2019-09-16,2.299999952316284
2019-09-17,2.359999895095825
2019-09-18,2.380000114440918
2019-09-19,2.3399999141693115
2019-09-20,2.440000057220459
2019-09-23,2.4100000858306885
2019-09-24,2.4700000286102295
2019-09-25,2.609999895095825
2019-09-26,2.490000009536743
2019-09-27,2.5
2019-09-30,2.3499999046325684
2019-10-01,2.0299999713897705
2019-10-02,1.9500000476837158
2019-10-03,1.9800000190734863
2019-10-04,1.9199999570846558
2019-10-07,1.840000033378601
2019-10-08,1.690000057220459
