,CHW
2018-03-12,9.220000267028809
2018-03-13,9.170000076293945
2018-03-14,9.170000076293945
2018-03-15,9.220000267028809
2018-03-16,9.239999771118164
2018-03-19,9.229999542236328
2018-03-20,9.220000267028809
2018-03-21,9.220000267028809
2018-03-22,9.020000457763672
2018-03-23,8.850000381469727
2018-03-26,9.010000228881836
2018-03-27,8.979999542236328
2018-03-28,8.920000076293945
2018-03-29,8.989999771118164
2018-04-02,8.859999656677246
2018-04-03,8.970000267028809
2018-04-04,8.979999542236328
2018-04-05,9.069999694824219
2018-04-06,9.220000267028809
2018-04-09,8.979999542236328
2018-04-10,9.09000015258789
2018-04-11,9.25
2018-04-12,9.050000190734863
2018-04-13,9.069999694824219
2018-04-16,9.069999694824219
2018-04-17,9.1899995803833
2018-04-18,9.15999984741211
2018-04-19,9.199999809265137
2018-04-20,9.220000267028809
2018-04-23,9.25
2018-04-24,9.210000038146973
2018-04-25,9.199999809265137
2018-04-26,9.220000267028809
2018-04-27,9.229999542236328
2018-04-30,9.180000305175781
2018-05-01,9.239999771118164
2018-05-02,9.220000267028809
2018-05-03,9.270000457763672
2018-05-04,9.300000190734863
2018-05-07,9.300000190734863
2018-05-08,9.3100004196167
2018-05-09,9.289999961853027
2018-05-10,9.40999984741211
2018-05-11,9.350000381469727
2018-05-14,9.229999542236328
2018-05-15,9.199999809265137
2018-05-16,9.220000267028809
2018-05-17,9.130000114440918
2018-05-18,9.15999984741211
2018-05-21,9.119999885559082
2018-05-22,9.15999984741211
2018-05-23,9.100000381469727
2018-05-24,9.119999885559082
2018-05-25,9.100000381469727
2018-05-29,9.0
2018-05-30,9.079999923706055
2018-05-31,9.029999732971191
2018-06-01,9.119999885559082
2018-06-04,9.09000015258789
2018-06-05,9.079999923706055
2018-06-06,9.170000076293945
2018-06-07,9.15999984741211
2018-06-08,9.210000038146973
2018-06-11,9.180000305175781
2018-06-12,9.199999809265137
2018-06-13,9.199999809265137
2018-06-14,9.210000038146973
2018-06-15,9.210000038146973
2018-06-18,9.180000305175781
2018-06-19,9.170000076293945
2018-06-20,9.1899995803833
2018-06-21,9.119999885559082
2018-06-22,9.130000114440918
2018-06-25,8.970000267028809
