,CHEF
2017-12-21,20.600000381469727
2017-12-22,20.850000381469727
2017-12-26,20.950000762939453
2017-12-27,20.700000762939453
2017-12-28,20.399999618530273
2017-12-29,20.5
2018-01-02,21.200000762939453
2018-01-03,20.899999618530273
2018-01-04,20.149999618530273
2018-01-05,20.450000762939453
2018-01-08,20.399999618530273
2018-01-09,20.25
2018-01-10,20.0
2018-01-11,20.350000381469727
2018-01-12,20.649999618530273
2018-01-16,20.299999237060547
2018-01-17,20.399999618530273
2018-01-18,20.049999237060547
2018-01-19,20.450000762939453
2018-01-22,20.25
2018-01-23,20.600000381469727
2018-01-24,21.450000762939453
2018-01-25,21.100000381469727
2018-01-26,21.100000381469727
2018-01-29,20.5
2018-01-30,20.649999618530273
2018-01-31,20.350000381469727
2018-02-01,20.549999237060547
2018-02-02,19.649999618530273
2018-02-05,19.0
2018-02-06,19.25
2018-02-07,19.5
2018-02-08,19.200000762939453
2018-02-09,19.75
2018-02-12,19.649999618530273
2018-02-13,19.100000381469727
2018-02-14,19.600000381469727
2018-02-15,19.799999237060547
2018-02-16,20.200000762939453
2018-02-20,19.450000762939453
2018-02-21,22.049999237060547
2018-02-22,21.5
2018-02-23,22.450000762939453
2018-02-26,22.600000381469727
2018-02-27,22.600000381469727
2018-02-28,22.549999237060547
2018-03-01,22.75
2018-03-02,23.0
2018-03-05,23.25
2018-03-06,23.600000381469727
2018-03-07,23.700000762939453
2018-03-08,23.149999618530273
2018-03-09,23.899999618530273
2018-03-12,23.25
2018-03-13,23.299999237060547
2018-03-14,23.5
2018-03-15,23.0
2018-03-16,23.25
2018-03-19,23.899999618530273
2018-03-20,23.799999237060547
2018-03-21,24.950000762939453
2018-03-22,24.649999618530273
2018-03-23,23.600000381469727
2018-03-26,23.5
2018-03-27,23.0
2018-03-28,23.049999237060547
2018-03-29,23.0
2018-04-02,22.600000381469727
2018-04-03,23.5
2018-04-04,24.649999618530273
2018-04-05,24.200000762939453
2018-04-06,23.5
2018-04-09,23.299999237060547
2018-04-10,23.950000762939453
2018-04-11,23.850000381469727
2018-04-12,24.049999237060547
2018-04-13,23.850000381469727
2018-04-16,24.049999237060547
2018-04-17,24.549999237060547
2018-04-18,24.149999618530273
2018-04-19,23.75
2018-04-20,23.149999618530273
2018-04-23,23.350000381469727
2018-04-24,23.850000381469727
2018-04-25,24.100000381469727
2018-04-26,24.450000762939453
2018-04-27,24.549999237060547
2018-04-30,24.25
2018-05-01,24.399999618530273
2018-05-02,24.5
2018-05-03,24.600000381469727
2018-05-04,24.899999618530273
2018-05-07,25.0
2018-05-08,25.200000762939453
2018-05-09,25.100000381469727
2018-05-10,28.149999618530273
2018-05-11,27.700000762939453
2018-05-14,27.5
2018-05-15,27.799999237060547
2018-05-16,27.75
2018-05-17,28.350000381469727
2018-05-18,27.75
2018-05-21,27.5
2018-05-22,27.149999618530273
2018-05-23,27.600000381469727
2018-05-24,27.549999237060547
2018-05-25,27.649999618530273
2018-05-29,27.75
2018-05-30,27.75
2018-05-31,27.200000762939453
2018-06-01,27.75
2018-06-04,27.950000762939453
2018-06-05,27.700000762939453
2018-06-06,27.200000762939453
2018-06-07,26.600000381469727
2018-06-08,26.450000762939453
2018-06-11,27.600000381469727
2018-06-12,27.549999237060547
2018-06-13,27.649999618530273
2018-06-14,27.75
2018-06-15,28.200000762939453
2018-06-18,28.899999618530273
2018-06-19,28.899999618530273
2018-06-20,28.0
2018-06-21,28.0
2018-06-22,27.950000762939453
2018-06-25,28.549999237060547
2018-06-26,28.700000762939453
2018-06-27,28.450000762939453
2018-06-28,28.700000762939453
2018-06-29,28.5
2018-07-02,28.75
2018-07-03,28.950000762939453
2018-07-05,29.75
2018-07-06,30.950000762939453
2018-07-09,30.200000762939453
2018-07-10,30.649999618530273
2018-07-11,30.350000381469727
2018-07-12,31.049999237060547
2018-07-13,31.25
2018-07-16,31.200000762939453
2018-07-17,31.5
2018-07-18,31.450000762939453
2018-07-19,30.899999618530273
2018-07-20,30.600000381469727
2018-07-23,30.299999237060547
2018-07-24,28.850000381469727
2018-07-25,29.100000381469727
2018-07-26,29.5
2018-07-27,28.700000762939453
2018-07-30,27.049999237060547
2018-07-31,26.950000762939453
2018-08-01,26.850000381469727
2018-08-02,29.049999237060547
2018-08-03,28.25
2018-08-06,28.850000381469727
2018-08-07,28.75
2018-08-08,29.0
2018-08-09,29.049999237060547
2018-08-10,28.850000381469727
2018-08-13,28.799999237060547
2018-08-14,28.950000762939453
2018-08-15,28.700000762939453
2018-08-16,28.950000762939453
2018-08-17,28.899999618530273
2018-08-20,29.100000381469727
2018-08-21,29.299999237060547
2018-08-22,29.0
2018-08-23,29.049999237060547
2018-08-24,28.950000762939453
2018-08-27,28.75
