,CYTK
2008-01-16,25.200000762939453
2008-01-17,24.719999313354492
2008-01-18,23.940000534057617
2008-01-22,22.3799991607666
2008-01-23,21.420000076293945
2008-01-24,19.920000076293945
2008-01-25,21.540000915527344
2008-01-28,20.700000762939453
2008-01-29,21.420000076293945
2008-01-30,20.639999389648438
2008-01-31,19.979999542236328
2008-02-01,21.959999084472656
2008-02-04,23.579999923706055
2008-02-05,21.299999237060547
2008-02-06,20.940000534057617
2008-02-07,19.260000228881836
2008-02-08,18.299999237060547
2008-02-11,18.299999237060547
2008-02-12,19.6200008392334
2008-02-13,21.299999237060547
2008-02-14,20.940000534057617
2008-02-15,19.020000457763672
2008-02-19,18.65999984741211
2008-02-20,19.559999465942383
2008-02-21,20.100000381469727
2008-02-22,20.219999313354492
2008-02-25,22.139999389648438
2008-02-26,21.600000381469727
2008-02-27,20.700000762939453
2008-02-28,20.520000457763672
2008-02-29,20.219999313354492
2008-03-03,20.579999923706055
2008-03-04,20.459999084472656
2008-03-05,20.760000228881836
2008-03-06,20.81999969482422
2008-03-07,20.34000015258789
2008-03-10,18.360000610351562
2008-03-11,19.799999237060547
2008-03-12,18.540000915527344
2008-03-13,19.139999389648438
2008-03-14,18.18000030517578
2008-03-17,18.0
2008-03-18,18.479999542236328
2008-03-19,20.280000686645508
2008-03-20,20.399999618530273
2008-03-24,21.0
2008-03-25,21.059999465942383
2008-03-26,22.200000762939453
2008-03-27,22.020000457763672
2008-03-28,20.34000015258789
2008-03-31,19.920000076293945
2008-04-01,20.940000534057617
2008-04-02,20.639999389648438
2008-04-03,21.059999465942383
2008-04-04,20.639999389648438
2008-04-07,20.8799991607666
2008-04-08,20.459999084472656
2008-04-09,19.200000762939453
2008-04-10,18.84000015258789
2008-04-11,18.239999771118164
2008-04-14,16.860000610351562
2008-04-15,17.81999969482422
2008-04-16,18.780000686645508
2008-04-17,18.600000381469727
2008-04-18,19.979999542236328
2008-04-21,18.059999465942383
