,BAB
2018-10-12,28.899999618530273
2018-10-15,28.84000015258789
2018-10-16,28.920000076293945
2018-10-17,28.850000381469727
2018-10-18,28.850000381469727
2018-10-19,28.790000915527344
2018-10-22,28.700000762939453
2018-10-23,28.739999771118164
2018-10-24,28.770000457763672
2018-10-25,28.790000915527344
2018-10-26,28.81999969482422
2018-10-29,28.81999969482422
2018-10-30,28.760000228881836
2018-10-31,28.709999084472656
2018-11-01,28.75
2018-11-02,28.540000915527344
2018-11-05,28.6200008392334
2018-11-06,28.559999465942383
2018-11-07,28.540000915527344
2018-11-08,28.549999237060547
2018-11-09,28.639999389648438
2018-11-12,28.760000228881836
2018-11-13,28.790000915527344
2018-11-14,28.829999923706055
2018-11-15,28.81999969482422
2018-11-16,28.90999984741211
2018-11-19,28.850000381469727
2018-11-20,28.760000228881836
2018-11-21,28.770000457763672
2018-11-23,28.809999465942383
2018-11-26,28.770000457763672
2018-11-27,28.790000915527344
2018-11-28,28.739999771118164
2018-11-29,28.760000228881836
2018-11-30,28.809999465942383
2018-12-03,28.959999084472656
2018-12-04,29.149999618530273
2018-12-06,29.200000762939453
2018-12-07,29.239999771118164
2018-12-10,29.360000610351562
2018-12-11,29.260000228881836
2018-12-12,29.25
2018-12-13,29.229999542236328
2018-12-14,29.309999465942383
2018-12-17,29.420000076293945
2018-12-18,29.510000228881836
2018-12-19,29.639999389648438
2018-12-20,29.639999389648438
2018-12-21,29.610000610351562
2018-12-24,29.6299991607666
2018-12-26,29.479999542236328
2018-12-27,29.459999084472656
2018-12-28,29.530000686645508
2018-12-31,29.690000534057617
2019-01-02,29.690000534057617
2019-01-03,29.84000015258789
2019-01-04,29.639999389648438
2019-01-07,29.6200008392334
2019-01-08,29.56999969482422
2019-01-09,29.579999923706055
2019-01-10,29.540000915527344
2019-01-11,29.579999923706055
2019-01-14,29.549999237060547
2019-01-15,29.5
2019-01-16,29.479999542236328
2019-01-17,29.5
2019-01-18,29.420000076293945
2019-01-22,29.40999984741211
2019-01-23,29.399999618530273
2019-01-24,29.479999542236328
2019-01-25,29.469999313354492
2019-01-28,29.469999313354492
2019-01-29,29.549999237060547
2019-01-30,29.579999923706055
2019-01-31,29.709999084472656
2019-02-01,29.600000381469727
2019-02-04,29.549999237060547
2019-02-05,29.6299991607666
2019-02-06,29.700000762939453
2019-02-07,29.760000228881836
2019-02-08,29.760000228881836
2019-02-11,29.90999984741211
2019-02-12,29.739999771118164
2019-02-13,29.790000915527344
2019-02-14,29.899999618530273
2019-02-15,29.81999969482422
2019-02-19,29.829999923706055
2019-02-20,29.790000915527344
2019-02-21,29.690000534057617
2019-02-22,29.75
2019-02-25,29.739999771118164
2019-02-26,29.809999465942383
2019-02-27,29.700000762939453
2019-02-28,29.6200008392334
2019-03-01,29.530000686645508
2019-03-04,29.559999465942383
2019-03-05,29.68000030517578
2019-03-06,29.770000457763672
2019-03-07,29.829999923706055
2019-03-08,29.84000015258789
2019-03-11,29.8700008392334
2019-03-12,29.93000030517578
2019-03-13,29.940000534057617
2019-03-14,29.8799991607666
2019-03-15,29.969999313354492
2019-03-18,29.8799991607666
2019-03-19,29.829999923706055
2019-03-20,29.950000762939453
2019-03-21,30.040000915527344
2019-03-22,30.229999542236328
2019-03-25,30.329999923706055
2019-03-26,30.290000915527344
2019-03-27,30.43000030517578
2019-03-28,30.469999313354492
2019-03-29,30.440000534057617
2019-04-01,30.239999771118164
2019-04-02,30.239999771118164
2019-04-03,30.09000015258789
2019-04-04,30.100000381469727
2019-04-05,30.170000076293945
2019-04-08,30.170000076293945
2019-04-09,30.229999542236328
2019-04-10,30.280000686645508
2019-04-11,30.260000228881836
2019-04-12,30.190000534057617
2019-04-15,30.170000076293945
2019-04-16,30.15999984741211
2019-04-17,30.190000534057617
2019-04-18,30.200000762939453
2019-04-22,30.020000457763672
2019-04-23,30.110000610351562
2019-04-24,30.239999771118164
2019-04-25,30.25
2019-04-26,30.260000228881836
2019-04-29,30.25
2019-04-30,30.260000228881836
2019-05-01,30.299999237060547
2019-05-02,30.299999237060547
2019-05-03,30.34000015258789
2019-05-06,30.40999984741211
2019-05-07,30.489999771118164
2019-05-08,30.43000030517578
2019-05-09,30.520000457763672
2019-05-10,30.489999771118164
2019-05-13,30.56999969482422
2019-05-14,30.600000381469727
2019-05-15,30.709999084472656
2019-05-16,30.65999984741211
2019-05-17,30.690000534057617
2019-05-20,30.549999237060547
