,DBX
2020-12-08,21.59000015258789
2020-12-09,21.260000228881836
2020-12-10,21.239999771118164
2020-12-11,22.489999771118164
2020-12-14,23.31999969482422
2020-12-15,23.1200008392334
2020-12-16,23.520000457763672
2020-12-17,23.889999389648438
2020-12-18,23.68000030517578
2020-12-21,23.549999237060547
2020-12-22,24.8700008392334
2020-12-23,24.610000610351562
2020-12-24,24.649999618530273
2020-12-28,23.600000381469727
2020-12-29,22.93000030517578
2020-12-30,22.600000381469727
2020-12-31,22.190000534057617
2021-01-04,22.049999237060547
2021-01-05,22.229999542236328
2021-01-06,21.850000381469727
2021-01-07,22.559999465942383
2021-01-08,22.5
2021-01-11,23.350000381469727
2021-01-12,23.610000610351562
2021-01-13,22.1200008392334
2021-01-14,22.690000534057617
2021-01-15,22.079999923706055
2021-01-19,21.770000457763672
2021-01-20,22.170000076293945
2021-01-21,21.940000534057617
2021-01-22,22.15999984741211
2021-01-25,22.020000457763672
2021-01-26,22.200000762939453
2021-01-27,24.260000228881836
2021-01-28,23.084999084472656
2021-01-29,22.6299991607666
2021-02-01,22.889999389648438
2021-02-02,23.110000610351562
2021-02-03,23.920000076293945
2021-02-04,23.690000534057617
2021-02-05,24.84000015258789
2021-02-08,24.81999969482422
2021-02-09,24.149999618530273
2021-02-10,23.90999984741211
2021-02-11,23.700000762939453
2021-02-12,24.510000228881836
2021-02-16,24.489999771118164
2021-02-17,24.100000381469727
2021-02-18,24.3700008392334
2021-02-19,23.454999923706055
2021-02-22,22.5
2021-02-23,23.18000030517578
2021-02-24,22.920000076293945
2021-02-25,22.639999389648438
2021-02-26,22.545000076293945
2021-03-01,23.149999618530273
2021-03-02,22.950000762939453
2021-03-03,22.420000076293945
2021-03-04,23.049999237060547
2021-03-05,23.479999542236328
2021-03-08,23.760000228881836
2021-03-09,24.739999771118164
2021-03-10,24.479999542236328
2021-03-11,25.450000762939453
2021-03-12,27.059999465942383
2021-03-15,27.959999084472656
2021-03-16,27.75
2021-03-17,28.059999465942383
2021-03-18,26.34000015258789
2021-03-19,26.860000610351562
2021-03-22,27.31999969482422
2021-03-23,27.350000381469727
2021-03-24,26.540000915527344
2021-03-25,26.350000381469727
2021-03-26,26.59000015258789
2021-03-29,26.15999984741211
2021-03-30,26.25
2021-03-31,26.65999984741211
2021-04-01,27.389999389648438
2021-04-05,27.8700008392334
2021-04-06,27.809999465942383
2021-04-07,27.6200008392334
2021-04-08,27.690000534057617
2021-04-09,26.989999771118164
2021-04-12,26.049999237060547
2021-04-13,26.170000076293945
2021-04-14,26.31999969482422
2021-04-15,26.3700008392334
2021-04-16,26.3799991607666
2021-04-19,26.1200008392334
2021-04-20,25.719999313354492
2021-04-21,25.850000381469727
2021-04-22,25.989999771118164
2021-04-23,26.2549991607666
2021-04-26,26.559999465942383
2021-04-27,26.3700008392334
2021-04-28,26.540000915527344
2021-04-29,26.239999771118164
2021-04-30,25.700000762939453
2021-05-03,25.31999969482422
2021-05-04,25.020000457763672
2021-05-05,24.860000610351562
2021-05-06,24.530000686645508
2021-05-07,24.700000762939453
2021-05-10,25.43000030517578
2021-05-11,25.549999237060547
2021-05-12,24.809999465942383
2021-05-13,24.440000534057617
2021-05-14,25.3799991607666
