,CALM
2000-07-07,0.890625
2000-07-10,0.890625
2000-07-11,0.9375
2000-07-12,0.921875
2000-07-13,0.921875
2000-07-14,0.90625
2000-07-17,0.90625
2000-07-18,0.921875
2000-07-19,0.921875
2000-07-20,0.921875
2000-07-21,0.921875
2000-07-24,0.921875
2000-07-25,0.90625
2000-07-26,0.90625
2000-07-27,0.90625
2000-07-28,0.90625
2000-07-31,0.921875
2000-08-01,0.90625
2000-08-02,0.90625
2000-08-03,0.90625
2000-08-04,0.90625
2000-08-07,0.921875
2000-08-08,0.9375
2000-08-09,0.9375
2000-08-10,0.9375
2000-08-11,0.9375
2000-08-14,0.953125
2000-08-15,0.9375
2000-08-16,0.9375
2000-08-17,0.9375
2000-08-18,0.9375
2000-08-21,0.84375
2000-08-22,0.859375
2000-08-23,0.875
2000-08-24,0.875
2000-08-25,0.890625
2000-08-28,0.859375
2000-08-29,0.90625
2000-08-30,0.875
2000-08-31,0.859375
2000-09-01,0.859375
2000-09-05,0.890625
2000-09-06,0.84375
2000-09-07,0.890625
2000-09-08,0.875
2000-09-11,0.90625
2000-09-12,0.875
2000-09-13,0.875
2000-09-14,0.875
2000-09-15,0.8984379768371582
2000-09-18,0.890625
2000-09-19,0.90625
2000-09-20,0.890625
2000-09-21,0.890625
2000-09-22,0.875
2000-09-25,0.8125
2000-09-26,0.8125
2000-09-27,0.8125
2000-09-28,0.828125
2000-09-29,0.8125
2000-10-02,0.84375
2000-10-03,0.796875
2000-10-04,0.796875
2000-10-05,0.84375
2000-10-06,0.875
2000-10-09,0.9140629768371582
2000-10-10,0.890625
2000-10-11,0.890625
2000-10-12,0.890625
2000-10-13,0.890625
2000-10-16,0.890625
2000-10-17,0.890625
2000-10-18,0.890625
2000-10-19,0.890625
2000-10-20,0.90625
2000-10-23,0.890625
2000-10-24,0.875
2000-10-25,0.875
2000-10-26,0.8125
2000-10-27,0.84375
2000-10-30,0.84375
2000-10-31,0.875
2000-11-01,0.90625
2000-11-02,1.0
2000-11-03,0.9765629768371582
2000-11-06,1.03125
2000-11-07,1.015625
2000-11-08,1.015625
2000-11-09,1.03125
2000-11-10,1.03125
2000-11-13,1.03125
2000-11-14,1.03125
2000-11-15,1.0625
2000-11-16,1.046875
2000-11-17,1.046875
2000-11-20,1.046875
2000-11-21,1.0625
2000-11-22,1.046875
2000-11-24,1.046875
2000-11-27,1.046875
2000-11-28,1.046875
2000-11-29,1.046875
2000-11-30,1.0625
2000-12-01,1.046875
2000-12-04,1.015625
2000-12-05,1.0625
2000-12-06,1.0625
2000-12-07,1.0625
2000-12-08,1.0546879768371582
2000-12-11,1.0625
2000-12-12,1.0625
2000-12-13,1.0625
2000-12-14,1.0625
2000-12-15,1.0625
2000-12-18,1.03125
2000-12-19,1.046875
2000-12-20,1.046875
2000-12-21,1.046875
2000-12-22,1.3125
2000-12-26,1.3125
2000-12-27,1.328125
2000-12-28,1.53125
2000-12-29,1.5
2001-01-02,1.546875
2001-01-03,1.546875
2001-01-04,1.546875
2001-01-05,1.5
2001-01-08,1.375
2001-01-09,1.390625
2001-01-10,1.359375
2001-01-11,1.328125
2001-01-12,1.328125
2001-01-16,1.234375
2001-01-17,1.265625
2001-01-18,1.265625
2001-01-19,1.28125
2001-01-22,1.28125
2001-01-23,1.3125
2001-01-24,1.3203129768371582
2001-01-25,1.328125
2001-01-26,1.328125
2001-01-29,1.359375
2001-01-30,1.34375
2001-01-31,1.28125
2001-02-01,1.28125
2001-02-02,1.125
2001-02-05,1.1875
2001-02-06,1.171875
2001-02-07,1.171875
2001-02-08,1.203125
2001-02-09,1.15625
2001-02-12,1.109375
2001-02-13,1.171875
2001-02-14,1.171875
2001-02-15,1.171875
2001-02-16,1.171875
2001-02-20,1.171875
2001-02-21,1.15625
2001-02-22,1.15625
2001-02-23,1.125
2001-02-26,1.125
2001-02-27,1.1875
2001-02-28,1.171875
2001-03-01,1.140625
2001-03-02,1.171875
2001-03-05,1.171875
2001-03-06,1.140625
2001-03-07,1.171875
2001-03-08,1.140625
2001-03-09,1.140625
2001-03-12,1.171875
2001-03-13,1.171875
2001-03-14,1.15625
2001-03-15,1.140625
2001-03-16,1.140625
2001-03-19,1.15625
2001-03-20,1.15625
2001-03-21,1.140625
2001-03-22,1.1328129768371582
2001-03-23,1.171875
2001-03-26,1.125
2001-03-27,1.15625
2001-03-28,1.171875
2001-03-29,1.15625
2001-03-30,1.15625
2001-04-02,1.15625
2001-04-03,1.15625
2001-04-04,1.21875
2001-04-05,1.25
2001-04-06,1.3125
2001-04-09,1.2625000476837158
2001-04-10,1.2625000476837158
2001-04-11,1.2374999523162842
2001-04-12,1.2450000047683716
2001-04-16,1.252500057220459
2001-04-17,1.2575000524520874
2001-04-18,1.2374999523162842
2001-04-19,1.2374999523162842
2001-04-20,1.2374999523162842
2001-04-23,1.25
2001-04-24,1.2699999809265137
2001-04-25,1.287500023841858
2001-04-26,1.277500033378601
2001-04-27,1.274999976158142
2001-04-30,1.2799999713897705
2001-05-01,1.2799999713897705
2001-05-02,1.2799999713897705
2001-05-03,1.284999966621399
2001-05-04,1.2799999713897705
2001-05-07,1.2799999713897705
2001-05-08,1.2799999713897705
2001-05-09,1.247499942779541
2001-05-10,1.2450000047683716
2001-05-11,1.2549999952316284
2001-05-14,1.274999976158142
2001-05-15,1.2575000524520874
2001-05-16,1.2575000524520874
2001-05-17,1.2575000524520874
2001-05-18,1.2649999856948853
2001-05-21,1.2699999809265137
2001-05-22,1.2699999809265137
2001-05-23,1.25
2001-05-24,1.2675000429153442
2001-05-25,1.2675000429153442
2001-05-29,1.2675000429153442
2001-05-30,1.25
2001-05-31,1.25
2001-06-01,1.2649999856948853
2001-06-04,1.2675000429153442
2001-06-05,1.2625000476837158
2001-06-06,1.25
2001-06-07,1.225000023841858
2001-06-08,1.1825000047683716
2001-06-11,1.1749999523162842
2001-06-12,1.149999976158142
2001-06-13,1.1875
2001-06-14,1.1875
2001-06-15,1.1875
2001-06-18,1.1375000476837158
2001-06-19,1.1875
2001-06-20,1.162500023841858
2001-06-21,1.162500023841858
2001-06-22,1.1875
2001-06-25,1.152500033378601
2001-06-26,1.162500023841858
2001-06-27,1.1375000476837158
2001-06-28,1.162500023841858
2001-06-29,1.1749999523162842
