,FDT
2016-12-16,47.400001525878906
2016-12-19,47.2599983215332
2016-12-20,47.349998474121094
2016-12-21,47.16999816894531
2016-12-22,47.09000015258789
2016-12-23,47.20000076293945
2016-12-27,47.279998779296875
2016-12-28,47.060001373291016
2016-12-29,47.27000045776367
2016-12-30,47.189998626708984
2017-01-03,47.75
2017-01-04,48.130001068115234
2017-01-05,48.650001525878906
2017-01-06,48.400001525878906
2017-01-09,48.279998779296875
2017-01-10,48.459999084472656
2017-01-11,49.08000183105469
2017-01-12,49.130001068115234
2017-01-13,49.5
2017-01-17,49.290000915527344
2017-01-18,49.11000061035156
2017-01-19,48.939998626708984
2017-01-20,49.150001525878906
2017-01-23,49.40999984741211
2017-01-24,49.7599983215332
2017-01-25,50.130001068115234
2017-01-26,50.0099983215332
2017-01-27,49.880001068115234
2017-01-30,49.54999923706055
2017-01-31,49.599998474121094
2017-02-01,50.15999984741211
2017-02-02,50.18000030517578
2017-02-03,50.15999984741211
2017-02-06,49.79999923706055
2017-02-07,49.97999954223633
2017-02-08,50.09000015258789
2017-02-09,50.15999984741211
2017-02-10,50.380001068115234
2017-02-13,50.720001220703125
2017-02-14,50.709999084472656
2017-02-15,50.970001220703125
2017-02-16,50.91999816894531
2017-02-17,50.650001525878906
2017-02-21,51.13999938964844
2017-02-22,51.22999954223633
2017-02-23,51.25
2017-02-24,50.66999816894531
2017-02-27,50.689998626708984
2017-02-28,50.70000076293945
2017-03-01,51.25
2017-03-02,50.709999084472656
2017-03-03,50.79999923706055
2017-03-06,50.59000015258789
2017-03-07,50.61000061035156
2017-03-08,50.459999084472656
2017-03-09,50.369998931884766
2017-03-10,50.810001373291016
2017-03-13,51.09000015258789
2017-03-14,50.810001373291016
2017-03-15,51.7400016784668
2017-03-16,52.040000915527344
2017-03-17,52.040000915527344
2017-03-20,52.150001525878906
2017-03-21,51.79999923706055
2017-03-22,51.7599983215332
2017-03-23,51.790000915527344
2017-03-24,51.959999084472656
2017-03-27,51.97999954223633
2017-03-28,52.22999954223633
2017-03-29,52.209999084472656
2017-03-30,52.08000183105469
2017-03-31,52.15999984741211
2017-04-03,52.15999984741211
2017-04-04,52.060001373291016
2017-04-05,51.75
2017-04-06,51.810001373291016
2017-04-07,51.77000045776367
2017-04-10,51.79999923706055
2017-04-11,51.869998931884766
2017-04-12,52.029998779296875
2017-04-13,51.599998474121094
2017-04-17,51.93000030517578
2017-04-18,51.65999984741211
2017-04-19,51.47999954223633
2017-04-20,51.90999984741211
2017-04-21,52.02000045776367
2017-04-24,52.91999816894531
2017-04-25,53.470001220703125
2017-04-26,53.41999816894531
2017-04-27,53.4900016784668
2017-04-28,53.4900016784668
