,EDSA
2014-12-03,512.4000244140625
2014-12-04,520.7999877929688
2014-12-05,499.79998779296875
2014-12-08,495.6000061035156
2014-12-09,474.6000061035156
2014-12-10,474.6000061035156
2014-12-11,466.20001220703125
2014-12-12,474.6000061035156
2014-12-15,436.79998779296875
2014-12-16,432.6000061035156
2014-12-17,428.3999938964844
2014-12-18,478.79998779296875
2014-12-19,499.79998779296875
2014-12-22,520.7999877929688
2014-12-23,529.2000122070312
2014-12-24,529.2000122070312
2014-12-26,499.79998779296875
2014-12-29,457.79998779296875
2014-12-30,432.6000061035156
2014-12-31,487.20001220703125
2015-01-02,462.0
2015-01-05,441.0
2015-01-06,466.20001220703125
2015-01-07,474.6000061035156
2015-01-08,491.3999938964844
2015-01-09,474.6000061035156
2015-01-12,445.20001220703125
2015-01-13,428.3999938964844
2015-01-14,462.0
2015-01-15,449.3999938964844
2015-01-16,445.20001220703125
2015-01-20,428.3999938964844
2015-01-21,424.20001220703125
2015-01-22,420.0
2015-01-23,420.0
2015-01-26,382.20001220703125
2015-01-27,390.6000061035156
2015-01-28,365.3999938964844
2015-01-29,445.20001220703125
2015-01-30,453.6000061035156
2015-02-02,428.3999938964844
2015-02-03,424.20001220703125
2015-02-04,420.0
2015-02-05,436.79998779296875
2015-02-06,424.20001220703125
2015-02-09,424.20001220703125
2015-02-10,420.0
2015-02-11,415.79998779296875
2015-02-12,441.0
2015-02-13,432.6000061035156
2015-02-17,428.3999938964844
2015-02-18,407.3999938964844
2015-02-19,394.79998779296875
2015-02-20,403.20001220703125
2015-02-23,407.3999938964844
2015-02-24,411.6000061035156
