,AOSL
2016-11-29,23.0
2016-11-30,21.75
2016-12-01,19.93000030517578
2016-12-02,20.079999923706055
2016-12-05,20.510000228881836
2016-12-06,20.360000610351562
2016-12-07,20.510000228881836
2016-12-08,20.510000228881836
2016-12-09,22.989999771118164
2016-12-12,22.100000381469727
2016-12-13,21.969999313354492
2016-12-14,21.719999313354492
2016-12-15,22.270000457763672
2016-12-16,22.31999969482422
2016-12-19,22.579999923706055
2016-12-20,22.850000381469727
2016-12-21,23.3799991607666
2016-12-22,22.579999923706055
2016-12-23,22.479999542236328
2016-12-27,22.5
2016-12-28,21.920000076293945
2016-12-29,21.920000076293945
2016-12-30,21.270000457763672
2017-01-03,21.610000610351562
2017-01-04,21.459999084472656
2017-01-05,21.020000457763672
2017-01-06,20.889999389648438
2017-01-09,21.260000228881836
2017-01-10,21.5
2017-01-11,22.200000762939453
2017-01-12,22.239999771118164
2017-01-13,22.889999389648438
2017-01-17,22.18000030517578
2017-01-18,21.639999389648438
2017-01-19,20.6299991607666
2017-01-20,20.610000610351562
2017-01-23,20.959999084472656
2017-01-24,21.399999618530273
2017-01-25,21.059999465942383
2017-01-26,20.920000076293945
2017-01-27,21.440000534057617
2017-01-30,21.15999984741211
2017-01-31,20.350000381469727
2017-02-01,20.700000762939453
2017-02-02,20.75
2017-02-03,21.479999542236328
2017-02-06,20.860000610351562
2017-02-07,20.739999771118164
2017-02-08,20.829999923706055
2017-02-09,21.040000915527344
2017-02-10,21.8700008392334
2017-02-13,21.079999923706055
2017-02-14,21.479999542236328
2017-02-15,21.59000015258789
2017-02-16,21.34000015258789
2017-02-17,21.440000534057617
2017-02-21,21.31999969482422
2017-02-22,21.290000915527344
2017-02-23,20.969999313354492
2017-02-24,20.65999984741211
2017-02-27,20.610000610351562
2017-02-28,19.260000228881836
2017-03-01,19.540000915527344
2017-03-02,18.75
2017-03-03,18.290000915527344
2017-03-06,17.229999542236328
2017-03-07,17.549999237060547
2017-03-08,17.709999084472656
2017-03-09,17.579999923706055
2017-03-10,17.700000762939453
2017-03-13,17.399999618530273
2017-03-14,17.149999618530273
2017-03-15,17.579999923706055
2017-03-16,17.670000076293945
2017-03-17,17.719999313354492
2017-03-20,17.43000030517578
2017-03-21,16.770000457763672
2017-03-22,16.899999618530273
2017-03-23,17.18000030517578
2017-03-24,17.040000915527344
2017-03-27,17.100000381469727
2017-03-28,17.040000915527344
2017-03-29,17.290000915527344
2017-03-30,16.8799991607666
2017-03-31,17.190000534057617
2017-04-03,16.84000015258789
2017-04-04,16.84000015258789
2017-04-05,16.459999084472656
2017-04-06,16.649999618530273
2017-04-07,16.739999771118164
2017-04-10,16.270000457763672
2017-04-11,16.690000534057617
2017-04-12,16.3799991607666
2017-04-13,16.1200008392334
2017-04-17,16.06999969482422
2017-04-18,16.3799991607666
2017-04-19,16.170000076293945
2017-04-20,16.739999771118164
2017-04-21,16.270000457763672
2017-04-24,16.899999618530273
2017-04-25,16.719999313354492
2017-04-26,16.760000228881836
2017-04-27,16.829999923706055
2017-04-28,16.549999237060547
2017-05-01,16.739999771118164
2017-05-02,16.139999389648438
2017-05-03,16.209999084472656
2017-05-04,20.020000457763672
2017-05-05,18.760000228881836
2017-05-08,18.68000030517578
2017-05-09,18.510000228881836
2017-05-10,18.979999542236328
2017-05-11,19.040000915527344
2017-05-12,18.719999313354492
2017-05-15,19.09000015258789
2017-05-16,19.079999923706055
2017-05-17,18.059999465942383
2017-05-18,18.3799991607666
2017-05-19,18.420000076293945
2017-05-22,18.690000534057617
2017-05-23,18.6299991607666
