,SDP
2010-08-20,456.239990234375
2010-08-23,448.79998779296875
2010-08-24,450.0
2010-08-25,452.3999938964844
2010-08-26,453.6000061035156
2010-08-27,438.4800109863281
2010-08-30,449.2799987792969
2010-08-31,445.67999267578125
2010-09-01,425.5199890136719
2010-09-02,427.20001220703125
2010-09-03,421.67999267578125
2010-09-07,425.5199890136719
2010-09-08,425.2799987792969
2010-09-09,423.1199951171875
2010-09-10,425.0400085449219
2010-09-13,421.67999267578125
2010-09-14,420.7200012207031
2010-09-15,427.20001220703125
2010-09-16,432.7200012207031
2010-09-17,433.20001220703125
2010-09-20,422.6400146484375
2010-09-21,422.6400146484375
2010-09-22,420.239990234375
2010-09-23,427.67999267578125
2010-09-24,415.67999267578125
2010-09-27,411.6000061035156
2010-09-28,412.32000732421875
2010-09-29,412.32000732421875
2010-09-30,414.7200012207031
2010-10-01,409.9200134277344
2010-10-04,409.9200134277344
2010-10-05,403.9200134277344
2010-10-06,406.32000732421875
2010-10-07,406.32000732421875
2010-10-08,401.2799987792969
2010-10-11,401.2799987792969
2010-10-12,406.32000732421875
2010-10-13,401.5199890136719
2010-10-14,403.67999267578125
2010-10-15,401.0400085449219
2010-10-18,398.1600036621094
2010-10-19,399.8399963378906
2010-10-20,393.1199951171875
2010-10-21,397.67999267578125
2010-10-22,402.9599914550781
2010-10-25,402.4800109863281
2010-10-26,404.3999938964844
2010-10-27,407.0400085449219
2010-10-28,402.9599914550781
2010-10-29,402.239990234375
2010-11-01,410.8800048828125
2010-11-02,399.1199951171875
2010-11-03,399.1199951171875
2010-11-04,390.9599914550781
2010-11-05,390.9599914550781
2010-11-08,395.5199890136719
2010-11-09,396.4800109863281
2010-11-10,401.2799987792969
2010-11-11,401.760009765625
2010-11-12,407.0400085449219
2010-11-15,401.2799987792969
2010-11-16,414.9599914550781
2010-11-17,413.5199890136719
2010-11-18,410.1600036621094
2010-11-19,413.5199890136719
2010-11-22,411.1199951171875
2010-11-23,417.8399963378906
2010-11-24,413.2799987792969
2010-11-26,413.0400085449219
2010-11-29,420.0
2010-11-30,419.5199890136719
2010-12-01,410.3999938964844
2010-12-02,407.760009765625
2010-12-03,405.1199951171875
2010-12-06,408.239990234375
2010-12-07,414.239990234375
2010-12-08,415.9200134277344
2010-12-09,413.0400085449219
2010-12-10,409.67999267578125
2010-12-13,404.6400146484375
2010-12-14,403.67999267578125
2010-12-15,409.67999267578125
2010-12-16,405.6000061035156
2010-12-17,400.0799865722656
2010-12-20,398.1600036621094
2010-12-21,396.4800109863281
2010-12-22,392.1600036621094
2010-12-23,390.9599914550781
2010-12-27,392.3999938964844
2010-12-28,393.6000061035156
2010-12-29,390.4800109863281
2010-12-30,391.67999267578125
2010-12-31,394.55999755859375
2011-01-03,389.2799987792969
2011-01-04,386.3999938964844
2011-01-05,389.2799987792969
2011-01-06,390.4800109863281
2011-01-07,386.3999938964844
2011-01-10,390.4800109863281
2011-01-11,388.79998779296875
2011-01-12,385.20001220703125
2011-01-13,385.9200134277344
2011-01-14,381.8399963378906
2011-01-18,380.6400146484375
2011-01-19,381.6000061035156
2011-01-20,377.5199890136719
2011-01-21,376.79998779296875
2011-01-24,371.5199890136719
2011-01-25,376.79998779296875
2011-01-26,375.1199951171875
2011-01-27,372.0
2011-01-28,384.0
2011-01-31,382.0799865722656
2011-02-01,372.4800109863281
2011-02-02,373.44000244140625
2011-02-03,375.8399963378906
2011-02-04,377.760009765625
2011-02-07,373.20001220703125
2011-02-08,372.9599914550781
2011-02-09,374.3999938964844
2011-02-10,372.4800109863281
2011-02-11,372.0
2011-02-14,379.67999267578125
2011-02-15,374.6400146484375
2011-02-16,375.8399963378906
2011-02-17,373.44000244140625
2011-02-18,373.44000244140625
2011-02-22,373.44000244140625
2011-02-23,377.0400085449219
2011-02-24,382.55999755859375
2011-02-25,375.8399963378906
2011-02-28,366.9599914550781
2011-03-01,374.1600036621094
2011-03-02,373.9200134277344
2011-03-03,363.8399963378906
2011-03-04,368.8800048828125
2011-03-07,364.79998779296875
2011-03-08,358.0799865722656
2011-03-09,353.2799987792969
2011-03-10,359.760009765625
2011-03-11,361.9200134277344
2011-03-14,368.3999938964844
2011-03-15,379.67999267578125
2011-03-16,392.1600036621094
2011-03-17,389.2799987792969
2011-03-18,388.79998779296875
2011-03-21,376.32000732421875
2011-03-22,375.3599853515625
2011-03-23,375.3599853515625
2011-03-24,372.239990234375
2011-03-25,370.0799865722656
2011-03-28,373.9200134277344
2011-03-29,368.1600036621094
2011-03-30,357.8399963378906
2011-03-31,359.5199890136719
2011-04-01,356.8800048828125
2011-04-04,355.9200134277344
2011-04-05,355.44000244140625
2011-04-06,355.44000244140625
2011-04-07,355.20001220703125
2011-04-08,354.0
2011-04-11,367.67999267578125
2011-04-12,370.32000732421875
2011-04-13,368.8800048828125
2011-04-14,365.760009765625
2011-04-15,356.3999938964844
2011-04-18,364.55999755859375
2011-04-19,364.32000732421875
2011-04-20,354.4800109863281
2011-04-21,352.79998779296875
2011-04-25,352.79998779296875
2011-04-26,345.6000061035156
2011-04-27,338.8800048828125
2011-04-28,336.0
2011-04-29,336.0
2011-05-02,333.6000061035156
2011-05-03,327.1199951171875
2011-05-04,332.3999938964844
2011-05-05,339.3599853515625
2011-05-06,332.8800048828125
2011-05-09,334.32000732421875
2011-05-10,321.3599853515625
2011-05-11,327.3599853515625
2011-05-12,318.9599914550781
2011-05-13,324.239990234375
2011-05-16,321.1199951171875
2011-05-17,319.67999267578125
2011-05-18,319.67999267578125
2011-05-19,317.2799987792969
2011-05-20,317.0400085449219
2011-05-23,326.8800048828125
2011-05-24,327.3599853515625
2011-05-25,328.32000732421875
2011-05-26,327.3599853515625
2011-05-27,327.6000061035156
2011-05-31,324.4800109863281
2011-06-01,328.32000732421875
2011-06-02,332.6400146484375
2011-06-03,336.239990234375
2011-06-06,339.1199951171875
2011-06-07,334.55999755859375
2011-06-08,337.9200134277344
2011-06-09,337.20001220703125
2011-06-10,339.1199951171875
2011-06-13,337.20001220703125
2011-06-14,336.239990234375
2011-06-15,336.239990234375
2011-06-16,338.6400146484375
2011-06-17,334.0799865722656
2011-06-20,335.0400085449219
2011-06-21,329.5199890136719
2011-06-22,330.239990234375
2011-06-23,330.239990234375
2011-06-24,337.20001220703125
2011-06-27,333.1199951171875
2011-06-28,327.3599853515625
2011-06-29,324.0
2011-06-30,323.2799987792969
2011-07-01,314.3999938964844
2011-07-05,317.0400085449219
2011-07-06,315.8399963378906
2011-07-07,312.0
2011-07-08,316.55999755859375
2011-07-11,323.5199890136719
2011-07-12,318.7200012207031
2011-07-13,321.6000061035156
2011-07-14,322.32000732421875
2011-07-15,323.2799987792969
2011-07-18,330.0
2011-07-19,323.5199890136719
2011-07-20,319.20001220703125
2011-07-21,311.5199890136719
2011-07-22,313.9200134277344
2011-07-25,313.9200134277344
2011-07-26,313.9200134277344
2011-07-27,316.79998779296875
