,EQRR
2019-03-15,42.38999938964844
2019-03-18,42.38999938964844
2019-03-19,43.08000183105469
2019-03-20,41.88999938964844
2019-03-21,41.86000061035156
2019-03-22,40.400001525878906
2019-03-25,40.2400016784668
2019-03-26,40.779998779296875
2019-03-27,40.65999984741211
2019-03-28,40.63999938964844
2019-03-29,41.15800094604492
2019-04-01,42.220001220703125
2019-04-02,42.071998596191406
2019-04-03,42.380001068115234
2019-04-04,42.290000915527344
2019-04-05,42.88999938964844
2019-04-08,43.0
2019-04-09,42.446998596191406
2019-04-10,42.66999816894531
2019-04-11,41.82500076293945
2019-04-12,43.040000915527344
2019-04-15,43.040000915527344
2019-04-16,43.040000915527344
2019-04-17,43.22999954223633
2019-04-18,43.38999938964844
2019-04-22,43.400001525878906
2019-04-23,43.2400016784668
2019-04-24,43.38800048828125
2019-04-25,43.26499938964844
2019-04-26,43.06999969482422
2019-04-29,43.369998931884766
2019-04-30,43.08000183105469
2019-05-01,42.762001037597656
2019-05-02,41.90999984741211
2019-05-03,42.78499984741211
2019-05-06,42.59000015258789
2019-05-07,41.61000061035156
2019-05-08,41.74100112915039
2019-05-09,41.400001525878906
2019-05-10,41.4900016784668
2019-05-13,40.0099983215332
2019-05-14,40.75
2019-05-15,40.34000015258789
2019-05-16,41.19499969482422
2019-05-17,40.93000030517578
2019-05-20,40.5099983215332
2019-05-21,41.07699966430664
2019-05-22,40.47999954223633
2019-05-23,39.220001220703125
2019-05-24,39.439998626708984
2019-05-28,39.439998626708984
2019-05-29,38.939998626708984
2019-05-30,38.58000183105469
2019-05-31,37.79999923706055
2019-06-03,38.34600067138672
2019-06-04,38.939998626708984
2019-06-05,39.310001373291016
2019-06-06,39.54999923706055
2019-06-07,39.61899948120117
2019-06-10,40.196998596191406
2019-06-11,40.13999938964844
2019-06-12,40.13999938964844
2019-06-13,40.13999938964844
2019-06-14,39.720001220703125
2019-06-17,39.720001220703125
2019-06-18,40.29999923706055
2019-06-19,40.24100112915039
2019-06-20,40.529998779296875
2019-06-21,41.029998779296875
2019-06-24,40.689998626708984
2019-06-25,40.16999816894531
2019-06-26,40.599998474121094
2019-06-27,40.790000915527344
2019-06-28,41.18000030517578
2019-07-01,41.619998931884766
2019-07-02,41.04999923706055
2019-07-03,41.27799987792969
2019-07-05,41.130001068115234
2019-07-08,41.14099884033203
2019-07-09,40.92300033569336
2019-07-10,40.84000015258789
2019-07-11,41.0
2019-07-12,41.54999923706055
2019-07-15,41.349998474121094
2019-07-16,41.720001220703125
2019-07-17,40.66999816894531
2019-07-18,40.53499984741211
2019-07-19,40.90999984741211
2019-07-22,40.77000045776367
2019-07-23,41.33000183105469
2019-07-24,42.02899932861328
2019-07-25,41.720001220703125
2019-07-26,41.779998779296875
2019-07-29,41.4900016784668
2019-07-30,41.584999084472656
2019-07-31,41.279998779296875
2019-08-01,40.060001373291016
2019-08-02,39.36000061035156
2019-08-05,37.95000076293945
2019-08-06,38.22999954223633
2019-08-07,37.20000076293945
2019-08-08,37.9900016784668
2019-08-09,37.790000915527344
2019-08-12,37.27000045776367
2019-08-13,38.03200149536133
2019-08-14,36.31999969482422
2019-08-15,36.02000045776367
2019-08-16,36.61000061035156
2019-08-19,36.61000061035156
2019-08-20,37.06999969482422
2019-08-21,37.20000076293945
2019-08-22,37.31999969482422
2019-08-23,35.90999984741211
2019-08-26,36.099998474121094
2019-08-27,35.75
2019-08-28,36.43000030517578
2019-08-29,37.250999450683594
2019-08-30,37.520999908447266
2019-09-03,36.58700180053711
2019-09-04,37.2599983215332
2019-09-05,38.400001525878906
2019-09-06,38.48500061035156
2019-09-09,38.48500061035156
2019-09-10,38.48500061035156
2019-09-11,40.66999816894531
2019-09-12,40.5620002746582
2019-09-13,41.06999969482422
2019-09-16,41.369998931884766
2019-09-17,40.849998474121094
2019-09-18,40.47999954223633
2019-09-19,40.43000030517578
2019-09-20,40.54199981689453
2019-09-23,40.0
2019-09-24,39.4900016784668
2019-09-25,39.77000045776367
2019-09-26,39.41999816894531
2019-09-27,39.63100051879883
2019-09-30,39.29999923706055
2019-10-01,38.79999923706055
2019-10-02,37.52000045776367
2019-10-03,36.869998931884766
2019-10-04,37.290000915527344
2019-10-07,37.84700012207031
2019-10-08,36.93000030517578
2019-10-09,37.13999938964844
2019-10-10,37.439998626708984
2019-10-11,38.79999923706055
2019-10-14,38.34000015258789
2019-10-15,38.9900016784668
2019-10-16,39.290000915527344
2019-10-17,39.15999984741211
2019-10-18,39.18000030517578
2019-10-21,39.650001525878906
2019-10-22,39.59000015258789
2019-10-23,39.9900016784668
2019-10-24,40.060001373291016
2019-10-25,40.5099983215332
2019-10-28,40.939998626708984
2019-10-29,40.93000030517578
2019-10-30,40.415000915527344
2019-10-31,39.45000076293945
2019-11-01,41.0
2019-11-04,41.72999954223633
