,CREE
1996-12-04,2.96875
1996-12-05,2.84375
1996-12-06,2.78125
1996-12-09,2.71875
1996-12-10,2.625
1996-12-11,2.5625
1996-12-12,2.4375
1996-12-13,2.5
1996-12-16,2.34375
1996-12-17,2.40625
1996-12-18,2.5625
1996-12-19,2.5
1996-12-20,2.4375
1996-12-23,2.375
1996-12-24,2.375
1996-12-26,2.625
1996-12-27,2.5625
1996-12-30,2.46875
1996-12-31,2.34375
1997-01-02,2.65625
1997-01-03,2.5625
1997-01-06,2.5625
1997-01-07,2.71875
1997-01-08,2.6875
1997-01-09,2.90625
1997-01-10,3.125
1997-01-13,3.21875
1997-01-14,3.09375
1997-01-15,3.1875
1997-01-16,3.21875
1997-01-17,3.15625
1997-01-20,3.25
1997-01-21,3.59375
1997-01-22,3.578125
1997-01-23,3.4375
1997-01-24,3.5
1997-01-27,3.6875
1997-01-28,3.6875
1997-01-29,3.53125
1997-01-30,3.40625
1997-01-31,3.53125
1997-02-03,3.4375
1997-02-04,3.375
1997-02-05,3.40625
1997-02-06,3.25
1997-02-07,3.320312976837158
1997-02-10,3.1875
1997-02-11,3.03125
1997-02-12,3.0
1997-02-13,3.0
1997-02-14,2.96875
1997-02-18,2.90625
1997-02-19,2.84375
1997-02-20,2.75
1997-02-21,2.6875
1997-02-24,2.59375
1997-02-25,2.6875
1997-02-26,2.5625
1997-02-27,2.6875
1997-02-28,2.59375
1997-03-03,2.53125
1997-03-04,2.59375
1997-03-05,2.6875
1997-03-06,2.65625
1997-03-07,2.5625
1997-03-10,2.625
1997-03-11,2.53125
1997-03-12,2.5625
1997-03-13,2.53125
1997-03-14,2.6875
1997-03-17,2.96875
1997-03-18,2.84375
1997-03-19,2.6875
1997-03-20,2.6875
1997-03-21,2.59375
1997-03-24,2.5
1997-03-25,2.625
1997-03-26,2.6875
1997-03-27,2.625
1997-03-31,2.5625
1997-04-01,2.5625
1997-04-02,2.5625
1997-04-03,2.5625
1997-04-04,2.5
1997-04-07,2.53125
1997-04-08,2.75
1997-04-09,3.21875
1997-04-10,3.09375
1997-04-11,2.75
1997-04-14,2.625
1997-04-15,2.84375
1997-04-16,2.78125
1997-04-17,2.8125
1997-04-18,2.875
1997-04-21,2.6875
1997-04-22,2.5
1997-04-23,2.59375
1997-04-24,3.0
1997-04-25,3.0
1997-04-28,2.765625
1997-04-29,2.90625
1997-04-30,3.0
1997-05-01,2.6875
1997-05-02,2.9375
1997-05-05,3.09375
1997-05-06,3.09375
1997-05-07,3.21875
1997-05-08,3.21875
1997-05-09,3.339843988418579
1997-05-12,3.28125
1997-05-13,3.21875
1997-05-14,3.25
1997-05-15,3.125
1997-05-16,3.1875
1997-05-19,3.125
1997-05-20,3.0625
1997-05-21,2.941406011581421
1997-05-22,2.96875
1997-05-23,2.96875
1997-05-27,2.875
1997-05-28,3.1875
1997-05-29,3.125
1997-05-30,3.125
1997-06-02,3.078125
1997-06-03,2.96875
1997-06-04,3.03125
1997-06-05,3.1875
1997-06-06,3.25
1997-06-09,3.59375
1997-06-10,3.4375
1997-06-11,3.4375
1997-06-12,3.40625
1997-06-13,3.53125
1997-06-16,3.5
1997-06-17,3.375
1997-06-18,3.34375
1997-06-19,3.46875
1997-06-20,3.375
1997-06-23,3.21875
1997-06-24,3.375
1997-06-25,3.375
1997-06-26,3.0
1997-06-27,2.75
1997-06-30,3.0625
1997-07-01,3.246093988418579
1997-07-02,3.1875
1997-07-03,3.1875
1997-07-07,3.1875
1997-07-08,3.46875
1997-07-09,3.375
1997-07-10,3.53125
1997-07-11,3.71875
1997-07-14,3.90625
1997-07-15,4.03125
1997-07-16,4.25
1997-07-17,4.125
