,BANX
2015-11-05,17.549999237060547
2015-11-06,17.520000457763672
2015-11-09,17.670000076293945
2015-11-10,17.450000762939453
2015-11-11,17.520000457763672
2015-11-12,17.84000015258789
2015-11-13,17.610000610351562
2015-11-16,17.34000015258789
2015-11-17,17.31999969482422
2015-11-18,16.770000457763672
2015-11-19,16.90999984741211
2015-11-20,17.079999923706055
2015-11-23,17.139999389648438
2015-11-24,17.18000030517578
2015-11-25,16.989999771118164
2015-11-27,17.18000030517578
2015-11-30,16.93000030517578
2015-12-01,16.799999237060547
2015-12-02,16.90999984741211
2015-12-03,16.739999771118164
2015-12-04,17.780000686645508
2015-12-07,17.65999984741211
2015-12-08,16.81999969482422
2015-12-09,16.950000762939453
2015-12-10,16.780000686645508
2015-12-11,16.469999313354492
2015-12-14,16.520000457763672
2015-12-15,16.690000534057617
2015-12-16,16.75
2015-12-17,16.56999969482422
2015-12-18,16.420000076293945
2015-12-21,16.389999389648438
2015-12-22,16.510000228881836
2015-12-23,16.239999771118164
2015-12-24,16.200000762939453
2015-12-28,16.56999969482422
2015-12-29,16.579999923706055
2015-12-30,16.450000762939453
2015-12-31,16.299999237060547
2016-01-04,16.09000015258789
2016-01-05,16.190000534057617
2016-01-06,16.1200008392334
2016-01-07,15.489999771118164
2016-01-08,15.510000228881836
2016-01-11,15.399999618530273
2016-01-12,15.300000190734863
2016-01-13,14.84000015258789
2016-01-14,14.800000190734863
2016-01-15,14.760000228881836
2016-01-19,14.649999618530273
2016-01-20,14.039999961853027
2016-01-21,14.100000381469727
2016-01-22,14.239999771118164
2016-01-25,14.449999809265137
2016-01-26,15.020000457763672
2016-01-27,14.890000343322754
2016-01-28,14.649999618530273
2016-01-29,14.75
2016-02-01,15.0600004196167
2016-02-02,15.430000305175781
2016-02-03,15.399999618530273
2016-02-04,15.420000076293945
2016-02-05,15.550000190734863
2016-02-08,15.479999542236328
2016-02-09,15.739999771118164
2016-02-10,15.859999656677246
2016-02-11,15.3100004196167
2016-02-12,15.399999618530273
2016-02-16,15.390000343322754
2016-02-17,15.40999984741211
2016-02-18,15.520000457763672
2016-02-19,15.229999542236328
2016-02-22,15.359999656677246
2016-02-23,15.699999809265137
2016-02-24,15.59000015258789
2016-02-25,15.430000305175781
2016-02-26,15.460000038146973
2016-02-29,16.100000381469727
2016-03-01,15.989999771118164
2016-03-02,15.960000038146973
2016-03-03,16.1200008392334
2016-03-04,16.110000610351562
2016-03-07,16.290000915527344
2016-03-08,16.6200008392334
2016-03-09,17.139999389648438
2016-03-10,17.18000030517578
2016-03-11,17.0
2016-03-14,17.600000381469727
2016-03-15,17.510000228881836
2016-03-16,17.600000381469727
2016-03-17,17.450000762939453
2016-03-18,17.5
2016-03-21,17.649999618530273
2016-03-22,17.600000381469727
2016-03-23,17.579999923706055
2016-03-24,17.6200008392334
2016-03-28,17.260000228881836
2016-03-29,17.549999237060547
2016-03-30,17.68000030517578
2016-03-31,17.309999465942383
2016-04-01,17.18000030517578
2016-04-04,17.170000076293945
2016-04-05,17.1200008392334
2016-04-06,17.420000076293945
2016-04-07,17.40999984741211
2016-04-08,17.649999618530273
2016-04-11,17.56999969482422
2016-04-12,17.5
2016-04-13,17.520000457763672
2016-04-14,17.65999984741211
2016-04-15,17.639999389648438
2016-04-18,17.510000228881836
2016-04-19,17.510000228881836
2016-04-20,17.65999984741211
2016-04-21,17.510000228881836
2016-04-22,17.700000762939453
2016-04-25,17.329999923706055
2016-04-26,17.489999771118164
2016-04-27,17.309999465942383
2016-04-28,17.420000076293945
2016-04-29,17.399999618530273
