,BTEC
2019-11-06,33.02000045776367
2019-11-07,33.007999420166016
2019-11-08,33.007999420166016
2019-11-11,33.61000061035156
2019-11-12,33.85499954223633
2019-11-13,33.85499954223633
2019-11-14,33.69599914550781
2019-11-15,34.150001525878906
2019-11-18,34.21799850463867
2019-11-19,35.13399887084961
2019-11-20,35.487998962402344
2019-11-21,35.487998962402344
2019-11-22,35.702999114990234
2019-11-25,36.82500076293945
2019-11-26,37.06399917602539
2019-11-27,37.45399856567383
2019-11-29,37.64799880981445
2019-12-02,37.07600021362305
2019-12-03,37.619998931884766
2019-12-04,38.07400131225586
2019-12-05,37.25400161743164
2019-12-06,37.698001861572266
2019-12-09,37.619998931884766
2019-12-10,37.77399826049805
2019-12-11,37.36399841308594
2019-12-12,37.64099884033203
2019-12-13,37.88999938964844
2019-12-16,38.51300048828125
2019-12-17,38.584999084472656
2019-12-18,38.369998931884766
2019-12-19,38.678001403808594
2019-12-20,38.867000579833984
2019-12-23,39.32099914550781
2019-12-24,39.65999984741211
2019-12-26,39.36000061035156
2019-12-27,39.36000061035156
2019-12-30,38.36000061035156
2019-12-31,38.540000915527344
2020-01-02,38.297000885009766
2020-01-03,37.92499923706055
2020-01-06,38.28099822998047
2020-01-07,38.46799850463867
2020-01-08,38.74100112915039
2020-01-09,38.917999267578125
2020-01-10,38.926998138427734
2020-01-13,38.2869987487793
2020-01-14,39.14899826049805
2020-01-15,39.356998443603516
2020-01-16,39.92399978637695
2020-01-17,39.58000183105469
2020-01-21,39.18299865722656
2020-01-22,39.266998291015625
2020-01-23,38.88199996948242
2020-01-24,38.90999984741211
2020-01-27,37.672000885009766
2020-01-28,38.2599983215332
2020-01-29,38.314998626708984
2020-01-30,37.922000885009766
2020-01-31,37.93000030517578
2020-02-03,38.18600082397461
2020-02-04,39.145999908447266
2020-02-05,39.702999114990234
2020-02-06,39.77000045776367
2020-02-07,39.297000885009766
2020-02-10,39.948001861572266
2020-02-11,39.86000061035156
2020-02-12,40.24800109863281
2020-02-13,39.994998931884766
2020-02-14,39.994998931884766
2020-02-18,40.39699935913086
2020-02-19,40.709999084472656
2020-02-20,40.625999450683594
2020-02-21,40.27399826049805
2020-02-24,38.83100128173828
2020-02-25,37.715999603271484
2020-02-26,37.78799819946289
2020-02-27,36.74700164794922
2020-02-28,36.86199951171875
