,FFWM
2017-11-24,18.5
2017-11-27,18.420000076293945
2017-11-28,19.0
2017-11-29,19.15999984741211
2017-11-30,19.06999969482422
2017-12-01,18.950000762939453
2017-12-04,19.149999618530273
2017-12-05,19.079999923706055
2017-12-06,18.780000686645508
2017-12-07,18.690000534057617
2017-12-08,18.809999465942383
2017-12-11,18.520000457763672
2017-12-12,18.399999618530273
2017-12-13,18.530000686645508
2017-12-14,18.3799991607666
2017-12-15,18.770000457763672
2017-12-18,19.040000915527344
2017-12-19,18.649999618530273
2017-12-20,18.690000534057617
2017-12-21,18.729999542236328
2017-12-22,18.799999237060547
2017-12-26,18.649999618530273
2017-12-27,18.65999984741211
2017-12-28,18.790000915527344
2017-12-29,18.540000915527344
2018-01-02,18.420000076293945
2018-01-03,18.40999984741211
2018-01-04,18.639999389648438
2018-01-05,18.700000762939453
2018-01-08,18.6299991607666
2018-01-09,18.56999969482422
2018-01-10,18.709999084472656
2018-01-11,18.940000534057617
2018-01-12,19.15999984741211
2018-01-16,18.90999984741211
2018-01-17,19.270000457763672
2018-01-18,18.979999542236328
2018-01-19,19.420000076293945
2018-01-22,19.25
2018-01-23,19.229999542236328
2018-01-24,19.209999084472656
2018-01-25,19.1200008392334
2018-01-26,19.1200008392334
2018-01-29,19.100000381469727
2018-01-30,19.190000534057617
2018-01-31,19.450000762939453
2018-02-01,19.200000762939453
2018-02-02,18.90999984741211
2018-02-05,18.489999771118164
2018-02-06,18.149999618530273
2018-02-07,18.170000076293945
2018-02-08,17.6299991607666
2018-02-09,18.15999984741211
2018-02-12,18.020000457763672
2018-02-13,18.110000610351562
2018-02-14,18.149999618530273
2018-02-15,18.420000076293945
2018-02-16,18.59000015258789
2018-02-20,18.540000915527344
2018-02-21,18.600000381469727
2018-02-22,18.209999084472656
2018-02-23,18.270000457763672
2018-02-26,18.260000228881836
2018-02-27,18.18000030517578
2018-02-28,18.260000228881836
2018-03-01,18.3700008392334
2018-03-02,18.489999771118164
2018-03-05,18.770000457763672
2018-03-06,18.75
2018-03-07,18.739999771118164
2018-03-08,18.6200008392334
2018-03-09,19.020000457763672
2018-03-12,19.190000534057617
2018-03-13,19.110000610351562
2018-03-14,19.1200008392334
2018-03-15,19.270000457763672
2018-03-16,19.459999084472656
2018-03-19,19.489999771118164
2018-03-20,19.309999465942383
2018-03-21,19.329999923706055
2018-03-22,18.969999313354492
2018-03-23,18.1299991607666
2018-03-26,18.600000381469727
2018-03-27,18.350000381469727
2018-03-28,18.549999237060547
2018-03-29,18.540000915527344
2018-04-02,18.200000762939453
2018-04-03,18.420000076293945
2018-04-04,18.65999984741211
2018-04-05,18.889999389648438
2018-04-06,18.389999389648438
2018-04-09,18.260000228881836
2018-04-10,18.440000534057617
2018-04-11,18.450000762939453
2018-04-12,18.600000381469727
2018-04-13,18.209999084472656
2018-04-16,18.299999237060547
2018-04-17,18.09000015258789
2018-04-18,18.170000076293945
2018-04-19,18.450000762939453
2018-04-20,18.479999542236328
2018-04-23,18.290000915527344
2018-04-24,18.079999923706055
2018-04-25,17.8799991607666
2018-04-26,18.059999465942383
2018-04-27,18.34000015258789
2018-04-30,17.889999389648438
2018-05-01,18.3799991607666
2018-05-02,18.489999771118164
2018-05-03,18.239999771118164
2018-05-04,18.40999984741211
2018-05-07,18.420000076293945
2018-05-08,18.559999465942383
2018-05-09,18.530000686645508
2018-05-10,18.65999984741211
2018-05-11,18.600000381469727
2018-05-14,18.420000076293945
2018-05-15,18.5
2018-05-16,18.739999771118164
2018-05-17,18.889999389648438
2018-05-18,18.75
2018-05-21,19.15999984741211
2018-05-22,19.389999389648438
2018-05-23,19.25
2018-05-24,19.139999389648438
2018-05-25,19.1200008392334
2018-05-29,18.899999618530273
2018-05-30,19.229999542236328
2018-05-31,19.389999389648438
2018-06-01,19.5
2018-06-04,20.020000457763672
2018-06-05,20.09000015258789
2018-06-06,20.190000534057617
2018-06-07,20.040000915527344
2018-06-08,19.950000762939453
2018-06-11,19.93000030517578
2018-06-12,19.799999237060547
2018-06-13,20.110000610351562
2018-06-14,20.170000076293945
2018-06-15,20.049999237060547
2018-06-18,20.059999465942383
2018-06-19,19.989999771118164
2018-06-20,20.040000915527344
2018-06-21,20.229999542236328
2018-06-22,19.799999237060547
2018-06-25,19.43000030517578
2018-06-26,19.139999389648438
2018-06-27,18.850000381469727
2018-06-28,18.760000228881836
2018-06-29,18.540000915527344
2018-07-02,18.809999465942383
2018-07-03,18.8799991607666
2018-07-05,19.309999465942383
2018-07-06,19.5
2018-07-09,19.709999084472656
2018-07-10,19.329999923706055
2018-07-11,19.329999923706055
2018-07-12,18.90999984741211
2018-07-13,18.690000534057617
2018-07-16,18.81999969482422
2018-07-17,18.75
2018-07-18,18.790000915527344
2018-07-19,18.709999084472656
2018-07-20,18.65999984741211
2018-07-23,18.770000457763672
2018-07-24,18.56999969482422
2018-07-25,18.3700008392334
2018-07-26,18.510000228881836
2018-07-27,18.030000686645508
2018-07-30,16.56999969482422
2018-07-31,15.720000267028809
2018-08-01,15.619999885559082
2018-08-02,15.609999656677246
2018-08-03,15.279999732971191
2018-08-06,15.270000457763672
2018-08-07,15.229999542236328
2018-08-08,15.220000267028809
2018-08-09,15.40999984741211
2018-08-10,15.329999923706055
2018-08-13,15.329999923706055
2018-08-14,15.369999885559082
2018-08-15,15.40999984741211
2018-08-16,15.59000015258789
2018-08-17,15.5
2018-08-20,15.5
2018-08-21,15.84000015258789
2018-08-22,15.979999542236328
2018-08-23,16.010000228881836
2018-08-24,16.290000915527344
2018-08-27,16.149999618530273
2018-08-28,15.989999771118164
2018-08-29,15.890000343322754
2018-08-30,16.079999923706055
2018-08-31,16.18000030517578
2018-09-04,16.219999313354492
2018-09-05,16.639999389648438
2018-09-06,16.670000076293945
2018-09-07,16.850000381469727
2018-09-10,16.75
2018-09-11,16.760000228881836
2018-09-12,16.450000762939453
2018-09-13,16.280000686645508
2018-09-14,16.40999984741211
2018-09-17,16.309999465942383
2018-09-18,16.510000228881836
2018-09-19,16.579999923706055
2018-09-20,16.670000076293945
2018-09-21,16.709999084472656
2018-09-24,16.149999618530273
2018-09-25,15.8100004196167
2018-09-26,15.630000114440918
2018-09-27,15.520000457763672
2018-09-28,15.619999885559082
2018-10-01,15.270000457763672
2018-10-02,15.029999732971191
2018-10-03,15.550000190734863
2018-10-04,15.529999732971191
2018-10-05,15.270000457763672
2018-10-08,15.579999923706055
2018-10-09,15.569999694824219
2018-10-10,15.609999656677246
