,CCLP
2016-03-18,5.670000076293945
2016-03-21,6.0
2016-03-22,6.010000228881836
2016-03-23,5.789999961853027
2016-03-24,5.599999904632568
2016-03-28,5.760000228881836
2016-03-29,5.900000095367432
2016-03-30,5.760000228881836
2016-03-31,5.760000228881836
2016-04-01,5.510000228881836
2016-04-04,5.400000095367432
2016-04-05,5.650000095367432
2016-04-06,5.659999847412109
2016-04-07,5.880000114440918
2016-04-08,6.050000190734863
2016-04-11,6.269999980926514
2016-04-12,6.809999942779541
2016-04-13,6.829999923706055
2016-04-14,6.679999828338623
2016-04-15,6.75
2016-04-18,6.699999809265137
2016-04-19,7.039999961853027
2016-04-20,7.820000171661377
2016-04-21,8.220000267028809
2016-04-22,9.039999961853027
2016-04-25,8.949999809265137
2016-04-26,9.34000015258789
2016-04-27,9.050000190734863
2016-04-28,8.920000076293945
2016-04-29,8.800000190734863
2016-05-02,8.359999656677246
2016-05-03,7.929999828338623
2016-05-04,8.029999732971191
2016-05-05,8.520000457763672
2016-05-06,7.559999942779541
2016-05-09,7.210000038146973
2016-05-10,7.389999866485596
2016-05-11,7.860000133514404
2016-05-12,8.050000190734863
2016-05-13,8.1899995803833
2016-05-16,8.930000305175781
2016-05-17,9.3100004196167
2016-05-18,8.680000305175781
2016-05-19,8.949999809265137
2016-05-20,9.0600004196167
2016-05-23,9.539999961853027
2016-05-24,9.380000114440918
2016-05-25,9.529999732971191
2016-05-26,9.180000305175781
2016-05-27,9.0
2016-05-31,9.1899995803833
2016-06-01,9.260000228881836
2016-06-02,9.149999618530273
2016-06-03,9.4399995803833
2016-06-06,9.399999618530273
2016-06-07,9.630000114440918
2016-06-08,9.300000190734863
2016-06-09,9.229999542236328
2016-06-10,8.829999923706055
2016-06-13,8.720000267028809
2016-06-14,8.670000076293945
2016-06-15,8.350000381469727
2016-06-16,8.020000457763672
2016-06-17,7.800000190734863
2016-06-20,7.940000057220459
2016-06-21,7.920000076293945
2016-06-22,7.789999961853027
2016-06-23,8.0
2016-06-24,8.020000457763672
2016-06-27,7.480000019073486
2016-06-28,7.730000019073486
2016-06-29,7.889999866485596
2016-06-30,8.15999984741211
2016-07-01,8.3100004196167
2016-07-05,7.460000038146973
2016-07-06,7.699999809265137
2016-07-07,7.75
2016-07-08,7.960000038146973
2016-07-11,7.960000038146973
2016-07-12,8.829999923706055
2016-07-13,8.5
2016-07-14,8.649999618530273
2016-07-15,8.510000228881836
2016-07-18,8.699999809265137
2016-07-19,8.5
2016-07-20,8.6899995803833
2016-07-21,8.489999771118164
2016-07-22,9.470000267028809
2016-07-25,8.84000015258789
2016-07-26,8.989999771118164
2016-07-27,8.989999771118164
2016-07-28,8.630000114440918
2016-07-29,8.800000190734863
2016-08-01,8.670000076293945
2016-08-02,8.34000015258789
2016-08-03,8.619999885559082
2016-08-04,8.789999961853027
2016-08-05,8.899999618530273
2016-08-08,8.899999618530273
2016-08-09,8.899999618530273
2016-08-10,8.800000190734863
2016-08-11,9.239999771118164
2016-08-12,9.5
2016-08-15,9.420000076293945
2016-08-16,9.640000343322754
2016-08-17,9.649999618530273
2016-08-18,9.760000228881836
2016-08-19,9.649999618530273
2016-08-22,9.619999885559082
2016-08-23,9.789999961853027
2016-08-24,9.739999771118164
2016-08-25,9.739999771118164
2016-08-26,9.460000038146973
2016-08-29,9.609999656677246
2016-08-30,9.739999771118164
2016-08-31,9.539999961853027
2016-09-01,9.520000457763672
2016-09-02,9.670000076293945
2016-09-06,9.739999771118164
2016-09-07,9.699999809265137
2016-09-08,10.270000457763672
