,ABTX
2018-11-06,39.279998779296875
2018-11-07,38.79999923706055
2018-11-08,39.02000045776367
2018-11-09,39.0
2018-11-12,38.58000183105469
2018-11-13,38.68000030517578
2018-11-14,37.959999084472656
2018-11-15,38.5
2018-11-16,38.27000045776367
2018-11-19,38.18000030517578
2018-11-20,37.25
2018-11-21,37.36000061035156
2018-11-23,37.709999084472656
2018-11-26,37.86000061035156
2018-11-27,37.83000183105469
2018-11-28,38.72999954223633
2018-11-29,38.16999816894531
2018-11-30,37.93000030517578
2018-12-03,37.36000061035156
2018-12-04,35.25
2018-12-06,35.0
2018-12-07,34.5
2018-12-10,34.099998474121094
2018-12-11,33.970001220703125
2018-12-12,34.099998474121094
2018-12-13,33.16999816894531
2018-12-14,32.400001525878906
2018-12-17,31.8799991607666
2018-12-18,31.479999542236328
2018-12-19,30.09000015258789
2018-12-20,29.8700008392334
2018-12-21,29.790000915527344
2018-12-24,29.34000015258789
2018-12-26,30.68000030517578
2018-12-27,30.479999542236328
2018-12-28,31.549999237060547
2018-12-31,32.369998931884766
2019-01-02,33.45000076293945
2019-01-03,33.54999923706055
2019-01-04,34.75
2019-01-07,35.0099983215332
2019-01-08,35.68000030517578
2019-01-09,35.77000045776367
2019-01-10,35.2400016784668
2019-01-11,35.040000915527344
2019-01-14,35.099998474121094
2019-01-15,35.27000045776367
2019-01-16,35.97999954223633
2019-01-17,36.0
2019-01-18,36.34000015258789
2019-01-22,35.81999969482422
2019-01-23,35.77000045776367
2019-01-24,35.5099983215332
2019-01-25,35.529998779296875
2019-01-28,36.25
2019-01-29,36.06999969482422
2019-01-30,36.0099983215332
2019-01-31,35.91999816894531
2019-02-01,36.06999969482422
2019-02-04,36.470001220703125
2019-02-05,36.54999923706055
2019-02-06,36.72999954223633
2019-02-07,37.119998931884766
2019-02-08,37.369998931884766
2019-02-11,37.880001068115234
2019-02-12,38.0
2019-02-13,38.16999816894531
2019-02-14,38.150001525878906
2019-02-15,38.75
2019-02-19,38.7400016784668
2019-02-20,38.79999923706055
2019-02-21,38.599998474121094
2019-02-22,38.279998779296875
2019-02-25,37.95000076293945
2019-02-26,37.810001373291016
2019-02-27,37.93000030517578
2019-02-28,38.2599983215332
2019-03-01,38.119998931884766
2019-03-04,37.84000015258789
2019-03-05,37.68000030517578
2019-03-06,36.90999984741211
2019-03-07,35.970001220703125
2019-03-08,35.88999938964844
2019-03-11,36.31999969482422
2019-03-12,36.2400016784668
2019-03-13,36.29999923706055
2019-03-14,36.36000061035156
2019-03-15,36.34000015258789
2019-03-18,36.56999969482422
2019-03-19,35.83000183105469
2019-03-20,34.77000045776367
2019-03-21,34.41999816894531
2019-03-22,32.27000045776367
2019-03-25,32.599998474121094
2019-03-26,33.349998474121094
2019-03-27,33.40999984741211
2019-03-28,33.9900016784668
2019-03-29,33.720001220703125
2019-04-01,34.880001068115234
2019-04-02,35.15999984741211
2019-04-03,35.349998474121094
2019-04-04,35.81999969482422
2019-04-05,36.040000915527344
2019-04-08,35.93000030517578
2019-04-09,35.4900016784668
2019-04-10,35.849998474121094
2019-04-11,36.279998779296875
2019-04-12,36.849998474121094
2019-04-15,36.529998779296875
2019-04-16,36.959999084472656
2019-04-17,36.9900016784668
2019-04-18,36.540000915527344
2019-04-22,35.93000030517578
2019-04-23,36.7400016784668
2019-04-24,37.060001373291016
2019-04-25,37.060001373291016
2019-04-26,36.25
2019-04-29,35.400001525878906
2019-04-30,34.56999969482422
2019-05-01,34.47999954223633
2019-05-02,34.900001525878906
2019-05-03,35.81999969482422
2019-05-06,35.959999084472656
2019-05-07,35.7599983215332
2019-05-08,35.369998931884766
2019-05-09,35.4900016784668
2019-05-10,35.900001525878906
2019-05-13,34.689998626708984
2019-05-14,35.150001525878906
2019-05-15,34.970001220703125
2019-05-16,35.349998474121094
2019-05-17,34.9900016784668
2019-05-20,35.09000015258789
2019-05-21,35.41999816894531
2019-05-22,35.08000183105469
2019-05-23,34.40999984741211
2019-05-24,34.95000076293945
2019-05-28,34.27000045776367
2019-05-29,34.189998626708984
2019-05-30,33.31999969482422
2019-05-31,32.459999084472656
2019-06-03,32.540000915527344
2019-06-04,33.45000076293945
2019-06-05,32.720001220703125
2019-06-06,32.52000045776367
2019-06-07,32.439998626708984
2019-06-10,32.77000045776367
2019-06-11,32.58000183105469
2019-06-12,32.63999938964844
2019-06-13,32.720001220703125
2019-06-14,32.84000015258789
2019-06-17,32.900001525878906
2019-06-18,33.2599983215332
2019-06-19,33.349998474121094
2019-06-20,33.45000076293945
2019-06-21,32.90999984741211
2019-06-24,32.5
2019-06-25,32.439998626708984
2019-06-26,32.20000076293945
2019-06-27,32.709999084472656
2019-06-28,33.34000015258789
2019-07-01,33.349998474121094
2019-07-02,33.119998931884766
2019-07-03,33.189998626708984
2019-07-05,33.52000045776367
2019-07-08,33.209999084472656
2019-07-09,33.40999984741211
2019-07-10,33.099998474121094
2019-07-11,33.5099983215332
2019-07-12,34.11000061035156
2019-07-15,33.38999938964844
2019-07-16,33.459999084472656
2019-07-17,33.2599983215332
2019-07-18,33.5
2019-07-19,33.5099983215332
2019-07-22,33.220001220703125
2019-07-23,33.459999084472656
2019-07-24,34.04999923706055
2019-07-25,33.77000045776367
2019-07-26,35.290000915527344
2019-07-29,34.13999938964844
2019-07-30,33.779998779296875
2019-07-31,33.560001373291016
2019-08-01,32.54999923706055
2019-08-02,32.400001525878906
2019-08-05,31.799999237060547
2019-08-06,32.029998779296875
2019-08-07,31.760000228881836
2019-08-08,32.58000183105469
2019-08-09,32.58000183105469
2019-08-12,32.0099983215332
2019-08-13,32.41999816894531
2019-08-14,31.479999542236328
2019-08-15,31.56999969482422
2019-08-16,32.08000183105469
2019-08-19,32.439998626708984
2019-08-20,32.15999984741211
2019-08-21,32.18000030517578
2019-08-22,32.11000061035156
2019-08-23,31.31999969482422
2019-08-26,31.790000915527344
2019-08-27,31.239999771118164
