,EKSO
2017-04-28,43.20000076293945
2017-05-01,43.04999923706055
2017-05-02,39.75
2017-05-03,37.04999923706055
2017-05-04,36.900001525878906
2017-05-05,36.599998474121094
2017-05-08,38.400001525878906
2017-05-09,38.54999923706055
2017-05-10,30.899999618530273
2017-05-11,28.950000762939453
2017-05-12,24.450000762939453
2017-05-15,29.25
2017-05-16,26.399999618530273
2017-05-17,25.799999237060547
2017-05-18,24.899999618530273
2017-05-19,23.850000381469727
2017-05-22,21.450000762939453
2017-05-23,20.399999618530273
2017-05-24,16.200000762939453
2017-05-25,17.100000381469727
2017-05-26,16.200000762939453
2017-05-30,15.149999618530273
2017-05-31,15.600000381469727
2017-06-01,16.649999618530273
2017-06-02,20.549999237060547
2017-06-05,18.149999618530273
2017-06-06,19.350000381469727
2017-06-07,17.549999237060547
2017-06-08,17.850000381469727
2017-06-09,18.299999237060547
2017-06-12,18.899999618530273
2017-06-13,19.200000762939453
2017-06-14,27.149999618530273
2017-06-15,31.649999618530273
2017-06-16,28.799999237060547
2017-06-19,26.850000381469727
2017-06-20,28.049999237060547
2017-06-21,28.5
2017-06-22,30.600000381469727
2017-06-23,35.25
2017-06-26,31.649999618530273
2017-06-27,30.149999618530273
2017-06-28,37.5
2017-06-29,37.79999923706055
2017-06-30,34.79999923706055
2017-07-03,34.349998474121094
2017-07-05,34.04999923706055
2017-07-06,31.350000381469727
2017-07-07,32.25
2017-07-10,31.350000381469727
2017-07-11,31.649999618530273
2017-07-12,31.649999618530273
2017-07-13,32.25
2017-07-14,34.95000076293945
2017-07-17,34.5
2017-07-18,31.350000381469727
2017-07-19,24.0
2017-07-20,21.899999618530273
2017-07-21,25.950000762939453
2017-07-24,26.25
2017-07-25,25.950000762939453
2017-07-26,26.100000381469727
2017-07-27,24.75
2017-07-28,25.950000762939453
2017-07-31,27.149999618530273
2017-08-01,30.0
2017-08-02,29.100000381469727
2017-08-03,29.700000762939453
2017-08-04,28.950000762939453
2017-08-07,30.149999618530273
2017-08-08,28.5
2017-08-09,27.600000381469727
2017-08-10,25.5
2017-08-11,22.049999237060547
2017-08-14,23.25
2017-08-15,24.149999618530273
2017-08-16,22.950000762939453
2017-08-17,23.100000381469727
2017-08-18,23.549999237060547
2017-08-21,21.899999618530273
2017-08-22,21.0
2017-08-23,19.950000762939453
2017-08-24,18.899999618530273
2017-08-25,18.75
2017-08-28,17.850000381469727
2017-08-29,17.25
2017-08-30,18.8700008392334
2017-08-31,18.899999618530273
2017-09-01,17.399999618530273
2017-09-05,17.8799991607666
2017-09-06,17.549999237060547
2017-09-07,17.25
2017-09-08,16.799999237060547
2017-09-11,17.774999618530273
2017-09-12,19.049999237060547
2017-09-13,17.850000381469727
2017-09-14,18.450000762939453
2017-09-15,17.25
2017-09-18,17.549999237060547
2017-09-19,17.25
2017-09-20,17.25
2017-09-21,17.100000381469727
2017-09-22,19.200000762939453
2017-09-25,19.950000762939453
2017-09-26,19.350000381469727
2017-09-27,19.049999237060547
2017-09-28,18.75
2017-09-29,18.149999618530273
2017-10-02,18.149999618530273
2017-10-03,17.850000381469727
2017-10-04,18.450000762939453
2017-10-05,17.850000381469727
2017-10-06,18.0
2017-10-09,17.700000762939453
2017-10-10,18.75
2017-10-11,18.0
2017-10-12,17.625
2017-10-13,17.850000381469727
2017-10-16,17.549999237060547
2017-10-17,16.5
2017-10-18,16.950000762939453
2017-10-19,16.950000762939453
2017-10-20,16.950000762939453
2017-10-23,17.25
2017-10-24,17.100000381469727
2017-10-25,16.5
2017-10-26,16.5
2017-10-27,16.049999237060547
2017-10-30,15.899999618530273
2017-10-31,16.200000762939453
2017-11-01,15.675000190734863
2017-11-02,16.799999237060547
2017-11-03,16.950000762939453
2017-11-06,16.799999237060547
2017-11-07,16.799999237060547
2017-11-08,16.200000762939453
2017-11-09,15.75
2017-11-10,22.950000762939453
2017-11-13,30.299999237060547
2017-11-14,26.25
2017-11-15,26.399999618530273
2017-11-16,28.649999618530273
2017-11-17,35.849998474121094
2017-11-20,43.79999923706055
2017-11-21,61.95000076293945
2017-11-22,52.349998474121094
2017-11-24,43.20000076293945
2017-11-27,46.04999923706055
2017-11-28,43.650001525878906
2017-11-29,38.70000076293945
2017-11-30,34.349998474121094
2017-12-01,35.25
2017-12-04,36.0
2017-12-05,38.849998474121094
2017-12-06,42.900001525878906
2017-12-07,40.79999923706055
2017-12-08,41.25
2017-12-11,39.150001525878906
2017-12-12,38.400001525878906
