,EZJ
2016-07-28,27.110000610351562
2016-07-29,28.206666946411133
2016-08-01,28.316667556762695
2016-08-02,27.316667556762695
2016-08-03,27.316667556762695
2016-08-04,27.316667556762695
2016-08-05,28.383333206176758
2016-08-08,28.383333206176758
2016-08-09,28.969999313354492
2016-08-10,29.333332061767578
2016-08-11,29.786666870117188
2016-08-12,29.786666870117188
2016-08-15,29.786666870117188
2016-08-16,29.786666870117188
2016-08-17,29.666667938232422
2016-08-18,29.666667938232422
2016-08-19,29.166667938232422
2016-08-22,29.166667938232422
2016-08-23,29.166667938232422
2016-08-24,29.469999313354492
2016-08-25,29.469999313354492
2016-08-26,29.469999313354492
2016-08-29,29.110000610351562
2016-08-30,29.110000610351562
2016-08-31,29.110000610351562
2016-09-01,29.416667938232422
2016-09-02,29.829999923706055
2016-09-06,30.333332061767578
2016-09-07,30.553333282470703
2016-09-08,30.553333282470703
2016-09-09,30.553333282470703
2016-09-12,30.553333282470703
2016-09-13,28.796667098999023
2016-09-14,28.796667098999023
2016-09-15,28.796667098999023
2016-09-16,28.0
2016-09-19,28.46666717529297
2016-09-20,29.15333366394043
2016-09-21,30.633333206176758
2016-09-22,31.666667938232422
2016-09-23,31.666667938232422
2016-09-26,30.020000457763672
2016-09-27,30.666667938232422
2016-09-28,30.666667938232422
2016-09-29,30.666667938232422
2016-09-30,30.02666664123535
2016-10-03,29.90333366394043
2016-10-04,29.90333366394043
2016-10-05,29.90333366394043
2016-10-06,29.90333366394043
2016-10-07,29.583332061767578
2016-10-10,30.093332290649414
2016-10-11,30.093332290649414
2016-10-12,29.229999542236328
2016-10-13,29.229999542236328
2016-10-14,29.233333587646484
2016-10-17,29.233333587646484
2016-10-18,29.233333587646484
2016-10-19,29.90333366394043
2016-10-20,30.260000228881836
2016-10-21,30.260000228881836
2016-10-24,30.260000228881836
2016-10-25,30.260000228881836
2016-10-26,30.093332290649414
2016-10-27,30.093332290649414
2016-10-28,30.093332290649414
2016-10-31,30.093332290649414
2016-11-01,30.34000015258789
2016-11-02,30.34000015258789
2016-11-03,30.0
2016-11-04,29.273332595825195
2016-11-07,29.953332901000977
2016-11-08,29.766666412353516
2016-11-09,29.49333381652832
2016-11-10,29.50666618347168
2016-11-11,29.50666618347168
2016-11-14,29.399999618530273
2016-11-15,29.399999618530273
2016-11-16,29.399999618530273
2016-11-17,29.959999084472656
2016-11-18,29.203332901000977
2016-11-21,29.75
2016-11-22,29.613332748413086
2016-11-23,29.613332748413086
2016-11-25,29.613332748413086
2016-11-28,29.613332748413086
2016-11-29,29.74333381652832
2016-11-30,29.836666107177734
2016-12-01,29.836666107177734
2016-12-02,29.836666107177734
2016-12-05,29.386667251586914
2016-12-06,29.666667938232422
2016-12-07,30.6299991607666
2016-12-08,31.316667556762695
2016-12-09,31.406667709350586
2016-12-12,30.843332290649414
2016-12-13,31.48666763305664
2016-12-14,30.780000686645508
2016-12-15,30.780000686645508
2016-12-16,29.969999313354492
2016-12-19,30.536666870117188
2016-12-20,30.52666664123535
2016-12-21,30.52666664123535
2016-12-22,30.086666107177734
2016-12-23,30.086666107177734
2016-12-27,29.886667251586914
2016-12-28,29.836666107177734
2016-12-29,29.14666748046875
2016-12-30,29.15333366394043
2017-01-03,29.383333206176758
2017-01-04,30.833332061767578
2017-01-05,30.833332061767578
2017-01-06,30.833332061767578
2017-01-09,30.833332061767578
2017-01-10,30.933332443237305
2017-01-11,31.17333221435547
2017-01-12,31.17333221435547
2017-01-13,31.34000015258789
2017-01-17,30.940000534057617
2017-01-18,30.940000534057617
2017-01-19,30.546667098999023
2017-01-20,31.09000015258789
2017-01-23,30.976667404174805
2017-01-24,30.94333267211914
2017-01-25,31.666667938232422
2017-01-26,32.25
2017-01-27,31.68000030517578
2017-01-30,31.116666793823242
2017-01-31,31.116666793823242
2017-02-01,31.583332061767578
2017-02-02,31.260000228881836
2017-02-03,31.260000228881836
2017-02-06,31.35333251953125
2017-02-07,31.35333251953125
2017-02-08,31.746667861938477
2017-02-09,31.40999984741211
2017-02-10,32.03666687011719
2017-02-13,32.47999954223633
2017-02-14,31.770000457763672
2017-02-15,31.786666870117188
2017-02-16,31.786666870117188
2017-02-17,31.57666778564453
2017-02-21,31.57666778564453
2017-02-22,32.119998931884766
2017-02-23,32.119998931884766
2017-02-24,32.15999984741211
2017-02-27,32.00666809082031
2017-02-28,31.950000762939453
2017-03-01,32.686668395996094
2017-03-02,32.03333282470703
2017-03-03,31.950000762939453
2017-03-06,31.799999237060547
2017-03-07,31.76333236694336
2017-03-08,31.56333351135254
2017-03-09,31.450000762939453
2017-03-10,31.873332977294922
2017-03-13,31.873332977294922
